AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4100.25640991, 4097.82051248, 3948.46153784, 4162.69230749, 4107.82051255, 4118.58974332, 4107.43589716, 4116.28205101, 4110.38461511, 4123.33333306, 4122.43589716, 4117.30769203, 4120.12820485, 4129.61538434,10.0
4089.99999966, 4089.48717914, 3940.12820451, 4148.07692287, 4092.17948684, 4093.46153812, 4081.02564068, 4101.53846119, 4100.51282017, 4115.76923050, 4122.56410229, 4112.30769203, 4114.61538434, 4127.17948691,10.0
4088.20512786, 4093.84615350, 3940.25640963, 4138.07692287, 4091.41025607, 4092.43589709, 4081.66666632, 4107.17948691, 4105.25640998, 4114.23076896, 4119.61538434, 4109.23076896, 4114.61538434, 4131.66666639,10.0
4106.02564075, 4107.05128178, 3953.07692246, 4141.15384595, 4113.97435870, 4126.41025614, 4114.99999973, 4124.87179460, 4114.99999973, 4127.30769203, 4120.89743562, 4117.43589716, 4124.87179460, 4131.92307665,10.0
4119.74358947, 4115.25640998, 3964.87179425, 4138.84615364, 4123.58974332, 4136.53846133, 4126.02564075, 4128.33333306, 4114.87179460, 4133.97435870, 4130.38461511, 4124.87179460, 4127.43589716, 4125.38461511,10.0
4116.41025614, 4114.74358947, 3973.46153791, 4126.02564075, 4110.89743562, 4115.76923050, 4114.35897408, 4122.82051255, 4109.99999973, 4129.10256383, 4136.28205108, 4127.17948691, 4124.48717921, 4126.92307665,10.0
4113.07692280, 4104.61538434, 3976.79487124, 4116.15384588, 4101.92307658, 4108.07692280, 4111.41025614, 4123.58974332, 4106.92307665, 4123.07692280, 4128.33333306, 4130.25640998, 4125.12820485, 4127.30769203,10.0
4117.82051255, 4096.28205094, 3974.87179432, 4110.25640998, 4101.53846119, 4117.05128178, 4117.43589716, 4133.33333306, 4109.35897408, 4122.30769203, 4120.64102537, 4130.38461511, 4125.76923050, 4127.05128178,10.0
4124.48717921, 4106.53846126, 3980.64102509, 4111.92307665, 4106.02564075, 4119.23076896, 4124.10256383, 4138.07692287, 4112.30769203, 4123.20512793, 4131.41025614, 4131.92307665, 4127.05128178, 4127.69230742,10.0
4136.92307672, 4126.66666639, 3998.71794817, 4124.99999973, 4116.92307665, 4120.12820485, 4128.07692280, 4134.48717921, 4110.89743562, 4125.89743562, 4152.05128185, 4143.07692287, 4137.94871774, 4127.17948691,10.0
