AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4129.87179460, 4121.41025614, 4124.61538434, 4134.87179460, 4119.61538434, 4090.12820478, 4123.71794844, 4122.56410229, 4121.15384588, 4129.23076896, 4117.56410229, 4122.05128178, 4130.51282024, 4126.41025614,12.0
4106.28205101, 4109.61538434, 4103.71794844, 4120.76923050, 4111.79487152, 4081.53846119, 4105.38461511, 4109.87179460, 4103.46153819, 4107.69230742, 4098.58974325, 4099.61538427, 4111.41025614, 4126.66666639,12.0
4113.46153819, 4121.79487152, 4111.28205101, 4130.89743562, 4128.84615357, 4090.76923043, 4116.53846126, 4121.66666639, 4119.61538434, 4117.05128178, 4102.69230742, 4104.35897408, 4108.97435870, 4128.33333306,12.0
4123.58974332, 4129.61538434, 4118.97435870, 4140.64102544, 4129.99999973, 4095.38461504, 4123.71794844, 4124.87179460, 4123.07692280, 4125.25640998, 4109.23076896, 4111.92307665, 4117.17948691, 4125.51282024,12.0
4122.17948691, 4127.05128178, 4116.02564075, 4140.76923056, 4119.48717921, 4096.02564068, 4123.97435870, 4125.38461511, 4120.76923050, 4122.30769203, 4111.02564075, 4111.53846126, 4122.17948691, 4127.43589716,12.0
4118.33333306, 4117.94871767, 4111.79487152, 4134.87179460, 4115.25640998, 4090.89743555, 4127.43589716, 4133.84615357, 4132.94871767, 4123.33333306, 4112.56410229, 4109.61538434, 4120.76923050, 4129.74358947,12.0
4128.84615357, 4117.94871767, 4121.28205101, 4139.23076903, 4118.71794844, 4090.89743555, 4136.66666646, 4147.05128185, 4154.87179467, 4138.20512800, 4122.43589716, 4118.07692280, 4129.74358947, 4125.64102537,12.0
4137.56410236, 4125.38461511, 4133.20512793, 4152.30769210, 4125.64102537, 4099.61538427, 4139.99999980, 4143.71794851, 4153.46153826, 4144.10256390, 4131.41025614, 4125.51282024, 4133.84615357, 4124.10256383,12.0
4115.12820485, 4111.79487152, 4117.43589716, 4143.46153826, 4113.46153819, 4089.48717914, 4116.79487152, 4114.61538434, 4116.79487152, 4117.30769203, 4111.66666639, 4104.99999973, 4112.56410229, 4125.64102537,12.0
4103.33333306, 4104.99999973, 4108.46153819, 4137.94871774, 4103.20512793, 4081.28205094, 4103.58974332, 4104.48717921, 4100.89743555, 4104.74358947, 4093.84615350, 4097.69230735, 4101.79487145, 4128.07692280,12.0
4130.76923050, 4130.64102537, 4140.12820492, 4165.64102544, 4124.99999973, 4096.79487145, 4121.02564075, 4120.89743562, 4119.61538434, 4130.89743562, 4115.51282024, 4135.25640998, 4124.23076896, 4126.28205101,12.0
4140.12820492, 4141.79487159, 4155.76923056, 4177.56410243, 4136.41025621, 4097.43589709, 4117.82051255, 4119.74358947, 4122.94871767, 4137.56410236, 4131.66666639, 4156.02564082, 4136.79487159, 4120.89743562,12.0
4112.05128178, 4120.89743562, 4124.61538434, 4154.10256390, 4113.84615357, 4075.38461504, 4097.56410222, 4101.53846119, 4106.15384588, 4109.74358947, 4107.43589716, 4126.41025614, 4111.92307665, 4122.69230742,12.0
