AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4120.89743562, 4141.92307672, 4162.69230749, 4122.17948691, 4129.10256383, 4105.12820485, 4096.41025607, 4110.64102537, 4089.23076889, 4134.48717921, 4105.64102537, 4147.43589723, 4126.53846126, 4146.15384595,12.0
4123.33333306, 4138.46153826, 4166.66666646, 4105.89743562, 4127.69230742, 4109.74358947, 4094.61538427, 4112.30769203, 4092.05128171, 4134.48717921, 4112.30769203, 4157.05128185, 4125.51282024, 4147.82051262,12.0
4122.43589716, 4133.33333306, 4167.69230749, 4090.89743555, 4127.05128178, 4109.35897408, 4092.30769196, 4096.41025607, 4076.53846119, 4134.48717921, 4112.17948691, 4155.51282031, 4128.33333306, 4145.25641005,12.0
4118.84615357, 4141.28205108, 4165.51282031, 4106.02564075, 4128.46153819, 4106.28205101, 4092.94871761, 4091.02564068, 4069.87179453, 4134.48717921, 4104.74358947, 4146.79487159, 4126.28205101, 4144.48717928,12.0
4122.94871767, 4145.76923056, 4158.84615364, 4089.23076889, 4125.89743562, 4107.56410229, 4088.07692273, 4088.84615350, 4079.10256376, 4134.48717921, 4106.92307665, 4139.23076903, 4126.15384588, 4145.25641005,12.0
4115.76923050, 4134.99999973, 4159.35897415, 4075.89743555, 4127.82051255, 4107.17948691, 4081.66666632, 4083.20512786, 4077.56410222, 4134.48717921, 4107.82051255, 4139.87179467, 4126.28205101, 4141.41025621,12.0
4113.07692280, 4138.71794851, 4164.74358954, 4108.33333306, 4131.15384588, 4101.66666632, 4078.58974325, 4075.51282017, 4059.61538420, 4134.48717921, 4101.15384581, 4145.51282031, 4126.79487152, 4140.64102544,12.0
4116.66666639, 4155.38461518, 4162.94871774, 4121.53846126, 4129.87179460, 4103.46153819, 4083.33333299, 4074.35897402, 4058.33333292, 4134.48717921, 4095.64102530, 4142.82051262, 4126.28205101, 4144.23076903,12.0
4118.58974332, 4148.58974339, 4154.35897415, 4114.10256383, 4128.07692280, 4098.84615350, 4075.12820478, 4070.38461504, 4061.02564061, 4134.48717921, 4095.12820478, 4125.89743562, 4124.48717921, 4146.15384595,12.0
4124.87179460, 4137.05128185, 4154.23076903, 4132.94871767, 4127.30769203, 4083.33333299, 4057.05128164, 4058.20512779, 4044.35897395, 4134.48717921, 4094.99999966, 4124.61538434, 4127.17948691, 4142.82051262,12.0
4120.89743562, 4145.51282031, 4162.69230749, 4141.92307672, 4128.46153819, 4082.05128171, 4061.28205087, 4065.51282010, 4042.05128164, 4134.48717921, 4088.20512786, 4140.12820492, 4128.20512793, 4141.28205108,12.0
4123.20512793, 4156.28205108, 4166.28205108, 4126.28205101, 4130.12820485, 4092.43589709, 4076.66666632, 4087.30769196, 4065.25640984, 4134.48717921, 4086.41025607, 4139.61538441, 4128.07692280, 4146.02564082,12.0
4125.64102537, 4153.07692287, 4162.56410236, 4120.51282024, 4130.12820485, 4093.46153812, 4074.99999966, 4090.25640991, 4070.12820478, 4134.48717921, 4084.35897402, 4131.15384588, 4127.69230742, 4145.76923056,12.0
4119.74358947, 4150.76923056, 4160.25641005, 4118.58974332, 4128.97435870, 4087.94871761, 4069.10256369, 4080.38461504, 4053.20512779, 4134.48717921, 4078.33333299, 4130.38461511, 4123.71794844, 4143.71794851,12.0
