AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4122.05128178, 4196.92307679, 4153.46153826, 4181.41025628, 4124.48717921, 4162.05128185, 4142.56410236, 4132.17948691, 4161.02564082, 4131.02564075, 4120.89743562, 4153.71794851, 4138.33333313, 4145.25641005,12.0
4118.71794844, 4182.56410243, 4144.10256390, 4175.51282038, 4123.71794844, 4136.28205108, 4119.23076896, 4123.84615357, 4149.48717928, 4130.89743562, 4111.79487152, 4147.05128185, 4134.74358947, 4145.25641005,12.0
4123.46153819, 4185.51282038, 4144.99999980, 4188.84615371, 4118.07692280, 4124.10256383, 4104.23076896, 4099.61538427, 4123.46153819, 4131.02564075, 4106.41025614, 4140.38461518, 4134.48717921, 4147.56410236,12.0
4122.43589716, 4201.02564096, 4158.58974339, 4205.76923070, 4119.74358947, 4145.12820492, 4126.53846126, 4117.82051255, 4141.41025621, 4130.89743562, 4119.35897408, 4159.74358954, 4138.46153826, 4146.79487159,12.0
4120.51282024, 4207.69230763, 4167.69230749, 4208.33333327, 4124.35897408, 4160.51282031, 4143.71794851, 4156.15384595, 4172.30769217, 4130.89743562, 4130.89743562, 4179.23076910, 4139.10256390, 4146.66666646,12.0
4123.58974332, 4204.61538455, 4170.12820499, 4206.53846147, 4121.92307665, 4157.69230749, 4143.58974339, 4161.92307672, 4171.28205115, 4131.02564075, 4132.82051255, 4181.15384602, 4137.82051262, 4147.56410236,12.0
4119.74358947, 4190.25641012, 4160.64102544, 4195.51282038, 4119.74358947, 4149.61538441, 4135.38461518, 4138.58974339, 4149.99999980, 4130.89743562, 4128.58974332, 4168.58974345, 4135.76923056, 4145.64102544,12.0
4119.10256383, 4171.66666653, 4144.74358954, 4169.99999986, 4120.25640998, 4142.43589723, 4118.71794844, 4118.58974332, 4135.25640998, 4130.89743562, 4119.10256383, 4146.79487159, 4138.58974339, 4148.58974339,12.0
4117.82051255, 4170.76923063, 4143.20512800, 4163.84615364, 4120.25640998, 4153.84615364, 4123.71794844, 4122.05128178, 4144.61538441, 4130.89743562, 4113.97435870, 4143.58974339, 4141.28205108, 4151.15384595,12.0
4117.82051255, 4170.76923063, 4143.20512800, 4163.84615364, 4120.25640998, 4153.84615364, 4123.71794844, 4122.05128178, 4144.61538441, 4130.89743562, 4113.97435870, 4143.58974339, 4141.28205108, 4151.15384595,12.0
4117.43589716, 4177.17948704, 4150.51282031, 4175.51282038, 4121.28205101, 4162.69230749, 4141.66666646, 4128.97435870, 4155.25641005, 4130.89743562, 4116.15384588, 4151.92307672, 4136.41025621, 4148.20512800,12.0
4122.05128178, 4168.07692287, 4142.56410236, 4164.10256390, 4122.69230742, 4148.46153826, 4130.76923050, 4115.12820485, 4139.23076903, 4131.02564075, 4111.92307665, 4138.33333313, 4135.64102544, 4146.66666646,12.0
4117.94871767, 4161.02564082, 4138.71794851, 4151.15384595, 4121.92307665, 4138.58974339, 4114.35897408, 4107.30769203, 4126.15384588, 4130.89743562, 4108.71794844, 4131.92307665, 4137.05128185, 4145.64102544,12.0
4119.35897408, 4173.33333320, 4155.12820492, 4168.58974345, 4122.43589716, 4149.99999980, 4133.46153819, 4127.05128178, 4142.30769210, 4130.89743562, 4123.46153819, 4161.53846133, 4136.02564082, 4144.87179467,12.0
4121.15384588, 4169.87179474, 4153.20512800, 4168.20512807, 4125.64102537, 4149.87179467, 4140.89743569, 4134.61538434, 4146.28205108, 4131.02564075, 4125.76923050, 4165.76923056, 4133.84615357, 4144.48717928,12.0
4116.53846126, 4143.07692287, 4126.53846126, 4131.28205101, 4122.82051255, 4121.02564075, 4102.94871767, 4112.17948691, 4115.25640998, 4130.89743562, 4101.79487145, 4119.99999973, 4131.02564075, 4144.61538441,12.0
4121.02564075, 4134.10256383, 4121.66666639, 4120.89743562, 4118.33333306, 4108.20512793, 4081.41025607, 4105.51282024, 4102.56410229, 4130.89743562, 4094.35897402, 4104.99999973, 4133.46153819, 4146.92307672,12.0
4124.23076896, 4152.43589723, 4146.28205108, 4151.53846133, 4119.35897408, 4134.23076896, 4116.15384588, 4136.66666646, 4136.66666646, 4130.89743562, 4115.89743562, 4144.87179467, 4135.51282031, 4146.92307672,12.0
4122.82051255, 4172.56410243, 4161.92307672, 4176.66666653, 4121.92307665, 4165.64102544, 4158.58974339, 4160.12820492, 4169.10256397, 4130.89743562, 4132.56410229, 4174.99999986, 4135.12820485, 4146.79487159,12.0
4123.07692280, 4166.79487159, 4146.15384595, 4160.64102544, 4122.30769203, 4160.38461518, 4145.76923056, 4137.43589723, 4146.66666646, 4131.02564075, 4123.58974332, 4155.89743569, 4135.76923056, 4147.43589723,12.0
4122.30769203, 4147.94871774, 4127.94871767, 4132.17948691, 4119.74358947, 4136.15384595, 4107.82051255, 4105.64102537, 4111.28205101, 4130.89743562, 4110.25640998, 4128.97435870, 4133.71794844, 4147.43589723,12.0
4121.28205101, 4147.94871774, 4135.64102544, 4140.12820492, 4119.99999973, 4134.61538434, 4104.87179460, 4107.43589716, 4118.58974332, 4130.89743562, 4113.84615357, 4138.84615364, 4133.84615357, 4148.33333313,12.0
4121.92307665, 4153.33333313, 4142.69230749, 4154.74358954, 4125.89743562, 4136.53846133, 4114.99999973, 4114.35897408, 4125.25640998, 4131.02564075, 4119.23076896, 4149.23076903, 4134.87179460, 4147.69230749,12.0
4124.87179460, 4144.61538441, 4130.12820485, 4136.41025621, 4125.25640998, 4127.30769203, 4108.07692280, 4106.66666639, 4106.79487152, 4130.89743562, 4108.20512793, 4131.15384588, 4134.99999973, 4147.94871774,12.0
4122.69230742, 4137.56410236, 4121.66666639, 4113.84615357, 4119.61538434, 4128.71794844, 4106.79487152, 4108.07692280, 4103.58974332, 4131.02564075, 4091.28205094, 4111.66666639, 4137.56410236, 4148.97435877,12.0
4119.23076896, 4134.23076896, 4118.84615357, 4115.51282024, 4120.38461511, 4130.64102537, 4106.79487152, 4108.97435870, 4106.15384588, 4130.89743562, 4085.89743555, 4105.25640998, 4136.79487159, 4146.66666646,12.0
4122.43589716, 4131.79487152, 4118.58974332, 4123.97435870, 4121.92307665, 4127.05128178, 4104.99999973, 4108.07692280, 4108.46153819, 4130.89743562, 4102.69230742, 4111.53846126, 4135.51282031, 4144.74358954,12.0
4122.43589716, 4131.79487152, 4118.58974332, 4123.97435870, 4121.92307665, 4127.05128178, 4104.99999973, 4108.07692280, 4108.46153819, 4130.89743562, 4102.69230742, 4111.53846126, 4135.51282031, 4144.74358954,12.0
4119.87179460, 4138.46153826, 4130.25640998, 4126.28205101, 4121.53846126, 4136.92307672, 4123.33333306, 4134.61538434, 4140.76923056, 4130.64102537, 4125.89743562, 4131.28205101, 4134.99999973, 4146.02564082,12.0
4117.56410229, 4126.02564075, 4120.89743562, 4099.74358940, 4120.25640998, 4128.97435870, 4111.53846126, 4131.92307665, 4135.12820485, 4130.64102537, 4121.15384588, 4116.28205101, 4132.17948691, 4148.46153826,12.0
4119.35897408, 4091.41025607, 4088.46153812, 4054.87179446, 4121.02564075, 4093.71794837, 4058.46153805, 4084.35897402, 4073.46153812, 4131.28205101, 4104.23076896, 4067.69230728, 4130.12820485, 4147.56410236,12.0
4116.53846126, 4088.33333299, 4087.30769196, 4052.94871754, 4122.69230742, 4090.51282017, 4054.35897395, 4089.35897402, 4078.58974325, 4130.51282024, 4117.17948691, 4069.74358940, 4133.07692280, 4146.66666646,12.0
4119.61538434, 4106.15384588, 4101.41025607, 4064.87179446, 4121.79487152, 4118.33333306, 4090.12820478, 4120.76923050, 4124.99999973, 4131.15384588, 4132.30769203, 4095.51282017, 4136.41025621, 4142.82051262,12.0
4121.15384588, 4103.97435870, 4099.74358940, 4052.30769189, 4121.66666639, 4129.10256383, 4100.89743555, 4110.89743562, 4122.69230742, 4135.38461518, 4126.41025614, 4092.94871761, 4131.28205101, 4140.25641005,12.0
4120.25640998, 4091.15384581, 4091.41025607, 4035.64102516, 4121.53846126, 4110.25640998, 4081.53846119, 4088.07692273, 4093.97435863, 4137.69230749, 4118.07692280, 4080.64102530, 4128.46153819, 4144.23076903,12.0
4123.58974332, 4078.71794837, 4077.82051248, 4019.23076875, 4121.02564075, 4085.89743555, 4055.12820472, 4068.07692266, 4067.94871754, 4134.35897408, 4107.43589716, 4060.38461497, 4131.28205101, 4144.87179467,12.0
4120.89743562, 4074.87179453, 4071.66666632, 4015.25640977, 4122.43589716, 4092.43589709, 4055.76923036, 4063.20512779, 4068.33333292, 4130.76923050, 4100.25640991, 4049.87179446, 4132.43589716, 4144.35897415,12.0
4122.69230742, 4080.89743555, 4081.41025607, 4029.61538413, 4124.35897408, 4110.12820485, 4071.02564068, 4078.84615350, 4094.48717914, 4129.61538434, 4105.51282024, 4065.76923036, 4132.05128178, 4146.41025621,12.0
4124.23076896, 4071.53846119, 4077.94871761, 4025.89743541, 4124.48717921, 4095.89743555, 4058.20512779, 4078.46153812, 4088.84615350, 4129.87179460, 4106.02564075, 4063.97435856, 4129.74358947, 4146.15384595,12.0
4120.25640998, 4076.15384581, 4079.99999966, 4032.56410208, 4121.28205101, 4103.58974332, 4066.79487138, 4096.02564068, 4089.99999966, 4128.58974332, 4111.92307665, 4065.64102523, 4132.43589716, 4147.69230749,12.0
4123.58974332, 4118.84615357, 4117.43589716, 4088.58974325, 4117.82051255, 4154.99999980, 4123.46153819, 4156.66666646, 4148.84615364, 4128.46153819, 4137.56410236, 4119.35897408, 4133.71794844, 4147.30769210,12.0
4123.97435870, 4127.05128178, 4128.07692280, 4100.51282017, 4120.89743562, 4157.94871774, 4137.43589723, 4175.12820499, 4169.61538448, 4133.71794844, 4141.28205108, 4139.48717928, 4131.79487152, 4145.38461518,12.0
4120.51282024, 4088.46153812, 4091.28205094, 4045.89743548, 4124.99999973, 4111.02564075, 4092.82051248, 4131.79487152, 4117.43589716, 4136.53846133, 4114.87179460, 4086.15384581, 4135.38461518, 4143.71794851,12.0
4120.76923050, 4078.84615350, 4075.12820478, 4030.38461490, 4122.69230742, 4099.23076889, 4073.20512786, 4102.82051255, 4086.28205094, 4133.71794844, 4106.79487152, 4060.38461497, 4133.84615357, 4144.61538441,12.0
4121.79487152, 4099.35897402, 4091.28205094, 4059.99999959, 4118.33333306, 4117.69230742, 4090.51282017, 4106.53846126, 4099.23076889, 4134.10256383, 4115.25640998, 4084.48717914, 4132.82051255, 4147.30769210,12.0
4121.66666639, 4101.28205094, 4097.56410222, 4063.33333292, 4119.35897408, 4117.82051255, 4094.61538427, 4104.35897408, 4104.74358947, 4136.41025621, 4113.71794844, 4093.84615350, 4134.48717921, 4142.94871774,12.0
4117.94871767, 4085.89743555, 4084.61538427, 4043.20512779, 4123.97435870, 4098.58974325, 4073.58974325, 4088.20512786, 4083.71794837, 4135.12820485, 4105.12820485, 4077.30769196, 4130.76923050, 4143.97435877,12.0
4120.51282024, 4077.94871761, 4076.15384581, 4041.28205087, 4122.94871767, 4088.84615350, 4060.25640984, 4076.92307658, 4071.02564068, 4133.97435870, 4105.76923050, 4065.89743548, 4132.17948691, 4149.10256390,12.0
4123.20512793, 4085.51282017, 4080.89743555, 4053.58974318, 4121.66666639, 4107.69230742, 4078.84615350, 4084.99999966, 4087.56410222, 4134.61538434, 4108.20512793, 4069.23076882, 4134.74358947, 4144.35897415,12.0
4116.28205101, 4096.41025607, 4090.64102530, 4062.30769189, 4123.84615357, 4131.02564075, 4098.58974325, 4094.23076889, 4097.43589709, 4134.61538434, 4104.74358947, 4082.17948684, 4134.61538434, 4143.20512800,12.0
4117.56410229, 4097.69230735, 4096.28205094, 4060.76923036, 4124.10256383, 4123.84615357, 4088.07692273, 4087.69230735, 4081.92307658, 4134.35897408, 4104.87179460, 4089.99999966, 4134.74358947, 4145.76923056,12.0
4117.69230742, 4099.48717914, 4101.66666632, 4067.43589702, 4120.38461511, 4126.79487152, 4091.66666632, 4105.38461511, 4096.02564068, 4134.48717921, 4113.84615357, 4098.07692273, 4131.66666639, 4147.82051262,12.0
4117.30769203, 4103.58974332, 4104.10256383, 4082.56410222, 4120.25640998, 4154.74358954, 4113.84615357, 4128.07692280, 4123.07692280, 4134.61538434, 4117.17948691, 4102.05128171, 4132.82051255, 4148.84615364,12.0
4123.97435870, 4088.46153812, 4090.64102530, 4069.48717907, 4124.74358947, 4147.30769210, 4092.94871761, 4098.33333299, 4093.84615350, 4134.87179460, 4099.87179453, 4076.79487145, 4132.69230742, 4144.74358954,12.0
4118.84615357, 4068.58974318, 4076.79487145, 4039.87179446, 4124.74358947, 4112.05128178, 4052.30769189, 4065.51282010, 4054.23076882, 4134.35897408, 4088.33333299, 4054.99999959, 4128.84615357, 4143.46153826,12.0
4119.35897408, 4081.02564068, 4094.48717914, 4051.15384574, 4121.92307665, 4115.76923050, 4065.89743548, 4092.05128171, 4078.84615350, 4134.61538434, 4105.89743562, 4086.28205094, 4131.28205101, 4146.41025621,12.0
4124.23076896, 4108.46153819, 4115.64102537, 4098.07692273, 4121.79487152, 4141.41025621, 4098.71794837, 4123.20512793, 4111.66666639, 4135.12820485, 4117.82051255, 4118.07692280, 4134.23076896, 4144.87179467,12.0
4118.07692280, 4114.74358947, 4113.07692280, 4117.30769203, 4121.66666639, 4146.53846133, 4101.02564068, 4117.56410229, 4108.33333306, 4132.94871767, 4113.71794844, 4114.23076896, 4135.64102544, 4142.69230749,12.0
4120.12820485, 4094.74358940, 4105.51282024, 4084.61538427, 4120.64102537, 4140.89743569, 4097.30769196, 4110.76923050, 4104.74358947, 4129.87179460, 4115.12820485, 4106.66666639, 4133.84615357, 4143.07692287,12.0
4122.56410229, 4073.97435863, 4099.35897402, 4051.41025600, 4119.87179460, 4135.12820485, 4092.82051248, 4105.89743562, 4094.10256376, 4128.84615357, 4105.76923050, 4089.99999966, 4131.92307665, 4145.51282031,12.0
4122.30769203, 4087.30769196, 4102.17948684, 4076.53846119, 4121.02564075, 4136.53846133, 4092.82051248, 4103.71794844, 4082.30769196, 4128.97435870, 4093.58974325, 4085.76923043, 4134.23076896, 4146.66666646,12.0
4121.28205101, 4106.66666639, 4115.12820485, 4116.15384588, 4122.82051255, 4144.10256390, 4102.43589709, 4112.05128178, 4101.02564068, 4129.23076896, 4109.10256383, 4113.58974332, 4133.84615357, 4145.51282031,12.0
4121.28205101, 4106.66666639, 4115.12820485, 4116.15384588, 4122.82051255, 4144.10256390, 4102.43589709, 4112.05128178, 4101.02564068, 4129.23076896, 4109.10256383, 4113.58974332, 4133.84615357, 4145.51282031,12.0
4116.28205101, 4099.10256376, 4112.82051255, 4114.87179460, 4120.38461511, 4145.12820492, 4107.69230742, 4121.92307665, 4117.82051255, 4129.99999973, 4117.43589716, 4116.66666639, 4136.28205108, 4146.28205108,12.0
4122.30769203, 4093.97435863, 4105.25640998, 4107.94871767, 4119.23076896, 4141.53846133, 4104.99999973, 4121.28205101, 4100.25640991, 4130.38461511, 4095.25640991, 4093.84615350, 4136.15384595, 4146.53846133,12.0
4125.12820485, 4099.61538427, 4111.02564075, 4113.07692280, 4122.17948691, 4137.69230749, 4098.71794837, 4110.64102537, 4087.56410222, 4129.99999973, 4089.99999966, 4097.43589709, 4131.92307665, 4146.66666646,12.0
4121.79487152, 4086.41025607, 4101.28205094, 4095.76923043, 4121.28205101, 4115.38461511, 4066.66666625, 4083.97435863, 4073.07692273, 4130.25640998, 4101.92307658, 4093.58974325, 4134.61538434, 4145.76923056,12.0
4122.94871767, 4063.84615343, 4075.51282017, 4069.48717907, 4120.38461511, 4081.66666632, 4019.61538413, 4042.94871754, 4029.10256362, 4130.25640998, 4087.94871761, 4056.02564061, 4135.76923056, 4143.33333313,12.0
4117.05128178, 4070.38461504, 4080.51282017, 4084.23076889, 4121.15384588, 4089.74358940, 4027.69230721, 4047.94871754, 4025.64102516, 4130.25640998, 4078.84615350, 4060.76923036, 4132.05128178, 4143.97435877,12.0
4121.02564075, 4103.84615357, 4114.23076896, 4130.64102537, 4121.02564075, 4135.89743569, 4084.48717914, 4107.56410229, 4089.61538427, 4130.25640998, 4104.23076896, 4115.64102537, 4130.89743562, 4145.38461518,12.0
4122.69230742, 4117.30769203, 4124.87179460, 4142.17948697, 4121.92307665, 4147.94871774, 4110.38461511, 4136.41025621, 4127.69230742, 4130.25640998, 4120.12820485, 4134.48717921, 4133.20512793, 4145.25641005,12.0
4113.97435870, 4093.20512786, 4100.25640991, 4106.53846126, 4122.43589716, 4116.02564075, 4079.87179453, 4100.12820478, 4089.35897402, 4130.25640998, 4101.79487145, 4098.20512786, 4134.61538434, 4145.64102544,12.0
4118.46153819, 4079.61538427, 4089.99999966, 4096.92307658, 4124.35897408, 4109.61538434, 4063.97435856, 4076.66666632, 4060.76923036, 4130.25640998, 4088.07692273, 4080.25640991, 4131.66666639, 4145.76923056,12.0
4116.79487152, 4097.82051248, 4107.17948691, 4127.17948691, 4124.87179460, 4133.84615357, 4092.17948684, 4104.23076896, 4084.99999966, 4130.25640998, 4098.58974325, 4101.41025607, 4131.79487152, 4145.25641005,12.0
4118.33333306, 4114.10256383, 4120.64102537, 4139.23076903, 4124.23076896, 4142.30769210, 4113.84615357, 4123.97435870, 4103.07692280, 4130.25640998, 4108.58974332, 4118.84615357, 4135.51282031, 4145.38461518,12.0
4122.94871767, 4111.41025614, 4117.30769203, 4131.53846126, 4125.89743562, 4133.58974332, 4109.87179460, 4121.02564075, 4095.12820478, 4130.25640998, 4108.46153819, 4118.33333306, 4133.84615357, 4145.12820492,12.0
4115.64102537, 4106.28205101, 4111.92307665, 4128.46153819, 4122.82051255, 4130.51282024, 4098.71794837, 4116.28205101, 4092.69230735, 4130.25640998, 4106.53846126, 4114.23076896, 4133.20512793, 4145.64102544,12.0
4118.71794844, 4109.48717921, 4116.41025614, 4128.58974332, 4120.89743562, 4134.10256383, 4096.79487145, 4113.97435870, 4093.58974325, 4130.25640998, 4100.25640991, 4113.71794844, 4134.48717921, 4146.79487159,12.0
4119.10256383, 4109.74358947, 4118.71794844, 4132.94871767, 4123.71794844, 4129.61538434, 4096.53846119, 4110.25640998, 4080.38461504, 4130.25640998, 4096.28205094, 4118.58974332, 4133.58974332, 4146.41025621,12.0
4116.41025614, 4109.74358947, 4118.84615357, 4142.05128185, 4123.20512793, 4124.10256383, 4090.12820478, 4102.43589709, 4074.61538427, 4130.25640998, 4102.43589709, 4127.05128178, 4133.58974332, 4144.61538441,12.0
4121.66666639, 4106.92307665, 4117.43589716, 4138.07692287, 4122.05128178, 4115.89743562, 4072.56410222, 4087.94871761, 4068.20512779, 4130.25640998, 4102.82051255, 4123.97435870, 4131.79487152, 4142.69230749,12.0
4122.94871767, 4100.76923043, 4113.46153819, 4128.84615357, 4122.94871767, 4109.74358947, 4066.02564061, 4079.10256376, 4054.61538420, 4130.25640998, 4099.74358940, 4117.56410229, 4130.64102537, 4143.58974339,12.0
4122.43589716, 4102.43589709, 4113.33333306, 4132.94871767, 4124.23076896, 4111.15384588, 4073.33333299, 4083.33333299, 4060.51282010, 4130.25640998, 4101.02564068, 4117.69230742, 4131.92307665, 4145.38461518,12.0
4121.41025614, 4102.69230742, 4113.58974332, 4132.43589716, 4124.61538434, 4109.48717921, 4069.87179453, 4088.20512786, 4073.97435863, 4130.25640998, 4097.94871761, 4114.23076896, 4131.79487152, 4145.25641005,12.0
4122.56410229, 4100.25640991, 4113.84615357, 4126.15384588, 4122.17948691, 4111.28205101, 4071.79487145, 4091.02564068, 4076.79487145, 4130.25640998, 4098.58974325, 4113.58974332, 4133.07692280, 4145.25641005,12.0
4122.17948691, 4102.05128171, 4114.87179460, 4128.71794844, 4121.02564075, 4118.33333306, 4082.82051248, 4091.28205094, 4074.74358940, 4130.12820485, 4101.79487145, 4119.35897408, 4133.71794844, 4147.05128185,12.0
4120.64102537, 4105.76923050, 4116.66666639, 4133.20512793, 4120.89743562, 4119.99999973, 4084.61538427, 4091.53846119, 4071.53846119, 4129.99999973, 4101.15384581, 4128.33333306, 4133.71794844, 4148.20512800,12.0
4123.97435870, 4099.74358940, 4112.56410229, 4120.51282024, 4121.66666639, 4108.58974332, 4071.66666632, 4083.71794837, 4061.02564061, 4129.87179460, 4097.69230735, 4122.94871767, 4134.99999973, 4146.02564082,12.0
4120.12820485, 4099.35897402, 4113.07692280, 4120.64102537, 4123.97435870, 4111.02564075, 4075.38461504, 4088.33333299, 4066.41025600, 4130.51282024, 4100.12820478, 4122.56410229, 4134.23076896, 4145.76923056,12.0
4118.71794844, 4123.84615357, 4132.30769203, 4155.25641005, 4120.38461511, 4135.76923056, 4109.48717921, 4122.69230742, 4097.94871761, 4129.99999973, 4114.74358947, 4153.58974339, 4133.20512793, 4148.07692287,12.0
