AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4033.20512772, 4246.79487180, 4087.17948684, 4326.53846168, 4122.69230742, 4152.56410236, 4141.92307672, 4166.02564082, 4199.23076910, 4129.48717921, 3338.71794678, 3812.05128115, 4074.74358940, 4138.33333313,12.0
4035.38461490, 4236.15384616, 4078.46153812, 4291.28205136, 4121.28205101, 4131.02564075, 4147.43589723, 4150.89743569, 4193.58974345, 4125.76923050, 4851.92307818, 3791.02564006, 4074.10256376, 4137.05128185,12.0
4041.79487138, 4222.69230763, 4069.99999966, 4265.38461539, 4123.58974332, 4085.12820478, 4112.82051255, 4129.87179460, 4177.05128192, 4126.66666639, 6114.74359371, 3768.20512717, 4070.64102530, 4138.20512800,12.0
4040.89743548, 4243.71794872, 4081.28205094, 4295.89743597, 4123.58974332, 4131.92307665, 4119.23076896, 4161.28205108, 4204.48717942, 4129.99999973, 6233.07692725, 3810.64102474, 4070.38461504, 4136.92307672,12.0
4043.20512779, 4255.76923077, 4086.79487145, 4285.89743597, 4120.64102537, 4151.66666646, 4139.74358954, 4162.56410236, 4194.99999986, 4127.69230742, 5978.33333702, 3817.30769141, 4069.48717907, 4137.43589723,12.0
4044.48717907, 4237.56410257, 4074.99999966, 4252.17948718, 4121.28205101, 4104.99999973, 4125.64102537, 4128.97435870, 4171.79487166, 4124.10256383, 5890.76923425, 3785.76922980, 4071.66666632, 4137.69230749,12.0
4048.20512779, 4238.33333334, 4081.53846119, 4287.69230777, 4123.33333306, 4128.58974332, 4145.89743569, 4158.07692287, 4204.61538455, 4127.17948691, 5767.94872115, 3816.92307602, 4078.97435863, 4140.64102544,12.0
4053.33333292, 4244.10256411, 4093.07692273, 4299.74358989, 4122.30769203, 4142.05128185, 4176.28205115, 4182.05128192, 4190.64102551, 4130.51282024, 5586.15384901, 3836.53846064, 4074.87179453, 4141.79487159,12.0
4044.48717907, 4218.71794865, 4074.61538427, 4227.82051275, 4119.35897408, 4074.61538427, 4124.48717921, 4123.20512793, 4123.20512793, 4128.97435870, 5447.69231020, 3783.46153749, 4067.94871754, 4140.76923056,12.0
4046.66666625, 4207.94871788, 4071.02564068, 4208.84615378, 4121.79487152, 4087.05128171, 4083.58974325, 4092.94871761, 4148.46153826, 4126.53846126, 5389.87179731, 3776.92307595, 4078.33333299, 4143.07692287,12.0
4050.51282010, 4207.43589737, 4090.76923043, 4250.25641026, 4125.25640998, 4164.48717928, 4133.97435870, 4127.69230742, 4200.51282038, 4126.41025614, 5265.12820729, 3830.89743500, 4088.84615350, 4140.12820492,12.0
4042.69230728, 4177.43589730, 4088.07692273, 4233.58974352, 4120.38461511, 4137.82051262, 4134.87179460, 4116.79487152, 4149.99999980, 4126.28205101, 4937.05128351, 3828.71794782, 4087.56410222, 4139.35897415,12.0
4046.02564061, 4150.76923056, 4073.33333299, 4183.58974345, 4121.92307665, 4077.69230735, 4073.84615350, 4086.28205094, 4123.58974332, 4128.46153819, 4625.25641102, 3790.51281954, 4089.23076889, 4141.66666646,12.0
4045.38461497, 4154.48717928, 4076.79487145, 4178.97435884, 4127.17948691, 4090.64102530, 4098.84615350, 4106.79487152, 4182.69230756, 4131.28205101, 4509.61538518, 3800.38461442, 4091.92307658, 4140.12820492,12.0
4047.69230728, 4146.53846133, 4086.92307658, 4215.64102558, 4124.61538434, 4120.12820485, 4137.17948697, 4111.92307665, 4189.61538448, 4129.61538434, 4447.94871837, 3816.79487090, 4092.94871761, 4142.43589723,12.0
4051.15384574, 4110.76923050, 4083.46153812, 4263.20512821, 4121.53846126, 4128.97435870, 4112.56410229, 4095.51282017, 4154.61538441, 4126.02564075, 4345.38461560, 3805.89743493, 4098.84615350, 4143.33333313,12.0
4043.58974318, 4076.28205094, 4074.10256376, 4294.87179495, 4119.74358947, 4111.41025614, 4116.15384588, 4105.64102537, 4171.41025628, 4126.53846126, 4491.41025690, 3794.35897339, 4102.94871767, 4140.12820492,12.0
4048.58974318, 4047.56410215, 4069.48717907, 4283.07692315, 4121.53846126, 4093.84615350, 4115.89743562, 4095.38461504, 4167.43589723, 4128.84615357, 4957.43589897, 3770.25640922, 4098.07692273, 4139.87179467,12.0
4050.51282010, 4029.87179439, 4068.07692266, 4254.23076923, 4124.23076896, 4099.74358940, 4089.74358940, 4077.30769196, 4139.48717928, 4126.92307665, 5628.58974651, 3764.61538358, 4096.02564068, 4141.92307672,12.0
4050.64102523, 4022.30769183, 4078.07692273, 4269.74358982, 4124.23076896, 4095.76923043, 4117.69230742, 4107.43589716, 4175.51282038, 4125.12820485, 6574.87179981, 3808.58974269, 4103.97435870, 4143.46153826,12.0
4059.35897395, 4006.79487131, 4081.79487145, 4332.05128219, 4124.61538434, 4081.28205094, 4132.94871767, 4123.07692280, 4200.25641012, 4127.30769203, 7477.56410938, 3813.71794782, 4102.94871767, 4140.25641005,12.0
4061.15384574, 4010.76923029, 4076.53846119, 4407.30769266, 4124.35897408, 4113.58974332, 4098.33333299, 4116.41025614, 4197.43589730, 4128.58974332, 7797.82052033, 3797.05128108, 4099.87179453, 4137.69230749,12.0
