AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4107.94871767, 4376.15384644, 4215.76923070, 4136.02564082, 4127.56410229, 4209.35897429, 4185.12820499, 4191.66666653, 4241.02564103, 4131.79487152, 3978.58974304, 4216.66666660, 4206.02564096, 4146.28205108,12.0
4109.87179460, 4370.76923105, 4208.46153840, 4119.87179460, 4126.53846126, 4210.25641019, 4200.51282038, 4203.97435891, 4240.89743590, 4135.76923056, 4040.51282010, 4205.51282045, 4211.53846147, 4145.12820492,12.0
4119.74358947, 4382.82051310, 4199.61538448, 4158.58974339, 4125.76923050, 4181.53846140, 4177.30769217, 4173.20512807, 4229.74358968, 4134.61538434, 4090.12820478, 4200.64102551, 4191.15384602, 4147.05128185,12.0
4112.43589716, 4351.79487201, 4184.61538448, 4154.99999980, 4125.76923050, 4143.46153826, 4133.71794844, 4127.43589716, 4186.79487166, 4132.43589716, 3954.48717887, 4186.28205115, 4172.17948704, 4148.46153826,12.0
4113.20512793, 4312.43589758, 4166.66666646, 4107.05128178, 4126.53846126, 4153.97435877, 4130.38461511, 4124.61538434, 4170.64102551, 4133.46153819, 4052.94871754, 4163.84615364, 4178.71794858, 4147.43589723,12.0
4119.61538434, 4321.41025655, 4165.38461518, 4136.66666646, 4126.79487152, 4182.43589730, 4158.97435877, 4151.02564082, 4199.61538448, 4134.23076896, 3929.35897367, 4155.64102544, 4180.51282038, 4145.64102544,12.0
4108.71794844, 4331.79487194, 4182.30769217, 4184.74358961, 4126.15384588, 4185.25641012, 4178.20512807, 4171.53846140, 4224.23076917, 4134.23076896, 2561.79486825, 4171.15384602, 4180.76923063, 4148.97435877,12.0
4101.66666632, 4297.05128212, 4167.82051262, 4156.41025621, 4126.53846126, 4173.33333320, 4162.94871774, 4158.58974339, 4202.69230763, 4134.35897408, 899.87178779, 4158.20512800, 4186.28205115, 4152.17948697,12.0
4094.35897402, 4265.38461539, 4133.84615357, 4125.51282024, 4127.17948691, 4150.12820492, 4131.41025614, 4121.66666639, 4154.74358954, 4134.10256383, 532.69229984, 4110.89743562, 4159.10256390, 4147.05128185,12.0
4094.23076889, 4281.15384623, 4145.64102544, 4149.35897415, 4126.66666639, 4137.69230749, 4143.20512800, 4129.35897408, 4157.17948697, 4134.48717921, 827.30768508, 4116.79487152, 4130.64102537, 4147.82051262,12.0
4097.69230735, 4290.89743597, 4162.56410236, 4166.79487159, 4127.56410229, 4146.79487159, 4158.71794851, 4160.38461518, 4191.02564089, 4134.23076896, 727.82050539, 4146.53846133, 4134.61538434, 4147.94871774,12.0
4089.10256376, 4249.48717949, 4133.58974332, 4140.76923056, 4127.56410229, 4119.23076896, 4110.51282024, 4133.46153819, 4159.74358954, 4134.23076896, 663.33332576, 4107.17948691, 4128.46153819, 4144.10256390,12.0
4090.25640991, 4196.79487166, 4100.38461504, 4092.82051248, 4126.53846126, 4063.33333292, 4054.48717907, 4083.84615350, 4100.89743555, 4134.48717921, 793.07691578, 4046.79487138, 4102.69230742, 4147.56410236,12.0
4086.66666632, 4165.64102544, 4087.94871761, 4054.10256369, 4126.66666639, 4051.53846113, 4041.02564061, 4064.99999959, 4094.87179453, 4134.87179460, 804.99999271, 4020.64102516, 4085.64102530, 4147.43589723,12.0
4082.69230735, 4177.30769217, 4089.87179453, 4065.76923036, 4127.30769203, 4074.74358940, 4053.20512779, 4071.28205094, 4115.12820485, 4134.87179460, 801.28204399, 4026.66666618, 4086.66666632, 4144.87179467,12.0
4084.23076889, 4200.25641012, 4103.84615357, 4086.28205094, 4127.43589716, 4069.48717907, 4062.94871754, 4079.87179453, 4109.10256383, 4134.74358947, 798.84614655, 4042.56410215, 4095.64102530, 4145.51282031,12.0
4078.97435863, 4176.92307679, 4104.10256383, 4063.33333292, 4124.23076896, 4047.17948677, 4062.30769189, 4074.10256376, 4087.43589709, 4134.74358947, 801.02563373, 4031.15384567, 4096.92307658, 4147.05128185,12.0
4083.71794837, 4139.48717928, 4083.07692273, 4025.12820465, 4123.71794844, 4040.25640984, 4036.02564054, 4045.12820472, 4061.79487138, 4134.87179460, 800.38460809, 3996.92307637, 4078.71794837, 4147.94871774,12.0
4081.02564068, 4120.12820485, 4065.51282010, 3998.20512765, 4130.51282024, 4024.23076875, 3995.12820458, 4007.82051234, 4022.43589695, 4134.74358947, 800.12819784, 3976.28205073, 4057.82051241, 4143.58974339,12.0
4076.53846119, 4101.02564068, 4065.51282010, 3992.17948663, 4132.69230742, 4009.99999952, 3983.07692252, 3997.43589688, 4003.33333278, 4134.74358947, 800.51281322, 3976.41025586, 4059.10256369, 4143.84615364,12.0
4083.07692273, 4090.64102530, 4063.33333292, 3972.17948663, 4127.17948691, 4008.97435849, 3994.87179432, 4010.64102516, 4015.89743541, 4134.99999973, 800.51281322, 3965.64102502, 4059.48717907, 4146.41025621,12.0
4079.74358940, 4085.51282017, 4052.82051241, 3931.53846085, 4125.12820485, 3995.89743535, 3990.64102509, 4011.92307644, 4014.23076875, 4134.61538434, 800.51281322, 3948.58974297, 4045.12820472, 4145.64102544,12.0
4080.38461504, 4075.64102530, 4056.79487138, 3924.48717880, 4126.66666639, 3989.61538406, 3980.38461483, 4005.76923029, 4010.51282003, 4133.58974332, 800.51281322, 3953.71794810, 4048.97435856, 4145.89743569,12.0
4078.84615350, 4098.33333299, 4067.05128164, 3940.38461476, 4124.74358947, 3998.46153791, 3988.71794817, 4020.89743541, 4030.51282003, 4133.71794844, 800.51281322, 3969.74358912, 4064.48717907, 4144.23076903,12.0
4073.97435863, 4118.46153819, 4060.76923036, 3932.17948649, 4122.94871767, 3978.20512765, 3973.46153791, 4016.92307644, 4022.82051234, 4134.48717921, 800.51281322, 3965.38461476, 4056.66666625, 4147.43589723,12.0
4077.17948684, 4105.38461511, 4058.33333292, 3928.71794803, 4125.89743562, 3963.84615322, 3952.05128143, 3995.89743535, 4004.23076875, 4134.48717921, 800.51281322, 3967.30769169, 4053.46153805, 4149.74358954,12.0
4070.89743555, 4130.25640998, 4075.89743555, 3958.33333271, 4127.30769203, 3993.20512765, 3971.28205073, 4013.97435849, 4024.61538413, 4134.23076896, 800.51281322, 4000.51281996, 4073.58974325, 4144.99999980,12.0
4071.41025607, 4156.53846133, 4081.41025607, 3961.28205066, 4126.66666639, 4003.46153791, 3979.61538406, 4025.12820465, 4031.41025593, 4134.35897408, 800.51281322, 4005.64102516, 4071.79487145, 4144.10256390,12.0
4072.30769196, 4121.02564075, 4062.05128164, 3926.53846085, 4126.66666639, 3981.28205073, 3953.84615322, 3988.20512765, 4002.30769176, 4134.48717921, 800.51281322, 3968.84615322, 4048.46153805, 4144.23076903,12.0
4063.58974318, 4100.64102530, 4049.48717907, 3911.92307623, 4126.79487152, 3974.87179432, 3953.20512758, 3968.46153784, 3981.28205073, 4134.35897408, 800.51281322, 3951.66666605, 4046.53846113, 4147.30769210,12.0
4065.12820472, 4116.28205101, 4052.43589702, 3919.87179418, 4126.02564075, 3990.51281996, 3984.48717894, 3991.53846099, 3984.87179432, 4134.35897408, 800.51281322, 3961.92307630, 4052.43589702, 4148.46153826,12.0
4060.12820472, 4130.12820485, 4065.51282010, 3933.71794803, 4123.84615357, 4019.99999952, 4015.12820465, 4022.05128157, 4019.10256362, 4134.35897408, 800.51281322, 3981.02564047, 4056.92307651, 4144.23076903,12.0
4059.61538420, 4154.99999980, 4079.10256376, 3953.71794810, 4125.38461511, 4047.43589702, 4035.38461490, 4042.94871754, 4048.58974318, 4134.35897408, 800.51281322, 3999.10256355, 4079.35897402, 4147.82051262,12.0
4060.38461497, 4169.48717935, 4084.23076889, 3976.15384560, 4127.05128178, 4054.61538420, 4049.35897395, 4059.99999959, 4039.23076882, 4134.35897408, 800.51281322, 4016.53846106, 4101.53846119, 4149.99999980,12.0
4054.23076882, 4164.61538441, 4089.10256376, 3994.87179432, 4122.94871767, 4060.51282010, 4059.74358933, 4080.25640991, 4051.53846113, 4134.35897408, 800.51281322, 4036.15384567, 4107.43589716, 4146.53846133,12.0
4059.87179446, 4171.92307679, 4089.35897402, 3994.23076868, 4122.56410229, 4059.23076882, 4048.71794830, 4076.79487145, 4079.23076889, 4134.35897408, 800.51281322, 4036.92307651, 4105.12820485, 4145.38461518,12.0
4056.53846113, 4186.28205115, 4089.87179453, 3987.82051227, 4126.79487152, 4047.69230728, 4040.25640984, 4066.02564061, 4076.53846119, 4134.35897408, 800.51281322, 4038.84615343, 4109.87179460, 4143.46153826,12.0
4056.53846113, 4186.28205115, 4089.87179453, 3987.82051227, 4126.79487152, 4047.69230728, 4040.25640984, 4066.02564061, 4076.53846119, 4134.35897408, 800.51281322, 4038.84615343, 4109.87179460, 4143.46153826,12.0
4055.38461497, 4209.35897429, 4110.25640998, 4014.74358926, 4127.05128178, 4076.92307658, 4072.82051248, 4095.38461504, 4091.15384581, 4134.35897408, 800.38460809, 4074.61538427, 4127.82051255, 4145.89743569,12.0
4058.07692266, 4211.41025634, 4119.99999973, 4032.56410208, 4124.35897408, 4102.82051255, 4082.43589709, 4109.99999973, 4099.74358940, 4134.35897408, 799.87178758, 4086.79487145, 4132.30769203, 4147.05128185,12.0
4051.66666625, 4187.30769217, 4108.58974332, 4013.07692259, 4124.48717921, 4076.41025607, 4050.25640984, 4079.74358940, 4071.41025607, 4134.35897408, 799.23076194, 4066.28205087, 4118.33333306, 4143.46153826,12.0
4057.30769189, 4217.69230763, 4126.28205101, 4030.38461490, 4126.15384588, 4086.15384581, 4069.61538420, 4085.12820478, 4087.30769196, 4134.35897408, 801.02563373, 4099.61538427, 4131.66666639, 4144.10256390,12.0
4053.20512779, 4260.76923077, 4151.53846133, 4073.33333299, 4125.76923050, 4132.30769203, 4112.69230742, 4121.92307665, 4127.94871767, 4134.35897408, 798.97435168, 4145.25641005, 4157.94871774, 4146.53846133,12.0
4050.51282010, 4241.15384616, 4142.82051262, 4064.61538420, 4123.33333306, 4128.33333306, 4100.25640991, 4118.97435870, 4119.87179460, 4134.35897408, 797.05127476, 4125.64102537, 4151.28205108, 4146.53846133,12.0
4059.35897395, 4242.82051282, 4147.56410236, 4063.71794830, 4122.69230742, 4124.99999973, 4104.61538434, 4119.74358947, 4128.46153819, 4134.35897408, 811.15383886, 4129.23076896, 4148.84615364, 4142.69230749,12.0
4051.41025600, 4271.41025648, 4166.92307672, 4105.64102537, 4123.71794844, 4153.20512800, 4128.58974332, 4131.28205101, 4153.84615364, 4134.35897408, 819.99999271, 4163.33333313, 4162.94871774, 4144.87179467,12.0
4052.56410215, 4247.17948718, 4155.64102544, 4096.79487145, 4125.12820485, 4152.82051262, 4108.71794844, 4106.28205101, 4134.10256383, 4134.35897408, 820.12819784, 4143.84615364, 4155.25641005, 4150.38461518,12.0
4054.74358933, 4209.87179481, 4129.74358947, 4042.82051241, 4126.15384588, 4124.10256383, 4078.84615350, 4083.97435863, 4108.71794844, 4134.35897408, 829.74358252, 4099.10256376, 4136.92307672, 4145.76923056,12.0
4046.28205087, 4240.64102564, 4143.20512800, 4056.92307651, 4122.94871767, 4128.84615357, 4099.23076889, 4103.71794844, 4126.53846126, 4134.35897408, 837.82050560, 4116.15384588, 4147.56410236, 4147.56410236,12.0
4047.69230728, 4284.10256418, 4174.99999986, 4117.69230742, 4120.64102537, 4154.10256390, 4134.61538434, 4127.69230742, 4148.33333313, 4134.35897408, 855.76922362, 4164.74358954, 4162.17948697, 4151.92307672,12.0
4042.43589702, 4277.56410264, 4172.82051269, 4135.25640998, 4123.46153819, 4152.82051262, 4128.84615357, 4124.99999973, 4141.02564082, 4134.35897408, 881.53845439, 4165.51282031, 4149.35897415, 4147.30769210,12.0
4042.56410215, 4244.61538462, 4153.33333313, 4110.38461511, 4124.35897408, 4134.74358947, 4104.61538434, 4107.30769203, 4121.92307665, 4134.35897408, 892.94871086, 4130.76923050, 4134.61538434, 4148.33333313,12.0
4043.97435856, 4235.89743590, 4154.87179467, 4098.58974325, 4123.84615357, 4137.56410236, 4112.56410229, 4112.82051255, 4119.87179460, 4134.35897408, 906.53845445, 4125.64102537, 4141.28205108, 4148.58974339,12.0
4039.23076882, 4258.97435898, 4173.33333320, 4114.35897408, 4124.61538434, 4156.66666646, 4147.30769210, 4150.25641005, 4144.48717928, 4134.35897408, 928.97435196, 4158.33333313, 4158.71794851, 4145.89743569,12.0
