AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4099.99999966, 4318.84615399, 4158.97435877, 4150.38461518, 4118.84615357, 4140.89743569, 4146.02564082, 4131.28205101, 4157.56410236, 4129.61538434, 3967.94871733, 4169.87179474, 4143.58974339, 4137.82051262,12.0
4138.20512800, 4298.84615392, 4149.74358954, 4148.20512800, 4128.20512793, 4143.71794851, 4121.92307665, 4129.48717921, 4155.12820492, 4130.64102537, 3965.51281989, 4150.12820492, 4138.97435877, 4155.38461518,12.0
4099.99999966, 4261.53846154, 4134.10256383, 4113.97435870, 4117.05128178, 4143.07692287, 4129.10256383, 4153.71794851, 4178.46153833, 4131.02564075, 3962.05128143, 4140.76923056, 4132.82051255, 4131.02564075,12.0
4014.74358926, 4236.02564103, 4106.28205101, 4084.99999966, 4102.94871767, 4076.92307658, 4077.30769196, 4069.48717907, 4136.15384595, 4129.61538434, 3940.25640963, 4114.23076896, 4110.51282024, 4107.94871767,12.0
4174.10256397, 4239.87179488, 4121.92307665, 4091.02564068, 4148.07692287, 4069.87179453, 4044.23076882, 4011.66666618, 4070.38461504, 4129.99999973, 3930.89743521, 4092.43589709, 4107.17948691, 4187.69230756,12.0
4168.84615371, 4258.33333334, 4131.92307665, 4111.66666639, 4131.41025614, 4125.38461511, 4089.87179453, 4078.33333299, 4088.84615350, 4130.51282024, 3946.66666605, 4121.02564075, 4121.41025614, 4156.28205108,12.0
4060.76923036, 4245.64102564, 4123.58974332, 4100.25640991, 4104.10256383, 4100.12820478, 4092.43589709, 4082.30769196, 4116.53846126, 4129.61538434, 3956.66666605, 4132.30769203, 4121.53846126, 4115.64102537,12.0
4155.76923056, 4229.61538455, 4132.05128178, 4087.17948684, 4135.51282031, 4090.51282017, 4085.38461504, 4069.10256369, 4115.25640998, 4130.51282024, 3954.23076861, 4113.84615357, 4120.38461511, 4166.28205108,12.0
4126.15384588, 4255.00000000, 4133.07692280, 4110.25640998, 4122.43589716, 4127.56410229, 4115.64102537, 4113.97435870, 4135.38461518, 4129.35897408, 3955.25640963, 4133.71794844, 4127.05128178, 4141.53846133,12.0
4097.17948684, 4273.97435905, 4139.35897415, 4113.20512793, 4117.94871767, 4114.10256383, 4115.12820485, 4122.43589716, 4141.41025621, 4129.48717921, 3961.02564040, 4148.20512800, 4131.15384588, 4139.23076903,12.0
4142.05128185, 4228.46153840, 4116.66666639, 4070.51282017, 4128.07692280, 4071.66666632, 4065.51282010, 4080.25640991, 4097.05128171, 4131.53846126, 3942.43589681, 4099.48717914, 4111.66666639, 4153.97435877,12.0
4106.28205101, 4188.97435884, 4088.97435863, 4054.10256369, 4117.17948691, 4056.66666625, 4037.30769189, 4048.84615343, 4078.58974325, 4129.87179460, 3921.28205059, 4072.30769196, 4098.84615350, 4135.12820485,12.0
4122.30769203, 4217.05128199, 4112.94871767, 4078.84615350, 4124.74358947, 4087.69230735, 4070.38461504, 4078.20512786, 4113.71794844, 4126.92307665, 3934.87179418, 4108.71794844, 4117.30769203, 4147.69230749,12.0
4124.74358947, 4246.02564103, 4123.84615357, 4088.33333299, 4121.28205101, 4111.79487152, 4100.76923043, 4113.84615357, 4133.46153819, 4127.56410229, 3947.56410194, 4128.97435870, 4127.30769203, 4142.82051262,12.0
4100.89743555, 4231.41025634, 4112.05128178, 4078.58974325, 4117.69230742, 4096.92307658, 4086.92307658, 4101.15384581, 4128.33333306, 4130.38461511, 3936.79487110, 4111.15384588, 4122.94871767, 4140.51282031,12.0
4130.76923050, 4206.79487173, 4103.33333306, 4058.33333292, 4124.99999973, 4076.92307658, 4063.97435856, 4078.07692273, 4112.30769203, 4130.25640998, 3926.28205059, 4087.17948684, 4112.30769203, 4152.82051262,12.0
4106.15384588, 4210.89743583, 4098.71794837, 4050.12820472, 4115.51282024, 4066.28205087, 4068.33333292, 4077.69230735, 4104.48717921, 4127.17948691, 3936.15384546, 4092.94871761, 4109.35897408, 4136.66666646,12.0
4111.53846126, 4216.53846147, 4104.74358947, 4057.30769189, 4124.23076896, 4057.43589702, 4070.89743555, 4078.20512786, 4093.58974325, 4127.82051255, 3938.07692239, 4098.58974325, 4115.64102537, 4144.99999980,12.0
4129.35897408, 4213.97435891, 4104.99999973, 4067.05128164, 4126.92307665, 4064.74358933, 4070.51282017, 4075.76923043, 4090.76923043, 4131.02564075, 3930.51281982, 4095.64102530, 4113.84615357, 4146.92307672,12.0
4094.61538427, 4248.33333334, 4122.94871767, 4094.99999966, 4116.41025614, 4100.12820478, 4093.58974325, 4090.51282017, 4133.46153819, 4130.51282024, 3952.94871733, 4129.61538434, 4124.35897408, 4134.48717921,12.0
