AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4118.71794844, 4092.82051248, 4106.02564075, 4087.43589709, 4126.79487152, 4102.82051255, 4103.46153819, 4103.97435870, 4109.99999973, 4133.33333306, 4607.69230846, 4115.38461511, 4117.94871767, 4143.46153826,12.0
4117.56410229, 4100.38461504, 4120.64102537, 4085.76923043, 4123.20512793, 4110.89743562, 4123.58974332, 4127.17948691, 4139.99999980, 4133.33333306, 4622.69230846, 4136.28205108, 4134.10256383, 4142.30769210,12.0
4119.48717921, 4099.87179453, 4132.94871767, 4098.20512786, 4124.35897408, 4155.89743569, 4146.79487159, 4147.17948697, 4159.61538441, 4133.33333306, 4632.17948802, 4159.48717928, 4147.05128185, 4147.94871774,12.0
4123.46153819, 4100.51282017, 4128.20512793, 4095.38461504, 4128.71794844, 4153.46153826, 4146.41025621, 4143.46153826, 4153.84615364, 4133.33333306, 4625.89743667, 4152.82051262, 4138.33333313, 4147.69230749,12.0
4114.10256383, 4107.56410229, 4122.82051255, 4088.58974325, 4127.56410229, 4121.79487152, 4137.43589723, 4135.89743569, 4154.10256390, 4133.33333306, 4629.74359058, 4143.58974339, 4135.38461518, 4143.46153826,12.0
4117.94871767, 4117.56410229, 4131.28205101, 4088.97435863, 4122.82051255, 4129.48717921, 4138.20512800, 4149.74358954, 4161.66666646, 4133.33333306, 4633.71794956, 4153.97435877, 4147.05128185, 4145.76923056,12.0
4120.12820485, 4118.46153819, 4141.79487159, 4092.94871761, 4122.30769203, 4146.66666646, 4151.41025621, 4168.07692287, 4177.05128192, 4133.33333306, 4634.10256494, 4168.20512807, 4152.43589723, 4148.07692287,12.0
4119.48717921, 4086.28205094, 4127.56410229, 4084.74358940, 4123.20512793, 4126.66666639, 4145.89743569, 4155.64102544, 4173.84615371, 4133.33333306, 4631.66666750, 4154.10256390, 4143.71794851, 4149.10256390,12.0
4121.66666639, 4075.89743555, 4115.38461511, 4084.10256376, 4123.46153819, 4116.79487152, 4131.28205101, 4143.97435877, 4156.02564082, 4133.20512793, 4625.51282128, 4136.15384595, 4140.64102544, 4146.66666646,12.0
4114.23076896, 4102.69230742, 4123.58974332, 4087.30769196, 4123.58974332, 4135.12820485, 4127.69230742, 4147.56410236, 4148.20512800, 4133.07692280, 4619.87179564, 4137.94871774, 4137.43589723, 4146.53846133,12.0
4119.61538434, 4095.25640991, 4119.87179460, 4070.89743555, 4124.99999973, 4132.05128178, 4131.79487152, 4131.41025614, 4138.46153826, 4133.46153819, 4612.69230846, 4130.12820485, 4126.53846126, 4150.89743569,12.0
4118.07692280, 4078.07692273, 4112.43589716, 4068.46153805, 4127.56410229, 4125.64102537, 4154.61538441, 4130.51282024, 4138.58974339, 4133.20512793, 4610.64102641, 4124.35897408, 4134.23076896, 4147.69230749,12.0
4112.17948691, 4097.30769196, 4120.25640998, 4095.51282017, 4125.51282024, 4142.69230749, 4168.33333320, 4151.53846133, 4151.53846133, 4132.94871767, 4618.97435974, 4138.07692287, 4140.64102544, 4145.12820492,12.0
4121.53846126, 4101.66666632, 4126.79487152, 4105.51282024, 4123.97435870, 4145.25641005, 4149.99999980, 4145.64102544, 4154.10256390, 4134.23076896, 4630.00000084, 4145.76923056, 4133.46153819, 4145.25641005,12.0
4116.41025614, 4081.53846119, 4120.38461511, 4086.02564068, 4123.20512793, 4129.61538434, 4129.35897408, 4126.28205101, 4142.43589723, 4135.51282031, 4626.02564179, 4138.58974339, 4135.76923056, 4144.23076903,12.0
4119.35897408, 4090.51282017, 4111.41025614, 4078.20512786, 4123.07692280, 4121.02564075, 4119.61538434, 4117.82051255, 4135.38461518, 4134.99999973, 4615.38461615, 4128.33333306, 4130.51282024, 4148.07692287,12.0
4124.74358947, 4091.15384581, 4104.10256383, 4076.41025607, 4127.82051255, 4108.20512793, 4109.61538434, 4112.05128178, 4133.97435870, 4134.61538434, 4610.38461615, 4118.46153819, 4115.64102537, 4145.89743569,12.0
4118.71794844, 4065.12820472, 4106.79487152, 4070.38461504, 4127.17948691, 4107.69230742, 4117.30769203, 4123.46153819, 4141.41025621, 4135.51282031, 4612.82051359, 4122.82051255, 4131.41025614, 4141.53846133,12.0
