AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4120.51282024, 4510.12820569, 4153.33333313, 4221.53846147, 4114.23076896, 4305.51282066, 4306.66666681, 4297.05128212, 4348.07692329, 4136.15384595, 4268.20512828, 4158.58974339, 4211.28205122, 4144.74358954,12.0
4123.97435870, 4519.10256466, 4143.71794851, 4215.89743583, 4115.12820485, 4293.71794879, 4286.79487187, 4286.66666674, 4326.15384630, 4136.15384595, 4255.00000000, 4141.02564082, 4207.05128199, 4145.89743569,12.0
4118.97435870, 4528.84615441, 4151.15384595, 4231.41025634, 4114.61538434, 4283.97435905, 4303.20512835, 4294.10256418, 4330.76923091, 4136.15384595, 4269.74358982, 4151.02564082, 4203.46153840, 4147.69230749,12.0
4126.15384588, 4555.25641089, 4169.23076910, 4240.38461539, 4116.66666639, 4291.53846161, 4332.30769252, 4306.02564117, 4356.15384637, 4136.15384595, 4294.87179495, 4176.02564089, 4211.41025634, 4148.84615364,12.0
4122.69230742, 4562.17948788, 4158.33333313, 4224.48717942, 4119.74358947, 4289.48717956, 4300.12820527, 4284.23076930, 4336.66666688, 4136.15384595, 4276.53846161, 4156.92307672, 4208.58974352, 4146.66666646,12.0
4117.43589716, 4543.20512883, 4143.97435877, 4228.07692301, 4117.43589716, 4280.89743597, 4260.51282052, 4253.97435898, 4302.30769245, 4136.15384595, 4253.71794872, 4134.10256383, 4196.15384602, 4144.74358954,12.0
4122.17948691, 4550.64102627, 4153.46153826, 4211.15384609, 4117.17948691, 4296.92307700, 4292.56410264, 4269.61538469, 4315.38461553, 4136.15384595, 4257.30769231, 4147.69230749, 4199.74358961, 4145.38461518,12.0
4117.43589716, 4562.30769301, 4153.58974339, 4177.94871781, 4117.05128178, 4307.30769245, 4310.00000014, 4286.28205136, 4327.82051296, 4136.15384595, 4248.58974359, 4143.46153826, 4195.25641012, 4146.02564082,12.0
4122.17948691, 4566.92307762, 4147.69230749, 4204.23076917, 4117.05128178, 4292.69230777, 4273.97435905, 4260.25641026, 4305.76923091, 4136.15384595, 4237.94871795, 4128.97435870, 4177.82051269, 4145.51282031,12.0
4122.56410229, 4593.07692378, 4162.05128185, 4242.30769231, 4119.74358947, 4300.51282066, 4288.07692315, 4264.61538462, 4314.74358989, 4136.15384595, 4249.35897436, 4148.46153826, 4191.79487166, 4143.97435877,12.0
4119.48717921, 4615.64102641, 4169.87179474, 4236.28205129, 4118.46153819, 4321.66666681, 4326.41025655, 4297.17948725, 4345.00000021, 4136.15384595, 4248.07692308, 4160.12820492, 4207.05128199, 4144.48717928,12.0
4123.58974332, 4614.23077000, 4157.05128185, 4242.30769231, 4118.84615357, 4305.89743604, 4304.74358989, 4281.28205136, 4328.71794886, 4136.15384595, 4227.43589737, 4139.48717928, 4190.38461525, 4145.38461518,12.0
4120.89743562, 4608.07692385, 4148.58974339, 4264.61538462, 4119.74358947, 4276.53846161, 4275.00000007, 4255.51282052, 4301.66666681, 4136.15384595, 4216.66666660, 4126.28205101, 4181.92307679, 4145.25641005,12.0
4123.71794844, 4626.53846231, 4147.17948697, 4269.61538469, 4115.76923050, 4294.10256418, 4288.97435905, 4270.12820520, 4316.28205142, 4136.15384595, 4212.05128199, 4127.05128178, 4187.82051269, 4144.99999980,12.0
4127.56410229, 4659.10256494, 4149.61538441, 4285.12820520, 4114.87179460, 4328.46153860, 4313.84615399, 4290.38461546, 4339.48717970, 4136.15384595, 4201.41025634, 4129.10256383, 4184.23076910, 4143.71794851,12.0
4128.58974332, 4656.66666750, 4143.58974339, 4292.56410264, 4117.94871767, 4312.17948732, 4298.71794879, 4275.38461546, 4324.35897450, 4136.15384595, 4188.71794858, 4114.35897408, 4170.38461525, 4145.51282031,12.0
4125.64102537, 4629.61538545, 4128.58974332, 4282.69230777, 4119.10256383, 4282.82051289, 4268.07692315, 4251.41025641, 4296.53846161, 4136.15384595, 4176.15384602, 4094.10256376, 4165.12820492, 4147.69230749,12.0
4120.51282024, 4636.28205212, 4131.66666639, 4291.66666674, 4118.84615357, 4295.12820520, 4280.64102571, 4260.51282052, 4299.48717963, 4136.15384595, 4152.69230749, 4101.66666632, 4172.56410243, 4147.94871774,12.0
4121.79487152, 4647.69230853, 4136.53846133, 4293.58974366, 4116.92307665, 4303.33333348, 4296.02564110, 4261.28205129, 4304.48717963, 4136.15384595, 4123.46153819, 4104.23076896, 4168.71794858, 4148.33333313,12.0
4118.33333306, 4631.15384699, 4129.61538434, 4284.35897443, 4116.02564075, 4288.46153853, 4276.92307700, 4238.07692308, 4284.74358982, 4136.15384595, 4118.71794844, 4091.92307658, 4158.71794851, 4146.79487159,12.0
4118.46153819, 4636.02564186, 4136.41025621, 4292.43589751, 4117.05128178, 4294.23076930, 4278.46153853, 4243.58974359, 4277.43589751, 4136.15384595, 4136.28205108, 4108.07692280, 4170.64102551, 4145.25641005,12.0
4121.02564075, 4640.25641109, 4139.10256390, 4290.25641033, 4118.97435870, 4291.66666674, 4285.12820520, 4253.07692308, 4280.89743597, 4136.15384595, 4139.23076903, 4113.58974332, 4174.61538448, 4145.76923056,12.0
4120.25640998, 4613.58974436, 4118.46153819, 4262.43589744, 4120.89743562, 4269.10256418, 4263.58974359, 4233.97435898, 4264.61538462, 4136.15384595, 4124.61538434, 4080.38461504, 4154.23076903, 4146.15384595,12.0
4123.46153819, 4590.38461608, 4114.61538434, 4248.58974359, 4118.58974332, 4266.41025641, 4253.58974359, 4229.23076917, 4252.94871795, 4136.15384595, 4124.74358947, 4073.71794837, 4153.58974339, 4145.51282031,12.0
4121.79487152, 4566.66666737, 4120.12820485, 4243.46153847, 4119.23076896, 4255.51282052, 4243.71794872, 4232.05128199, 4253.33333334, 4136.15384595, 4139.35897415, 4081.02564068, 4158.33333313, 4143.58974339,12.0
4122.30769203, 4551.15384678, 4112.82051255, 4240.25641026, 4122.43589716, 4238.58974359, 4222.56410250, 4219.74358968, 4253.46153847, 4136.15384595, 4151.02564082, 4068.07692266, 4152.69230749, 4143.20512800,12.0
4124.74358947, 4569.23076993, 4120.76923050, 4258.07692308, 4120.12820485, 4252.56410257, 4230.25641019, 4218.33333327, 4259.61538462, 4136.15384595, 4159.10256390, 4079.10256376, 4167.82051262, 4144.23076903,12.0
4125.38461511, 4573.20512890, 4130.89743562, 4264.23076923, 4119.10256383, 4262.94871795, 4244.35897436, 4223.20512814, 4257.30769231, 4136.15384595, 4161.41025621, 4094.74358940, 4174.35897422, 4145.25641005,12.0
4125.25640998, 4545.64102627, 4121.28205101, 4248.58974359, 4118.71794844, 4250.89743590, 4234.61538462, 4218.46153840, 4250.89743590, 4136.15384595, 4163.71794851, 4079.48717914, 4155.38461518, 4146.15384595,12.0
4118.07692280, 4535.12820576, 4119.99999973, 4251.92307693, 4120.38461511, 4254.61538462, 4237.94871795, 4226.66666660, 4263.58974359, 4136.15384595, 4165.38461518, 4075.25640991, 4153.20512800, 4147.30769210,12.0
