AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4129.61538434, 4070.76923043, 4175.64102551, 4162.43589723, 4126.41025614, 4121.41025614, 4098.97435863, 4098.58974325, 4092.43589709, 4132.69230742, 4005.51282003, 4159.10256390, 4111.53846126, 4145.38461518,12.0
4115.12820485, 4089.48717914, 4195.51282038, 4204.74358968, 4126.92307665, 4125.64102537, 4110.64102537, 4112.30769203, 4105.51282024, 4131.41025614, 4011.02564054, 4193.46153833, 4121.92307665, 4143.58974339,12.0
4134.99999973, 4116.92307665, 4209.35897429, 4244.74358975, 4124.87179460, 4143.97435877, 4134.99999973, 4137.82051262, 4137.43589723, 4127.17948691, 4010.38461490, 4212.05128199, 4134.87179460, 4147.82051262,12.0
4131.92307665, 4132.94871767, 4207.69230763, 4272.30769238, 4122.56410229, 4158.33333313, 4138.97435877, 4149.99999980, 4147.43589723, 4127.30769203, 3997.05128150, 4206.66666660, 4128.33333306, 4143.71794851,12.0
4130.64102537, 4142.56410236, 4209.87179481, 4279.23076930, 4125.38461511, 4149.10256390, 4133.97435870, 4141.15384595, 4137.30769210, 4135.25640998, 3985.38461483, 4204.74358968, 4119.61538434, 4147.82051262,12.0
4142.69230749, 4141.28205108, 4207.56410250, 4280.25641033, 4126.79487152, 4140.12820492, 4134.10256383, 4129.99999973, 4129.48717921, 4136.28205108, 3979.10256355, 4202.82051275, 4117.17948691, 4146.92307672,12.0
4127.82051255, 4127.17948691, 4186.02564089, 4277.56410264, 4123.33333306, 4144.99999980, 4132.05128178, 4131.66666639, 4122.30769203, 4130.64102537, 3964.23076861, 4179.10256397, 4105.12820485, 4143.71794851,12.0
4138.58974339, 4108.20512793, 4165.38461518, 4248.33333334, 4124.61538434, 4141.28205108, 4120.25640998, 4112.94871767, 4098.33333299, 4133.58974332, 3939.99999938, 4143.58974339, 4082.30769196, 4153.71794851,12.0
4129.48717921, 4092.56410222, 4158.07692287, 4217.30769224, 4124.61538434, 4129.74358947, 4108.84615357, 4082.69230735, 4075.64102530, 4134.87179460, 3924.87179418, 4127.82051255, 4071.28205094, 4150.51282031,12.0
4121.92307665, 4105.12820485, 4163.58974339, 4227.05128199, 4124.35897408, 4136.79487159, 4111.92307665, 4091.02564068, 4084.10256376, 4128.84615357, 3930.76923008, 4137.05128185, 4084.99999966, 4147.94871774,12.0
4135.64102544, 4125.76923050, 4170.12820499, 4239.48717949, 4125.25640998, 4152.56410236, 4134.99999973, 4124.23076896, 4111.02564075, 4129.23076896, 3944.99999938, 4152.30769210, 4100.89743555, 4148.97435877,12.0
4114.35897408, 4105.25640998, 4167.94871774, 4223.07692301, 4123.07692280, 4141.92307672, 4141.28205108, 4129.23076896, 4115.25640998, 4129.87179460, 3947.43589681, 4153.84615364, 4099.10256376, 4145.25641005,12.0
4124.10256383, 4092.43589709, 4167.43589723, 4215.38461532, 4124.10256383, 4130.76923050, 4116.28205101, 4114.74358947, 4101.92307658, 4128.20512793, 3942.17948656, 4144.99999980, 4093.71794837, 4150.12820492,12.0
4126.41025614, 4121.53846126, 4168.46153833, 4223.71794865, 4125.25640998, 4143.58974339, 4112.56410229, 4124.10256383, 4108.58974332, 4130.64102537, 3941.79487117, 4146.79487159, 4099.87179453, 4145.38461518,12.0
4114.23076896, 4125.12820485, 4170.12820499, 4221.79487173, 4125.38461511, 4156.92307672, 4133.84615357, 4142.30769210, 4124.23076896, 4127.30769203, 3945.12820451, 4153.07692287, 4107.82051255, 4143.20512800,12.0
4130.51282024, 4118.33333306, 4176.66666653, 4226.41025634, 4126.02564075, 4150.25641005, 4135.89743569, 4137.56410236, 4126.41025614, 4123.46153819, 3948.07692246, 4153.46153826, 4107.82051255, 4146.79487159,12.0
4119.74358947, 4132.94871767, 4176.66666653, 4233.84615385, 4126.66666639, 4135.12820485, 4122.82051255, 4121.02564075, 4120.25640998, 4126.53846126, 3945.51281989, 4152.30769210, 4104.10256383, 4141.15384595,12.0
4128.33333306, 4119.99999973, 4169.74358961, 4218.84615378, 4128.33333306, 4141.15384595, 4129.74358947, 4119.61538434, 4117.05128178, 4129.35897408, 3939.61538399, 4147.30769210, 4104.99999973, 4144.35897415,12.0
