AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4117.56410229, 4122.05128178, 4121.02564075, 4121.79487152, 4123.71794844, 4035.51282003, 4059.48717907, 4052.82051241, 4053.46153805, 4128.71794844, 4122.82051255, 4121.28205101, 4130.64102537, 4193.71794858,8.57
4126.41025614, 4121.41025614, 4123.46153819, 4122.17948691, 4124.23076896, 4037.05128164, 4061.41025600, 4067.94871754, 4073.58974325, 4129.10256383, 4123.07692280, 4120.51282024, 4128.71794844, 4193.33333320,8.57
4124.87179460, 4120.51282024, 4121.66666639, 4123.20512793, 4124.87179460, 4028.84615336, 4052.56410215, 4066.53846113, 4069.10256369, 4130.89743562, 4123.97435870, 4124.48717921, 4132.17948691, 4196.66666653,8.57
4121.15384588, 4120.89743562, 4120.38461511, 4123.97435870, 4124.23076896, 4023.84615336, 4051.79487138, 4071.79487145, 4068.46153805, 4130.25640998, 4123.84615357, 4121.92307665, 4130.38461511, 4198.33333320,8.57
4125.64102537, 4123.33333306, 4127.69230742, 4126.15384588, 4126.28205101, 4027.94871747, 4058.58974318, 4080.76923043, 4075.51282017, 4126.79487152, 4126.02564075, 4128.58974332, 4132.17948691, 4198.84615371,8.57
4124.10256383, 4121.28205101, 4125.76923050, 4123.46153819, 4126.79487152, 4022.94871747, 4048.84615343, 4065.12820472, 4067.05128164, 4129.61538434, 4126.15384588, 4125.38461511, 4133.46153819, 4195.64102551,8.57
4125.76923050, 4123.84615357, 4124.74358947, 4124.48717921, 4125.38461511, 4012.82051234, 4032.82051234, 4041.02564061, 4050.12820472, 4131.41025614, 4127.30769203, 4123.46153819, 4134.10256383, 4195.89743576,8.57
4124.23076896, 4123.97435870, 4124.35897408, 4126.28205101, 4124.74358947, 4012.94871747, 4032.05128157, 4033.71794824, 4039.99999959, 4126.53846126, 4127.56410229, 4130.89743562, 4134.87179460, 4196.66666653,8.57
4121.15384588, 4119.87179460, 4120.12820485, 4123.58974332, 4122.82051255, 4011.28205080, 4032.82051234, 4037.43589702, 4039.48717907, 4126.28205101, 4122.94871767, 4123.97435870, 4131.66666639, 4197.30769217,8.57
4123.07692280, 4120.64102537, 4124.74358947, 4123.58974332, 4122.30769203, 4010.25640977, 4030.89743541, 4037.43589702, 4040.12820472, 4130.89743562, 4127.56410229, 4127.56410229, 4135.25640998, 4199.35897422,8.57
