AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4125.64102537, 4125.25640998, 4125.89743562, 4121.79487152, 4125.38461511, 4078.33333299, 4056.92307651, 4063.97435856, 4106.66666639, 4128.46153819, 4138.58974339, 4128.33333306, 4133.71794844, 4196.28205115,8.57
4118.97435870, 4124.99999973, 4119.10256383, 4118.71794844, 4125.38461511, 4078.07692273, 4056.15384574, 4053.97435856, 4096.66666632, 4128.84615357, 4134.61538434, 4118.97435870, 4131.41025614, 4191.02564089,8.57
4123.20512793, 4124.74358947, 4120.51282024, 4121.92307665, 4124.87179460, 4081.53846119, 4064.10256369, 4066.41025600, 4112.43589716, 4126.41025614, 4134.35897408, 4123.71794844, 4131.28205101, 4194.99999986,8.57
4122.69230742, 4122.82051255, 4120.64102537, 4123.46153819, 4124.23076896, 4084.23076889, 4069.99999966, 4088.33333299, 4132.17948691, 4126.92307665, 4135.89743569, 4126.66666639, 4130.64102537, 4196.15384602,8.57
4119.99999973, 4122.94871767, 4117.56410229, 4120.25640998, 4124.23076896, 4080.89743555, 4064.61538420, 4082.94871761, 4119.61538434, 4127.94871767, 4136.15384595, 4117.94871767, 4127.82051255, 4194.74358961,8.57
4124.99999973, 4127.17948691, 4122.82051255, 4121.53846126, 4123.46153819, 4080.25640991, 4061.92307651, 4079.35897402, 4114.35897408, 4126.79487152, 4136.79487159, 4121.66666639, 4129.87179460, 4194.61538448,8.57
4115.12820485, 4121.15384588, 4119.23076896, 4117.82051255, 4121.92307665, 4086.53846119, 4072.56410222, 4092.43589709, 4134.74358947, 4126.28205101, 4136.92307672, 4117.69230742, 4129.48717921, 4191.92307679,8.57
4117.56410229, 4119.61538434, 4121.79487152, 4121.53846126, 4124.10256383, 4081.53846119, 4072.94871761, 4090.64102530, 4141.28205108, 4127.17948691, 4140.25641005, 4120.64102537, 4131.53846126, 4194.61538448,8.57
4122.69230742, 4122.05128178, 4123.58974332, 4125.89743562, 4123.20512793, 4072.69230735, 4059.48717907, 4080.12820478, 4132.43589716, 4126.53846126, 4140.64102544, 4121.79487152, 4129.74358947, 4191.66666653,8.57
4119.35897408, 4121.28205101, 4118.20512793, 4121.15384588, 4123.33333306, 4078.84615350, 4061.28205087, 4083.84615350, 4139.10256390, 4127.30769203, 4138.97435877, 4114.23076896, 4123.46153819, 4186.79487166,8.57
4124.99999973, 4123.58974332, 4125.25640998, 4125.51282024, 4128.20512793, 4087.30769196, 4073.33333299, 4088.58974325, 4144.35897415, 4128.71794844, 4143.71794851, 4123.46153819, 4127.56410229, 4192.82051269,8.57
4119.99999973, 4120.38461511, 4126.28205101, 4125.12820485, 4126.02564075, 4088.97435863, 4075.12820478, 4084.48717914, 4133.84615357, 4126.66666639, 4143.07692287, 4120.25640998, 4128.84615357, 4193.07692294,8.57
4121.53846126, 4121.66666639, 4126.15384588, 4123.71794844, 4122.56410229, 4095.12820478, 4077.56410222, 4087.94871761, 4134.48717921, 4126.92307665, 4140.12820492, 4118.46153819, 4128.20512793, 4191.41025628,8.57
4126.92307665, 4126.15384588, 4124.35897408, 4126.66666639, 4124.61538434, 4101.28205094, 4088.97435863, 4105.12820485, 4149.87179467, 4130.64102537, 4138.97435877, 4124.99999973, 4129.10256383, 4191.02564089,8.57
4121.02564075, 4123.07692280, 4121.28205101, 4122.05128178, 4126.15384588, 4101.66666632, 4096.79487145, 4118.84615357, 4159.48717928, 4128.97435870, 4137.82051262, 4120.76923050, 4126.41025614, 4192.30769217,8.57
4126.02564075, 4125.12820485, 4129.10256383, 4122.05128178, 4126.53846126, 4105.12820485, 4099.74358940, 4121.28205101, 4162.30769210, 4124.99999973, 4144.23076903, 4127.17948691, 4131.41025614, 4196.53846140,8.57
4127.05128178, 4124.35897408, 4122.69230742, 4121.79487152, 4123.97435870, 4105.89743562, 4100.12820478, 4112.82051255, 4157.94871774, 4124.74358947, 4148.20512800, 4124.87179460, 4132.17948691, 4194.35897422,8.57
4126.79487152, 4123.97435870, 4123.97435870, 4122.17948691, 4123.58974332, 4094.99999966, 4091.41025607, 4096.66666632, 4141.15384595, 4127.94871767, 4145.76923056, 4122.56410229, 4131.28205101, 4195.51282038,8.57
4127.43589716, 4125.25640998, 4131.53846126, 4124.61538434, 4126.79487152, 4085.76923043, 4079.10256376, 4085.76923043, 4127.69230742, 4130.76923050, 4142.43589723, 4126.79487152, 4133.97435870, 4194.35897422,8.57
4124.99999973, 4121.41025614, 4123.84615357, 4122.30769203, 4123.33333306, 4084.99999966, 4074.10256376, 4079.48717914, 4123.71794844, 4127.43589716, 4139.87179467, 4120.64102537, 4131.66666639, 4191.66666653,8.57
4131.28205101, 4125.89743562, 4126.92307665, 4125.76923050, 4121.41025614, 4088.07692273, 4075.51282017, 4075.12820478, 4120.25640998, 4127.43589716, 4144.74358954, 4127.56410229, 4132.17948691, 4196.53846140,8.57
4124.35897408, 4126.41025614, 4122.94871767, 4124.10256383, 4122.17948691, 4090.76923043, 4075.25640991, 4078.20512786, 4120.12820485, 4131.02564075, 4145.12820492, 4124.61538434, 4130.64102537, 4196.15384602,8.57
4120.12820485, 4124.99999973, 4119.61538434, 4120.38461511, 4121.79487152, 4089.48717914, 4074.99999966, 4082.69230735, 4125.76923050, 4127.17948691, 4141.79487159, 4119.23076896, 4130.51282024, 4196.41025628,8.57
4127.05128178, 4126.92307665, 4127.17948691, 4123.33333306, 4124.48717921, 4090.51282017, 4080.38461504, 4089.61538427, 4142.30769210, 4125.64102537, 4143.84615364, 4128.84615357, 4132.56410229, 4197.94871781,8.57
4120.12820485, 4121.53846126, 4120.64102537, 4119.74358947, 4126.28205101, 4099.99999966, 4090.64102530, 4106.28205101, 4162.30769210, 4128.33333306, 4144.48717928, 4122.17948691, 4128.71794844, 4196.53846140,8.57
4120.25640998, 4125.25640998, 4119.23076896, 4121.66666639, 4125.25640998, 4104.10256383, 4094.61538427, 4113.84615357, 4162.05128185, 4126.41025614, 4147.05128185, 4124.23076896, 4130.76923050, 4198.33333320,8.57
4121.15384588, 4127.56410229, 4121.15384588, 4124.99999973, 4121.92307665, 4097.30769196, 4088.97435863, 4101.28205094, 4147.82051262, 4124.10256383, 4145.51282031, 4126.53846126, 4131.92307665, 4194.87179474,8.57
4119.87179460, 4121.02564075, 4121.41025614, 4122.17948691, 4121.41025614, 4094.74358940, 4083.97435863, 4089.61538427, 4139.61538441, 4126.02564075, 4138.97435877, 4119.99999973, 4129.23076896, 4194.61538448,8.57
4123.97435870, 4121.66666639, 4123.84615357, 4121.79487152, 4123.58974332, 4095.51282017, 4081.79487145, 4087.82051248, 4135.38461518, 4126.79487152, 4141.53846133, 4121.15384588, 4129.35897408, 4197.94871781,8.57
4118.84615357, 4119.48717921, 4117.05128178, 4118.20512793, 4122.69230742, 4094.48717914, 4077.69230735, 4081.92307658, 4124.87179460, 4126.15384588, 4141.53846133, 4113.71794844, 4126.41025614, 4194.48717935,8.57
4124.10256383, 4120.25640998, 4121.41025614, 4121.92307665, 4123.58974332, 4089.87179453, 4069.74358940, 4067.69230728, 4110.76923050, 4126.92307665, 4137.43589723, 4116.79487152, 4128.84615357, 4194.35897422,8.57
4125.76923050, 4123.71794844, 4125.76923050, 4124.61538434, 4124.23076896, 4080.89743555, 4064.35897395, 4058.20512779, 4102.05128171, 4125.76923050, 4137.43589723, 4118.07692280, 4131.41025614, 4192.82051269,8.57
4117.94871767, 4119.48717921, 4119.87179460, 4120.64102537, 4122.30769203, 4082.69230735, 4069.48717907, 4063.71794830, 4103.07692280, 4126.02564075, 4139.23076903, 4111.41025614, 4125.89743562, 4189.87179474,8.57
4124.10256383, 4119.10256383, 4125.38461511, 4124.87179460, 4123.58974332, 4098.33333299, 4082.30769196, 4074.99999966, 4109.61538434, 4128.71794844, 4143.20512800, 4121.15384588, 4127.17948691, 4191.02564089,8.57
4120.89743562, 4120.89743562, 4124.35897408, 4123.97435870, 4126.02564075, 4110.51282024, 4094.99999966, 4087.82051248, 4124.61538434, 4128.20512793, 4142.43589723, 4119.10256383, 4127.43589716, 4189.35897422,8.57
4120.51282024, 4123.97435870, 4124.87179460, 4121.15384588, 4126.02564075, 4112.82051255, 4105.89743562, 4108.07692280, 4146.28205108, 4128.97435870, 4143.84615364, 4118.58974332, 4128.58974332, 4192.69230756,8.57
4123.58974332, 4124.74358947, 4128.97435870, 4124.74358947, 4124.23076896, 4113.97435870, 4107.17948691, 4117.30769203, 4153.46153826, 4130.76923050, 4147.05128185, 4122.82051255, 4128.46153819, 4193.20512807,8.57
4122.30769203, 4123.20512793, 4124.87179460, 4124.23076896, 4124.10256383, 4110.64102537, 4101.15384581, 4108.20512793, 4147.69230749, 4127.05128178, 4141.79487159, 4116.79487152, 4122.05128178, 4193.20512807,8.57
4130.38461511, 4125.51282024, 4128.07692280, 4124.74358947, 4123.71794844, 4101.66666632, 4096.28205094, 4102.30769196, 4151.02564082, 4126.53846126, 4142.56410236, 4124.35897408, 4128.20512793, 4198.33333320,8.57
4124.87179460, 4121.28205101, 4123.20512793, 4123.20512793, 4120.89743562, 4093.46153812, 4088.58974325, 4103.20512793, 4161.15384595, 4130.64102537, 4146.79487159, 4122.43589716, 4131.28205101, 4193.58974345,8.57
4123.84615357, 4121.79487152, 4125.64102537, 4124.87179460, 4121.92307665, 4085.64102530, 4077.82051248, 4096.41025607, 4155.89743569, 4128.33333306, 4146.66666646, 4120.76923050, 4127.82051255, 4193.58974345,8.57
4129.61538434, 4125.25640998, 4130.64102537, 4126.41025614, 4123.71794844, 4083.46153812, 4076.41025607, 4091.02564068, 4145.51282031, 4124.35897408, 4143.84615364, 4127.43589716, 4129.99999973, 4198.07692294,8.57
4122.94871767, 4121.15384588, 4119.87179460, 4121.41025614, 4122.56410229, 4088.20512786, 4082.82051248, 4097.56410222, 4151.28205108, 4126.41025614, 4141.41025621, 4120.38461511, 4127.69230742, 4197.56410243,8.57
4127.82051255, 4127.30769203, 4126.28205101, 4126.92307665, 4124.61538434, 4090.89743555, 4084.61538427, 4103.71794844, 4157.43589723, 4127.69230742, 4145.12820492, 4129.35897408, 4129.35897408, 4199.74358961,8.57
4126.92307665, 4128.46153819, 4128.07692280, 4124.87179460, 4125.12820485, 4094.35897402, 4089.99999966, 4102.82051255, 4146.53846133, 4126.66666639, 4145.51282031, 4130.64102537, 4131.02564075, 4196.41025628,8.57
4121.66666639, 4121.53846126, 4122.17948691, 4119.10256383, 4125.64102537, 4099.87179453, 4099.74358940, 4102.17948684, 4138.84615364, 4126.92307665, 4142.69230749, 4122.17948691, 4129.35897408, 4195.38461525,8.57
4124.87179460, 4124.23076896, 4124.61538434, 4126.02564075, 4127.43589716, 4103.84615357, 4104.74358947, 4108.07692280, 4142.94871774, 4126.02564075, 4142.30769210, 4128.20512793, 4130.38461511, 4196.53846140,8.57
4121.92307665, 4123.71794844, 4121.02564075, 4124.35897408, 4124.99999973, 4110.25640998, 4112.82051255, 4113.20512793, 4146.41025621, 4125.51282024, 4143.97435877, 4123.46153819, 4128.71794844, 4194.10256397,8.57
4125.64102537, 4122.30769203, 4122.69230742, 4121.53846126, 4125.89743562, 4118.33333306, 4121.15384588, 4116.15384588, 4151.53846133, 4126.66666639, 4148.71794851, 4127.05128178, 4130.51282024, 4196.28205115,8.57
4123.07692280, 4121.79487152, 4121.02564075, 4122.05128178, 4126.41025614, 4117.94871767, 4120.76923050, 4122.05128178, 4158.46153826, 4127.43589716, 4145.25641005, 4126.66666639, 4131.15384588, 4197.69230756,8.57
4118.84615357, 4121.15384588, 4118.20512793, 4122.82051255, 4121.53846126, 4115.51282024, 4116.92307665, 4125.64102537, 4158.97435877, 4128.33333306, 4140.51282031, 4118.84615357, 4129.87179460, 4197.82051269,8.57
4123.97435870, 4121.41025614, 4121.92307665, 4125.38461511, 4121.79487152, 4113.33333306, 4116.53846126, 4126.41025614, 4165.12820492, 4127.43589716, 4144.61538441, 4124.99999973, 4131.02564075, 4195.76923063,8.57
4119.61538434, 4119.35897408, 4118.84615357, 4122.56410229, 4125.25640998, 4109.87179460, 4115.51282024, 4129.35897408, 4176.41025628, 4127.05128178, 4144.10256390, 4120.89743562, 4126.53846126, 4194.61538448,8.57
4124.61538434, 4124.87179460, 4124.74358947, 4123.20512793, 4126.02564075, 4110.51282024, 4114.48717921, 4128.84615357, 4173.20512807, 4130.12820485, 4144.35897415, 4120.12820485, 4127.30769203, 4196.92307679,8.57
4124.61538434, 4125.38461511, 4125.51282024, 4123.84615357, 4123.20512793, 4113.46153819, 4117.17948691, 4126.79487152, 4170.12820499, 4130.25640998, 4145.12820492, 4119.61538434, 4129.74358947, 4190.25641012,8.57
4117.94871767, 4120.38461511, 4119.35897408, 4121.28205101, 4122.56410229, 4113.84615357, 4120.25640998, 4134.48717921, 4177.17948704, 4127.43589716, 4142.30769210, 4115.12820485, 4127.56410229, 4189.48717935,8.57
4125.25640998, 4125.64102537, 4127.69230742, 4125.25640998, 4125.64102537, 4111.41025614, 4117.94871767, 4134.48717921, 4168.46153833, 4129.10256383, 4145.12820492, 4123.97435870, 4129.99999973, 4194.35897422,8.57
4118.71794844, 4125.64102537, 4124.48717921, 4122.82051255, 4123.58974332, 4109.61538434, 4116.15384588, 4124.23076896, 4156.15384595, 4129.99999973, 4145.51282031, 4116.02564075, 4128.20512793, 4188.84615371,8.57
4117.17948691, 4125.89743562, 4122.94871767, 4123.71794844, 4122.30769203, 4111.79487152, 4119.61538434, 4120.38461511, 4158.07692287, 4126.66666639, 4144.87179467, 4113.84615357, 4128.07692280, 4191.92307679,8.57
4125.12820485, 4127.69230742, 4127.17948691, 4127.56410229, 4125.12820485, 4115.12820485, 4118.20512793, 4117.56410229, 4154.61538441, 4126.53846126, 4146.66666646, 4123.33333306, 4129.23076896, 4195.89743576,8.57
4124.10256383, 4123.07692280, 4123.33333306, 4121.66666639, 4124.61538434, 4118.46153819, 4116.41025614, 4117.30769203, 4151.53846133, 4128.20512793, 4144.74358954, 4117.82051255, 4124.87179460, 4193.33333320,8.57
4128.84615357, 4125.38461511, 4128.46153819, 4122.69230742, 4124.87179460, 4118.20512793, 4118.46153819, 4115.64102537, 4154.35897415, 4128.46153819, 4145.12820492, 4121.66666639, 4131.02564075, 4194.23076910,8.57
4125.51282024, 4120.76923050, 4124.87179460, 4122.43589716, 4125.76923050, 4111.53846126, 4115.12820485, 4108.33333306, 4148.46153826, 4127.05128178, 4143.58974339, 4120.64102537, 4131.15384588, 4193.07692294,8.57
4123.07692280, 4117.94871767, 4124.23076896, 4123.20512793, 4124.61538434, 4108.71794844, 4111.66666639, 4109.35897408, 4148.71794851, 4127.43589716, 4142.05128185, 4119.23076896, 4126.66666639, 4194.61538448,8.57
4125.51282024, 4126.28205101, 4130.89743562, 4127.05128178, 4123.33333306, 4115.25640998, 4115.25640998, 4117.43589716, 4159.48717928, 4130.64102537, 4147.17948697, 4124.23076896, 4131.53846126, 4193.46153833,8.57
