AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4138.84615364, 4133.58974332, 4135.89743569, 4131.66666639, 4123.71794844, 4305.25641040, 4287.94871802, 4288.07692315, 4343.84615406, 4127.82051255, 4202.43589737, 4128.84615357, 4146.28205108, 4202.05128199,8.57
4108.07692280, 4120.64102537, 4114.99999973, 4121.92307665, 4121.66666639, 4285.64102571, 4257.82051282, 4250.38461539, 4298.84615392, 4128.46153819, 4194.23076910, 4113.33333306, 4138.07692287, 4192.69230756,8.57
4121.66666639, 4118.97435870, 4124.87179460, 4120.64102537, 4125.64102537, 4288.33333341, 4253.71794872, 4242.94871795, 4280.38461546, 4128.58974332, 4190.25641012, 4123.58974332, 4144.61538441, 4203.97435891,8.57
4178.07692294, 4148.46153826, 4156.53846133, 4147.94871774, 4118.97435870, 4321.15384630, 4294.61538469, 4291.41025648, 4331.92307707, 4125.89743562, 4191.79487166, 4148.33333313, 4144.23076903, 4205.76923070,8.57
4083.20512786, 4113.58974332, 4089.61538427, 4114.61538434, 4111.41025614, 4355.89743611, 4332.30769252, 4339.61538483, 4381.41025669, 4123.20512793, 4186.53846140, 4103.71794844, 4131.28205101, 4188.58974345,8.57
4084.99999966, 4097.94871761, 4100.25640991, 4097.69230735, 4127.94871767, 4343.46153867, 4313.07692322, 4329.87179501, 4372.82051310, 4127.17948691, 4195.51282038, 4110.89743562, 4146.41025621, 4206.92307686,8.57
4177.43589730, 4143.84615364, 4160.51282031, 4141.53846133, 4127.05128178, 4309.61538476, 4284.48717956, 4304.61538476, 4365.25641054, 4129.48717921, 4197.43589730, 4146.79487159, 4147.05128185, 4207.94871788,8.57
4114.74358947, 4129.48717921, 4114.74358947, 4128.71794844, 4117.69230742, 4315.76923091, 4300.00000014, 4322.69230784, 4381.79487208, 4124.35897408, 4186.28205115, 4119.23076896, 4132.43589716, 4190.89743576,8.57
4105.76923050, 4119.23076896, 4110.89743562, 4115.25640998, 4125.25640998, 4333.33333355, 4312.05128219, 4327.82051296, 4360.38461560, 4123.33333306, 4185.76923063, 4115.64102537, 4138.46153826, 4202.05128199,8.57
4135.76923056, 4131.28205101, 4126.92307665, 4128.07692280, 4125.89743562, 4320.89743604, 4293.84615392, 4295.64102571, 4319.48717963, 4125.89743562, 4182.69230756, 4121.79487152, 4142.30769210, 4201.79487173,8.57
4121.41025614, 4123.46153819, 4117.69230742, 4124.10256383, 4124.99999973, 4293.20512828, 4271.53846161, 4268.71794879, 4301.53846168, 4127.05128178, 4178.46153833, 4121.79487152, 4143.58974339, 4197.30769217,8.57
4123.84615357, 4124.61538434, 4120.38461511, 4124.35897408, 4123.58974332, 4289.23076930, 4276.28205136, 4278.46153853, 4311.53846168, 4127.05128178, 4176.53846140, 4124.10256383, 4138.71794851, 4198.33333320,8.57
4120.25640998, 4125.38461511, 4119.23076896, 4122.56410229, 4122.43589716, 4310.00000014, 4299.10256418, 4310.00000014, 4341.41025662, 4127.30769203, 4179.23076910, 4122.30769203, 4136.92307672, 4199.74358961,8.57
4126.28205101, 4127.56410229, 4125.64102537, 4124.99999973, 4125.12820485, 4308.84615399, 4294.35897443, 4303.07692322, 4337.43589765, 4126.92307665, 4180.51282038, 4123.71794844, 4140.76923056, 4198.84615371,8.57
4120.76923050, 4127.82051255, 4119.48717921, 4125.89743562, 4124.61538434, 4298.58974366, 4279.87179495, 4284.35897443, 4321.66666681, 4127.43589716, 4175.25641012, 4119.23076896, 4135.89743569, 4194.74358961,8.57
4119.99999973, 4126.92307665, 4121.28205101, 4125.25640998, 4124.61538434, 4301.79487194, 4281.28205136, 4293.84615392, 4328.71794886, 4128.20512793, 4178.20512807, 4127.05128178, 4137.17948697, 4197.82051269,8.57
4120.51282024, 4126.02564075, 4124.61538434, 4124.74358947, 4122.56410229, 4290.12820520, 4271.79487187, 4283.33333341, 4313.33333348, 4127.43589716, 4175.64102551, 4119.10256383, 4135.51282031, 4195.38461525,8.57
4122.69230742, 4126.15384588, 4125.64102537, 4125.38461511, 4123.58974332, 4275.00000007, 4257.82051282, 4251.41025641, 4279.74358982, 4126.66666639, 4171.66666653, 4115.89743562, 4133.84615357, 4196.15384602,8.57
4131.66666639, 4131.02564075, 4129.23076896, 4129.87179460, 4126.41025614, 4283.97435905, 4268.71794879, 4260.89743590, 4288.07692315, 4126.02564075, 4174.10256397, 4127.05128178, 4137.30769210, 4196.66666653,8.57
4123.07692280, 4126.92307665, 4122.17948691, 4126.66666639, 4123.84615357, 4287.30769238, 4272.17948725, 4282.17948725, 4312.30769245, 4126.79487152, 4172.17948704, 4118.07692280, 4135.25640998, 4195.12820499,8.57
4125.76923050, 4124.74358947, 4126.66666639, 4123.46153819, 4122.43589716, 4273.07692315, 4255.38461539, 4264.35897436, 4298.84615392, 4129.23076896, 4172.17948704, 4121.41025614, 4137.05128185, 4200.51282038,8.57
4124.48717921, 4128.46153819, 4127.82051255, 4123.84615357, 4121.92307665, 4268.33333341, 4250.12820513, 4251.28205129, 4280.38461546, 4127.56410229, 4169.48717935, 4124.74358947, 4136.66666646, 4198.33333320,8.57
4116.79487152, 4124.48717921, 4124.35897408, 4123.20512793, 4122.94871767, 4276.28205136, 4259.10256411, 4266.53846154, 4288.33333341, 4124.87179460, 4169.48717935, 4123.97435870, 4135.51282031, 4197.94871781,8.57
4126.66666639, 4124.74358947, 4130.38461511, 4128.33333306, 4123.58974332, 4289.48717956, 4270.64102571, 4278.07692315, 4295.12820520, 4126.66666639, 4175.89743576, 4129.10256383, 4135.64102544, 4198.33333320,8.57
4124.99999973, 4125.76923050, 4123.07692280, 4127.17948691, 4120.64102537, 4294.74358982, 4269.61538469, 4265.76923077, 4272.82051289, 4127.05128178, 4174.10256397, 4121.79487152, 4131.53846126, 4195.12820499,8.57
4126.92307665, 4124.87179460, 4124.61538434, 4120.38461511, 4122.43589716, 4286.53846161, 4258.71794872, 4259.48717949, 4259.23076923, 4127.05128178, 4173.07692294, 4128.46153819, 4136.92307672, 4201.66666660,8.57
4129.23076896, 4129.61538434, 4130.76923050, 4124.48717921, 4123.84615357, 4286.79487187, 4257.94871795, 4266.92307700, 4274.10256418, 4128.97435870, 4173.20512807, 4128.07692280, 4136.79487159, 4200.25641012,8.57
4122.30769203, 4127.56410229, 4126.53846126, 4126.02564075, 4122.30769203, 4290.76923084, 4256.53846154, 4252.82051282, 4264.74358975, 4127.05128178, 4176.28205115, 4124.87179460, 4133.33333306, 4198.20512807,8.57
4128.97435870, 4126.28205101, 4131.02564075, 4126.66666639, 4123.20512793, 4274.10256418, 4237.43589744, 4227.05128199, 4236.66666667, 4127.30769203, 4181.41025628, 4135.38461518, 4135.25640998, 4199.87179474,8.57
4125.38461511, 4126.92307665, 4124.35897408, 4127.30769203, 4123.33333306, 4260.25641026, 4227.30769224, 4226.28205122, 4239.74358975, 4130.38461511, 4173.97435884, 4122.43589716, 4130.25640998, 4196.53846140,8.57
4126.28205101, 4124.35897408, 4122.43589716, 4120.89743562, 4125.38461511, 4267.69230777, 4238.20512821, 4242.17948718, 4262.94871795, 4128.33333306, 4175.12820499, 4127.05128178, 4133.20512793, 4202.05128199,8.57
4130.64102537, 4126.15384588, 4129.10256383, 4124.10256383, 4124.23076896, 4275.64102571, 4244.10256411, 4242.69230770, 4267.69230777, 4126.02564075, 4182.56410243, 4134.99999973, 4133.46153819, 4198.07692294,8.57
4121.53846126, 4125.38461511, 4122.43589716, 4124.48717921, 4120.89743562, 4274.74358982, 4242.17948718, 4240.76923077, 4264.61538462, 4128.07692280, 4179.74358961, 4126.41025614, 4132.05128178, 4198.07692294,8.57
4126.66666639, 4125.64102537, 4125.51282024, 4123.07692280, 4122.94871767, 4270.76923084, 4240.76923077, 4241.15384616, 4260.25641026, 4128.46153819, 4180.89743576, 4133.97435870, 4137.94871774, 4204.87179481,8.57
4125.51282024, 4129.23076896, 4125.76923050, 4126.79487152, 4124.10256383, 4270.38461546, 4243.46153847, 4237.30769231, 4255.38461539, 4126.79487152, 4182.69230756, 4126.41025614, 4130.25640998, 4197.30769217,8.57
4124.61538434, 4125.76923050, 4122.69230742, 4119.74358947, 4122.82051255, 4273.71794879, 4246.66666667, 4240.64102564, 4259.35897436, 4128.33333306, 4184.99999986, 4130.51282024, 4130.89743562, 4201.66666660,8.57
4126.92307665, 4124.35897408, 4122.43589716, 4119.99999973, 4121.02564075, 4276.02564110, 4247.69230770, 4249.74358975, 4262.94871795, 4128.33333306, 4182.82051269, 4133.97435870, 4135.76923056, 4200.64102551,8.57
4119.35897408, 4123.07692280, 4118.46153819, 4124.61538434, 4120.89743562, 4264.48717949, 4241.92307693, 4250.12820513, 4255.76923077, 4126.15384588, 4175.89743576, 4120.38461511, 4129.35897408, 4196.79487166,8.57
4128.71794844, 4121.15384588, 4124.61538434, 4122.82051255, 4124.10256383, 4228.33333327, 4203.07692301, 4202.82051275, 4206.79487173, 4127.05128178, 4174.74358961, 4133.20512793, 4133.58974332, 4202.05128199,8.57
4126.02564075, 4125.12820485, 4122.17948691, 4126.79487152, 4124.61538434, 4212.94871788, 4180.12820499, 4173.84615371, 4179.10256397, 4125.89743562, 4171.66666653, 4127.69230742, 4133.33333306, 4196.15384602,8.57
4122.30769203, 4124.10256383, 4120.25640998, 4123.97435870, 4125.25640998, 4256.15384616, 4234.48717949, 4236.66666667, 4242.56410257, 4124.35897408, 4174.99999986, 4125.12820485, 4131.15384588, 4202.69230763,8.57
4131.15384588, 4123.84615357, 4124.35897408, 4122.56410229, 4126.15384588, 4291.02564110, 4278.07692315, 4282.56410264, 4292.94871802, 4125.89743562, 4181.53846140, 4129.87179460, 4132.17948691, 4202.69230763,8.57
4123.46153819, 4125.76923050, 4118.33333306, 4125.76923050, 4124.61538434, 4274.48717956, 4250.89743590, 4248.84615385, 4262.56410257, 4126.02564075, 4177.82051269, 4120.25640998, 4128.97435870, 4193.20512807,8.57
4127.17948691, 4122.82051255, 4125.89743562, 4123.71794844, 4124.87179460, 4259.74358975, 4232.05128199, 4224.48717942, 4234.35897436, 4126.53846126, 4177.05128192, 4133.07692280, 4132.56410229, 4199.61538448,8.57
4125.89743562, 4122.43589716, 4128.84615357, 4125.64102537, 4122.94871767, 4268.07692315, 4243.84615385, 4233.20512814, 4241.28205129, 4127.05128178, 4172.82051269, 4123.97435870, 4128.07692280, 4194.99999986,8.57
4120.76923050, 4123.33333306, 4122.17948691, 4121.02564075, 4121.28205101, 4261.53846154, 4231.53846147, 4218.20512814, 4229.99999993, 4125.89743562, 4170.89743576, 4118.33333306, 4125.89743562, 4197.17948704,8.57
4125.38461511, 4126.41025614, 4127.05128178, 4122.94871767, 4122.43589716, 4236.92307693, 4208.97435891, 4196.15384602, 4208.84615378, 4127.69230742, 4174.10256397, 4130.51282024, 4130.89743562, 4200.89743576,8.57
4117.69230742, 4125.12820485, 4122.05128178, 4130.25640998, 4121.79487152, 4229.35897429, 4204.61538455, 4187.43589730, 4193.20512807, 4128.97435870, 4165.76923056, 4117.30769203, 4126.92307665, 4193.46153833,8.57
4122.43589716, 4121.53846126, 4120.51282024, 4124.48717921, 4122.69230742, 4241.79487180, 4210.89743583, 4186.79487166, 4186.66666653, 4127.05128178, 4166.02564082, 4124.87179460, 4130.25640998, 4198.07692294,8.57
4122.94871767, 4123.46153819, 4121.02564075, 4124.87179460, 4122.94871767, 4243.46153847, 4215.76923070, 4198.58974345, 4200.51282038, 4126.41025614, 4170.25641012, 4130.64102537, 4128.71794844, 4195.64102551,8.57
4118.20512793, 4121.41025614, 4119.10256383, 4126.41025614, 4122.94871767, 4227.82051275, 4207.82051275, 4197.56410243, 4193.97435884, 4126.53846126, 4164.99999980, 4124.74358947, 4126.66666639, 4196.92307679,8.57
4128.33333306, 4123.71794844, 4126.92307665, 4127.43589716, 4123.46153819, 4234.23076923, 4214.35897429, 4200.51282038, 4182.94871781, 4128.33333306, 4163.07692287, 4133.33333306, 4133.33333306, 4196.66666653,8.57
4122.17948691, 4127.17948691, 4122.43589716, 4127.82051255, 4123.84615357, 4249.61538462, 4230.89743583, 4216.02564096, 4197.30769217, 4128.97435870, 4160.38461518, 4126.92307665, 4127.69230742, 4187.69230756,8.57
4127.17948691, 4124.99999973, 4123.97435870, 4123.33333306, 4125.64102537, 4211.15384609, 4187.43589730, 4181.53846140, 4175.12820499, 4127.69230742, 4156.15384595, 4130.89743562, 4128.46153819, 4198.20512807,8.57
4132.94871767, 4126.66666639, 4130.12820485, 4124.74358947, 4124.10256383, 4174.48717935, 4140.12820492, 4134.48717921, 4129.23076896, 4128.71794844, 4152.30769210, 4132.82051255, 4132.94871767, 4197.69230756,8.57
4120.51282024, 4126.15384588, 4124.35897408, 4123.58974332, 4123.71794844, 4217.43589737, 4187.82051269, 4175.38461525, 4166.79487159, 4128.20512793, 4155.76923056, 4123.84615357, 4130.51282024, 4194.10256397,8.57
4127.82051255, 4126.79487152, 4127.17948691, 4124.23076896, 4126.15384588, 4263.20512821, 4246.41025641, 4242.05128206, 4241.15384616, 4124.87179460, 4165.38461518, 4132.17948691, 4134.99999973, 4200.12820499,8.57
4128.97435870, 4127.05128178, 4124.10256383, 4125.89743562, 4122.82051255, 4249.48717949, 4235.38461539, 4241.53846154, 4247.17948718, 4124.48717921, 4161.79487159, 4129.61538434, 4134.99999973, 4193.46153833,8.57
4126.66666639, 4125.89743562, 4123.33333306, 4122.69230742, 4120.76923050, 4237.94871795, 4219.48717942, 4216.02564096, 4224.87179481, 4127.17948691, 4156.92307672, 4130.38461511, 4135.64102544, 4199.23076910,8.57
4126.92307665, 4126.15384588, 4124.61538434, 4123.71794844, 4123.71794844, 4241.41025641, 4212.17948711, 4194.35897422, 4193.97435884, 4127.43589716, 4160.76923056, 4136.15384595, 4137.17948697, 4202.94871788,8.57
4118.84615357, 4122.30769203, 4120.89743562, 4124.35897408, 4121.92307665, 4221.28205122, 4191.41025628, 4175.38461525, 4135.51282031, 4127.82051255, 4157.69230749, 4129.87179460, 4133.46153819, 4198.07692294,8.57
4128.71794844, 4124.87179460, 4131.92307665, 4127.56410229, 4120.89743562, 4218.33333327, 4202.30769224, 4187.43589730, 4103.20512793, 4127.94871767, 4154.74358954, 4137.17948697, 4136.92307672, 4201.66666660,8.57
4127.56410229, 4124.74358947, 4129.48717921, 4126.41025614, 4122.94871767, 4238.33333334, 4223.33333327, 4201.28205122, 4109.23076896, 4126.15384588, 4155.76923056, 4136.79487159, 4137.82051262, 4198.46153833,8.57
4120.89743562, 4121.41025614, 4121.53846126, 4118.97435870, 4122.69230742, 4228.33333327, 4204.87179481, 4184.48717935, 4091.79487145, 4126.15384588, 4152.82051262, 4131.53846126, 4135.76923056, 4196.79487166,8.57
4127.43589716, 4127.05128178, 4129.74358947, 4122.43589716, 4121.53846126, 4207.30769224, 4187.69230756, 4170.12820499, 4056.79487138, 4128.07692280, 4149.23076903, 4139.10256390, 4141.79487159, 4196.92307679,8.57
4122.69230742, 4124.10256383, 4127.05128178, 4126.41025614, 4122.69230742, 4209.61538455, 4194.74358961, 4173.58974345, 4050.51282010, 4129.87179460, 4146.41025621, 4133.33333306, 4144.35897415, 4195.12820499,8.57
4126.41025614, 4119.74358947, 4124.61538434, 4123.07692280, 4124.10256383, 4213.84615378, 4197.94871781, 4177.43589730, 4061.02564061, 4128.97435870, 4145.89743569, 4131.15384588, 4139.48717928, 4200.38461525,8.57
4130.51282024, 4124.48717921, 4125.38461511, 4121.41025614, 4122.43589716, 4199.35897422, 4185.38461525, 4166.02564082, 4058.33333292, 4128.07692280, 4146.41025621, 4136.15384595, 4137.17948697, 4199.10256397,8.57
4120.76923050, 4124.35897408, 4121.02564075, 4121.28205101, 4122.30769203, 4196.15384602, 4185.51282038, 4163.46153826, 4057.30769189, 4128.20512793, 4142.94871774, 4130.25640998, 4136.53846133, 4194.23076910,8.57
4122.82051255, 4124.48717921, 4123.33333306, 4123.46153819, 4123.07692280, 4210.51282045, 4202.94871788, 4186.41025628, 4070.12820478, 4127.05128178, 4144.48717928, 4134.74358947, 4138.58974339, 4200.64102551,8.57
4124.87179460, 4126.79487152, 4123.58974332, 4121.79487152, 4122.05128178, 4201.66666660, 4192.94871781, 4181.53846140, 4056.66666625, 4125.89743562, 4144.74358954, 4135.38461518, 4138.71794851, 4201.15384609,8.57
4120.89743562, 4123.71794844, 4121.15384588, 4121.28205101, 4122.56410229, 4178.71794858, 4167.94871774, 4151.79487159, 4028.33333285, 4126.02564075, 4140.64102544, 4129.23076896, 4137.56410236, 4196.53846140,8.57
4121.15384588, 4118.97435870, 4121.66666639, 4126.41025614, 4124.35897408, 4197.94871781, 4195.38461525, 4177.17948704, 4052.05128164, 4126.66666639, 4143.33333313, 4137.05128185, 4141.02564082, 4199.74358961,8.57
4121.15384588, 4121.41025614, 4122.82051255, 4124.99999973, 4122.94871767, 4242.05128206, 4247.17948718, 4243.07692308, 4113.84615357, 4127.05128178, 4145.38461518, 4135.89743569, 4138.07692287, 4197.17948704,8.57
4123.33333306, 4128.58974332, 4124.23076896, 4122.94871767, 4122.30769203, 4235.89743590, 4237.30769231, 4243.84615385, 4116.53846126, 4128.58974332, 4142.43589723, 4132.30769203, 4136.02564082, 4197.82051269,8.57
4122.82051255, 4124.61538434, 4119.99999973, 4122.69230742, 4126.28205101, 4206.53846147, 4201.02564096, 4193.20512807, 4065.64102523, 4127.94871767, 4139.87179467, 4135.12820485, 4139.48717928, 4201.02564096,8.57
4123.07692280, 4120.76923050, 4120.51282024, 4123.84615357, 4125.76923050, 4210.38461532, 4200.25641012, 4180.51282038, 4057.43589702, 4126.66666639, 4138.97435877, 4132.30769203, 4139.74358954, 4198.46153833,8.57
4123.46153819, 4123.71794844, 4122.17948691, 4125.12820485, 4122.43589716, 4215.12820506, 4201.92307686, 4190.76923063, 4078.07692273, 4128.20512793, 4140.38461518, 4133.58974332, 4141.41025621, 4196.53846140,8.57
4120.64102537, 4121.02564075, 4117.94871767, 4122.30769203, 4122.05128178, 4202.94871788, 4185.76923063, 4174.99999986, 4062.56410215, 4128.84615357, 4139.48717928, 4131.15384588, 4137.43589723, 4195.25641012,8.57
4123.97435870, 4122.82051255, 4124.99999973, 4125.12820485, 4122.94871767, 4200.38461525, 4176.66666653, 4160.89743569, 4041.66666625, 4128.07692280, 4138.97435877, 4132.56410229, 4133.07692280, 4196.28205115,8.57
4121.41025614, 4123.84615357, 4126.28205101, 4124.61538434, 4123.58974332, 4206.15384609, 4184.61538448, 4179.74358961, 4069.35897395, 4128.97435870, 4140.64102544, 4135.89743569, 4135.89743569, 4194.48717935,8.57
4121.28205101, 4122.82051255, 4122.94871767, 4124.23076896, 4122.94871767, 4201.66666660, 4189.87179474, 4187.43589730, 4087.17948684, 4128.84615357, 4140.25641005, 4131.41025614, 4137.43589723, 4196.02564089,8.57
4125.25640998, 4126.53846126, 4127.69230742, 4129.23076896, 4122.17948691, 4202.94871788, 4187.43589730, 4177.69230756, 4062.17948677, 4126.41025614, 4144.61538441, 4134.48717921, 4137.69230749, 4198.71794858,8.57
4121.53846126, 4123.71794844, 4125.25640998, 4124.87179460, 4124.10256383, 4215.38461532, 4193.58974345, 4193.71794858, 4091.41025607, 4126.28205101, 4147.94871774, 4134.87179460, 4135.76923056, 4193.58974345,8.57
4128.33333306, 4124.48717921, 4127.69230742, 4125.64102537, 4126.53846126, 4204.61538455, 4189.61538448, 4193.58974345, 4104.99999973, 4128.46153819, 4142.05128185, 4135.25640998, 4135.89743569, 4195.38461525,8.57
4128.71794844, 4125.76923050, 4126.92307665, 4129.48717921, 4122.82051255, 4177.43589730, 4166.79487159, 4157.69230749, 3963.20512758, 4128.71794844, 4139.10256390, 4137.05128185, 4138.46153826, 4198.58974345,8.57
4124.74358947, 4123.07692280, 4121.92307665, 4126.28205101, 4120.25640998, 4181.92307679, 4165.76923056, 4156.53846133, 3823.97435807, 4127.43589716, 4142.30769210, 4133.33333306, 4135.51282031, 4197.05128192,8.57
4129.35897408, 4124.74358947, 4127.17948691, 4126.28205101, 4122.69230742, 4199.74358961, 4181.41025628, 4181.79487166, 3834.10256320, 4128.46153819, 4145.51282031, 4137.82051262, 4134.35897408, 4200.38461525,8.57
4122.05128178, 4123.71794844, 4125.89743562, 4124.23076896, 4121.79487152, 4192.43589730, 4172.30769217, 4163.84615364, 3849.48717866, 4128.71794844, 4144.10256390, 4138.20512800, 4135.25640998, 4199.35897422,8.57
4123.84615357, 4125.51282024, 4125.76923050, 4125.12820485, 4122.05128178, 4188.46153833, 4167.69230749, 4148.84615364, 3826.02564013, 4126.02564075, 4143.97435877, 4136.02564082, 4134.99999973, 4197.94871781,8.57
4131.92307665, 4126.15384588, 4126.66666639, 4125.25640998, 4125.25640998, 4197.05128192, 4184.10256397, 4181.15384602, 3865.89743507, 4125.89743562, 4148.46153826, 4138.84615364, 4135.25640998, 4201.02564096,8.57
4127.43589716, 4124.35897408, 4123.58974332, 4122.30769203, 4124.61538434, 4197.17948704, 4188.58974345, 4196.92307679, 3905.12820437, 4127.43589716, 4148.46153826, 4138.20512800, 4135.51282031, 4197.94871781,8.57
4129.48717921, 4127.17948691, 4126.66666639, 4127.17948691, 4123.71794844, 4198.58974345, 4186.02564089, 4177.43589730, 3879.35897360, 4128.33333306, 4144.10256390, 4142.69230749, 4137.05128185, 4196.28205115,8.57
4128.58974332, 4126.15384588, 4125.25640998, 4126.53846126, 4124.10256383, 4204.23076917, 4187.30769217, 4172.05128192, 3867.05128122, 4128.33333306, 4138.33333313, 4139.35897415, 4137.56410236, 4197.94871781,8.57
4127.30769203, 4125.51282024, 4125.25640998, 4123.97435870, 4124.23076896, 4194.74358961, 4176.53846140, 4174.87179474, 3874.48717873, 4128.20512793, 4138.07692287, 4136.66666646, 4135.64102544, 4198.58974345,8.57
