AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4122.43589716, 4123.58974332, 4127.05128178, 4121.41025614, 4122.30769203, 4163.46153826, 4184.35897422, 4190.51282038, 4181.92307679, 4129.61538434, 4122.43589716, 4130.38461511, 4131.66666639, 4197.17948704,8.57
4118.84615357, 4120.89743562, 4120.25640998, 4119.10256383, 4116.79487152, 4169.61538448, 4189.23076910, 4188.84615371, 4175.64102551, 4129.61538434, 4121.92307665, 4128.71794844, 4130.38461511, 4197.17948704,8.57
4118.07692280, 4122.82051255, 4117.56410229, 4121.15384588, 4123.20512793, 4166.53846133, 4189.74358961, 4187.56410243, 4181.41025628, 4129.99999973, 4122.82051255, 4129.99999973, 4132.69230742, 4200.64102551,8.57
4119.35897408, 4123.07692280, 4120.64102537, 4121.66666639, 4126.66666639, 4153.84615364, 4183.46153833, 4184.61538448, 4188.84615371, 4128.20512793, 4123.58974332, 4126.41025614, 4132.82051255, 4197.94871781,8.57
4123.58974332, 4122.17948691, 4124.87179460, 4121.02564075, 4121.41025614, 4154.23076903, 4186.15384602, 4184.35897422, 4173.33333320, 4126.15384588, 4121.28205101, 4126.66666639, 4131.53846126, 4197.94871781,8.57
4121.15384588, 4123.97435870, 4121.53846126, 4121.66666639, 4119.99999973, 4158.97435877, 4187.43589730, 4191.41025628, 4164.87179467, 4127.17948691, 4118.84615357, 4129.48717921, 4132.17948691, 4197.56410243,8.57
4114.99999973, 4123.58974332, 4114.87179460, 4123.20512793, 4123.07692280, 4143.71794851, 4169.35897422, 4182.69230756, 4167.30769210, 4128.71794844, 4118.07692280, 4125.89743562, 4130.12820485, 4193.07692294,8.57
4120.76923050, 4121.02564075, 4118.58974332, 4127.56410229, 4123.84615357, 4142.69230749, 4164.99999980, 4167.69230749, 4158.71794851, 4128.46153819, 4122.05128178, 4126.79487152, 4129.99999973, 4195.51282038,8.57
4119.99999973, 4120.64102537, 4119.10256383, 4123.20512793, 4124.23076896, 4165.51282031, 4190.12820499, 4188.71794858, 4175.25641012, 4126.92307665, 4126.28205101, 4125.38461511, 4133.07692280, 4198.20512807,8.57
4115.51282024, 4123.46153819, 4117.17948691, 4118.46153819, 4126.41025614, 4169.61538448, 4203.07692301, 4214.35897429, 4208.07692301, 4128.46153819, 4125.76923050, 4122.17948691, 4133.46153819, 4195.51282038,8.57
4117.94871767, 4122.30769203, 4120.12820485, 4124.10256383, 4125.38461511, 4161.15384595, 4192.94871781, 4199.87179474, 4196.15384602, 4130.12820485, 4123.46153819, 4122.69230742, 4131.79487152, 4194.87179474,8.57
4118.58974332, 4119.99999973, 4119.23076896, 4125.51282024, 4122.30769203, 4162.17948697, 4184.87179474, 4180.25641012, 4172.05128192, 4128.20512793, 4123.20512793, 4121.53846126, 4130.76923050, 4196.53846140,8.57
4120.64102537, 4122.56410229, 4121.79487152, 4122.56410229, 4123.84615357, 4164.10256390, 4185.25641012, 4183.71794858, 4184.99999986, 4126.53846126, 4126.66666639, 4124.35897408, 4132.56410229, 4196.28205115,8.57
4119.23076896, 4123.71794844, 4123.20512793, 4122.82051255, 4125.89743562, 4162.43589723, 4184.99999986, 4181.66666653, 4186.15384602, 4126.79487152, 4126.79487152, 4125.38461511, 4131.15384588, 4193.58974345,8.57
4119.61538434, 4124.35897408, 4123.33333306, 4124.87179460, 4125.12820485, 4160.12820492, 4181.02564089, 4173.46153833, 4160.76923056, 4128.20512793, 4124.23076896, 4123.07692280, 4128.84615357, 4194.10256397,8.57
4121.28205101, 4123.20512793, 4124.99999973, 4122.43589716, 4123.46153819, 4157.17948697, 4185.64102551, 4184.74358961, 4167.30769210, 4127.69230742, 4125.25640998, 4124.23076896, 4131.15384588, 4194.35897422,8.57
4119.74358947, 4121.41025614, 4123.46153819, 4119.10256383, 4123.33333306, 4159.74358954, 4195.51282038, 4200.89743576, 4193.84615371, 4124.87179460, 4124.23076896, 4122.69230742, 4131.92307665, 4192.56410243,8.57
4121.53846126, 4127.17948691, 4125.89743562, 4124.10256383, 4124.61538434, 4165.89743569, 4197.30769217, 4205.12820506, 4196.53846140, 4125.76923050, 4122.30769203, 4122.56410229, 4129.99999973, 4193.20512807,8.57
4116.28205101, 4126.28205101, 4123.33333306, 4124.87179460, 4122.94871767, 4166.66666646, 4193.07692294, 4196.53846140, 4183.97435884, 4129.48717921, 4122.69230742, 4122.17948691, 4131.15384588, 4193.58974345,8.57
4118.07692280, 4124.10256383, 4125.76923050, 4122.17948691, 4122.94871767, 4169.99999986, 4193.84615371, 4187.82051269, 4182.43589730, 4128.71794844, 4126.28205101, 4124.99999973, 4135.64102544, 4197.05128192,8.57
4127.56410229, 4128.07692280, 4131.66666639, 4123.46153819, 4125.89743562, 4169.74358961, 4192.56410243, 4190.89743576, 4191.02564089, 4127.05128178, 4127.56410229, 4131.41025614, 4134.61538434, 4197.69230756,8.57
4121.92307665, 4121.79487152, 4124.10256383, 4121.92307665, 4123.58974332, 4162.56410236, 4183.58974345, 4190.51282038, 4188.33333320, 4128.71794844, 4122.82051255, 4127.05128178, 4129.35897408, 4194.87179474,8.57
4121.15384588, 4121.02564075, 4124.10256383, 4125.12820485, 4121.53846126, 4156.66666646, 4175.38461525, 4173.20512807, 4164.48717928, 4127.82051255, 4122.43589716, 4125.25640998, 4128.97435870, 4197.56410243,8.57
4122.82051255, 4126.41025614, 4125.89743562, 4127.94871767, 4124.10256383, 4150.12820492, 4169.48717935, 4149.10256390, 4134.48717921, 4126.92307665, 4121.28205101, 4126.92307665, 4128.46153819, 4194.74358961,8.57
4121.41025614, 4124.35897408, 4124.87179460, 4126.66666639, 4125.51282024, 4154.61538441, 4179.61538448, 4163.20512800, 4151.15384595, 4129.61538434, 4119.48717921, 4128.20512793, 4128.71794844, 4192.94871781,8.57
4123.97435870, 4123.58974332, 4127.43589716, 4128.20512793, 4123.97435870, 4169.99999986, 4203.07692301, 4207.69230763, 4203.97435891, 4129.61538434, 4124.23076896, 4131.66666639, 4132.56410229, 4198.84615371,8.57
4121.66666639, 4123.97435870, 4123.97435870, 4124.48717921, 4122.43589716, 4174.48717935, 4211.15384609, 4216.02564096, 4216.92307686, 4125.76923050, 4127.43589716, 4126.28205101, 4132.82051255, 4196.53846140,8.57
4124.48717921, 4126.53846126, 4125.89743562, 4124.87179460, 4122.30769203, 4171.28205115, 4206.02564096, 4195.64102551, 4197.82051269, 4126.41025614, 4127.82051255, 4126.28205101, 4131.15384588, 4193.07692294,8.57
4124.10256383, 4124.74358947, 4125.51282024, 4126.79487152, 4122.69230742, 4176.79487166, 4207.94871788, 4204.23076917, 4199.23076910, 4128.71794844, 4127.17948691, 4131.28205101, 4131.02564075, 4196.28205115,8.57
4122.94871767, 4121.53846126, 4119.87179460, 4121.79487152, 4122.82051255, 4184.61538448, 4215.25641019, 4224.23076917, 4208.71794865, 4128.07692280, 4124.74358947, 4129.87179460, 4132.17948691, 4199.10256397,8.57
4129.23076896, 4124.61538434, 4121.02564075, 4123.84615357, 4123.20512793, 4185.64102551, 4217.17948711, 4219.87179481, 4208.33333327, 4128.33333306, 4124.61538434, 4128.58974332, 4133.84615357, 4198.58974345,8.57
4125.51282024, 4125.51282024, 4123.20512793, 4128.20512793, 4122.69230742, 4183.20512807, 4213.07692301, 4212.30769224, 4210.38461532, 4128.46153819, 4126.41025614, 4128.33333306, 4132.94871767, 4197.82051269,8.57
4124.74358947, 4126.15384588, 4129.23076896, 4128.07692280, 4124.99999973, 4176.66666653, 4205.76923070, 4208.84615378, 4200.89743576, 4126.66666639, 4126.15384588, 4131.79487152, 4133.33333306, 4197.94871781,8.57
4123.33333306, 4124.74358947, 4128.97435870, 4124.61538434, 4126.15384588, 4171.53846140, 4200.38461525, 4199.48717935, 4182.69230756, 4126.02564075, 4122.56410229, 4130.64102537, 4133.46153819, 4194.99999986,8.57
4119.87179460, 4122.82051255, 4125.12820485, 4123.58974332, 4124.35897408, 4174.74358961, 4202.56410250, 4194.61538448, 4181.92307679, 4128.71794844, 4120.89743562, 4128.97435870, 4133.20512793, 4196.28205115,8.57
4123.84615357, 4124.74358947, 4127.43589716, 4125.12820485, 4123.84615357, 4174.48717935, 4205.51282045, 4204.87179481, 4195.38461525, 4129.74358947, 4124.35897408, 4132.69230742, 4136.02564082, 4198.07692294,8.57
4120.51282024, 4119.99999973, 4124.10256383, 4121.02564075, 4123.46153819, 4167.17948697, 4200.51282038, 4214.23076917, 4205.12820506, 4127.82051255, 4124.74358947, 4127.82051255, 4134.87179460, 4195.76923063,8.57
4121.79487152, 4119.99999973, 4125.38461511, 4119.87179460, 4123.97435870, 4169.35897422, 4197.56410243, 4202.30769224, 4198.33333320, 4126.28205101, 4122.69230742, 4128.97435870, 4133.07692280, 4200.12820499,8.57
4122.30769203, 4124.61538434, 4126.41025614, 4122.17948691, 4123.84615357, 4180.51282038, 4209.87179481, 4201.41025634, 4196.92307679, 4127.56410229, 4126.53846126, 4132.56410229, 4134.74358947, 4203.20512814,8.57
4118.07692280, 4121.92307665, 4119.87179460, 4123.84615357, 4123.20512793, 4189.87179474, 4229.74358968, 4228.33333327, 4215.89743583, 4126.66666639, 4128.71794844, 4125.12820485, 4134.48717921, 4200.38461525,8.57
4123.33333306, 4122.05128178, 4120.38461511, 4126.41025614, 4125.64102537, 4193.07692294, 4234.61538462, 4240.76923077, 4231.15384609, 4124.99999973, 4128.84615357, 4124.74358947, 4134.74358947, 4198.84615371,8.57
4122.17948691, 4124.35897408, 4120.12820485, 4122.05128178, 4125.76923050, 4187.43589730, 4222.56410250, 4220.64102558, 4220.64102558, 4127.94871767, 4129.48717921, 4125.89743562, 4131.92307665, 4196.28205115,8.57
4122.30769203, 4126.15384588, 4121.41025614, 4120.89743562, 4123.07692280, 4182.30769217, 4214.74358968, 4204.87179481, 4197.82051269, 4130.12820485, 4127.30769203, 4127.43589716, 4131.92307665, 4196.53846140,8.57
4121.79487152, 4124.48717921, 4121.41025614, 4122.82051255, 4121.28205101, 4185.38461525, 4220.12820506, 4212.30769224, 4194.23076910, 4127.56410229, 4125.12820485, 4129.74358947, 4134.74358947, 4198.20512807,8.57
4115.12820485, 4119.74358947, 4118.97435870, 4120.38461511, 4121.92307665, 4182.17948704, 4220.64102558, 4220.38461532, 4207.69230763, 4124.74358947, 4124.87179460, 4124.48717921, 4130.76923050, 4196.66666653,8.57
4120.89743562, 4123.58974332, 4123.20512793, 4120.76923050, 4122.94871767, 4163.58974339, 4204.10256404, 4205.89743583, 4194.74358961, 4127.30769203, 4123.07692280, 4127.56410229, 4130.25640998, 4196.92307679,8.57
4120.89743562, 4124.87179460, 4120.51282024, 4119.35897408, 4122.69230742, 4164.35897415, 4202.82051275, 4196.28205115, 4178.71794858, 4129.10256383, 4120.25640998, 4127.56410229, 4132.05128178, 4196.66666653,8.57
4117.82051255, 4122.69230742, 4119.10256383, 4121.02564075, 4122.82051255, 4191.92307679, 4231.41025634, 4223.84615378, 4208.71794865, 4127.43589716, 4123.97435870, 4122.30769203, 4131.15384588, 4196.28205115,8.57
4121.28205101, 4122.69230742, 4123.46153819, 4127.30769203, 4122.94871767, 4209.99999993, 4250.64102564, 4248.97435898, 4242.05128206, 4128.20512793, 4128.97435870, 4124.99999973, 4130.64102537, 4195.89743576,8.57
4119.10256383, 4121.92307665, 4120.51282024, 4125.89743562, 4124.23076896, 4204.48717942, 4245.12820513, 4245.38461539, 4246.28205129, 4129.87179460, 4128.07692280, 4125.25640998, 4131.02564075, 4195.64102551,8.57
4120.25640998, 4124.74358947, 4118.84615357, 4125.38461511, 4126.28205101, 4195.12820499, 4237.05128206, 4236.02564103, 4242.43589744, 4127.56410229, 4128.46153819, 4126.53846126, 4133.20512793, 4196.66666653,8.57
4118.71794844, 4125.89743562, 4116.92307665, 4125.38461511, 4123.71794844, 4194.23076910, 4233.33333327, 4226.02564096, 4227.56410250, 4125.38461511, 4127.69230742, 4126.41025614, 4132.82051255, 4193.46153833,8.57
4117.69230742, 4124.74358947, 4118.46153819, 4122.17948691, 4122.94871767, 4186.79487166, 4225.51282045, 4214.35897429, 4210.25641019, 4128.46153819, 4123.97435870, 4123.71794844, 4129.61538434, 4193.20512807,8.57
4120.89743562, 4124.99999973, 4123.07692280, 4123.07692280, 4125.38461511, 4183.97435884, 4226.66666660, 4213.84615378, 4216.02564096, 4128.71794844, 4123.20512793, 4125.89743562, 4130.12820485, 4195.76923063,8.57
4116.92307665, 4122.17948691, 4119.99999973, 4122.82051255, 4122.94871767, 4195.12820499, 4231.02564096, 4211.41025634, 4210.76923070, 4125.51282024, 4122.43589716, 4124.35897408, 4132.30769203, 4194.23076910,8.57
4119.23076896, 4122.30769203, 4122.56410229, 4123.58974332, 4122.05128178, 4194.74358961, 4226.79487173, 4205.89743583, 4198.20512807, 4126.15384588, 4123.71794844, 4124.35897408, 4131.41025614, 4195.76923063,8.57
4120.89743562, 4124.35897408, 4123.97435870, 4123.71794844, 4123.84615357, 4191.28205115, 4238.97435898, 4233.07692301, 4232.43589737, 4127.82051255, 4129.35897408, 4125.38461511, 4129.87179460, 4196.66666653,8.57
4118.07692280, 4124.48717921, 4119.87179460, 4121.66666639, 4123.33333306, 4204.10256404, 4260.00000000, 4262.56410257, 4266.53846154, 4127.30769203, 4130.89743562, 4123.97435870, 4131.02564075, 4194.48717935,8.57
4124.23076896, 4124.48717921, 4124.74358947, 4126.53846126, 4124.35897408, 4211.15384609, 4256.53846154, 4249.23076923, 4246.79487180, 4127.69230742, 4128.71794844, 4125.76923050, 4133.71794844, 4191.41025628,8.57
4123.46153819, 4122.17948691, 4123.97435870, 4126.41025614, 4124.10256383, 4204.10256404, 4248.33333334, 4233.20512814, 4229.87179481, 4128.46153819, 4127.69230742, 4123.20512793, 4131.15384588, 4189.74358961,8.57
4121.66666639, 4124.35897408, 4123.46153819, 4124.10256383, 4122.43589716, 4206.53846147, 4255.00000000, 4243.97435898, 4248.46153847, 4127.30769203, 4128.07692280, 4125.38461511, 4128.33333306, 4195.51282038,8.57
4123.97435870, 4128.46153819, 4126.28205101, 4127.56410229, 4122.56410229, 4213.84615378, 4256.15384616, 4248.20512821, 4254.10256411, 4126.53846126, 4126.53846126, 4129.61538434, 4130.25640998, 4196.15384602,8.57
4121.28205101, 4126.02564075, 4123.84615357, 4124.74358947, 4123.58974332, 4213.33333327, 4252.69230770, 4241.66666667, 4249.74358975, 4125.89743562, 4126.28205101, 4124.48717921, 4131.15384588, 4192.17948704,8.57
4125.25640998, 4126.02564075, 4128.46153819, 4123.71794844, 4125.38461511, 4209.48717942, 4253.71794872, 4245.64102564, 4260.76923077, 4126.28205101, 4130.51282024, 4125.51282024, 4131.15384588, 4194.35897422,8.57
4124.35897408, 4124.10256383, 4128.20512793, 4127.56410229, 4123.58974332, 4204.35897429, 4250.89743590, 4252.17948718, 4261.79487180, 4129.23076896, 4127.94871767, 4126.66666639, 4132.05128178, 4193.97435884,8.57
