AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4117.05128178, 4118.71794844, 4118.07692280, 4095.25640991, 4120.38461511, 4103.58974332, 4103.20512793, 4086.66666632, 4081.41025607, 4126.41025614, 4126.41025614, 4118.46153819, 4127.56410229, 4190.51282038,8.57
4122.05128178, 4119.61538434, 4123.20512793, 4097.82051248, 4122.17948691, 4098.97435863, 4100.51282017, 4100.51282017, 4111.53846126, 4127.56410229, 4125.38461511, 4126.02564075, 4130.38461511, 4193.71794858,8.57
4118.07692280, 4123.20512793, 4119.35897408, 4101.02564068, 4122.17948691, 4088.71794837, 4109.23076896, 4123.58974332, 4125.89743562, 4124.23076896, 4121.66666639, 4121.15384588, 4131.41025614, 4189.74358961,8.57
4119.35897408, 4126.02564075, 4121.41025614, 4100.51282017, 4122.30769203, 4075.12820478, 4112.56410229, 4120.89743562, 4107.56410229, 4125.89743562, 4121.66666639, 4119.74358947, 4131.41025614, 4189.61538448,8.57
4117.43589716, 4121.66666639, 4122.82051255, 4095.64102530, 4124.10256383, 4067.94871754, 4095.89743555, 4098.07692273, 4091.02564068, 4128.33333306, 4126.41025614, 4123.07692280, 4129.61538434, 4191.41025628,8.57
4114.61538434, 4121.66666639, 4120.51282024, 4098.33333299, 4123.33333306, 4071.53846119, 4079.99999966, 4082.17948684, 4089.61538427, 4126.92307665, 4127.69230742, 4119.74358947, 4128.97435870, 4191.66666653,8.57
4124.23076896, 4128.20512793, 4123.20512793, 4104.23076896, 4122.43589716, 4076.92307658, 4080.12820478, 4069.74358940, 4080.25640991, 4127.05128178, 4126.28205101, 4122.17948691, 4131.28205101, 4191.41025628,8.57
4117.05128178, 4120.51282024, 4117.94871767, 4093.58974325, 4120.51282024, 4077.05128171, 4082.30769196, 4064.74358933, 4070.89743555, 4126.92307665, 4122.17948691, 4115.76923050, 4129.48717921, 4184.99999986,8.57
4114.48717921, 4119.99999973, 4121.53846126, 4097.69230735, 4120.38461511, 4092.94871761, 4096.02564068, 4086.15384581, 4095.51282017, 4127.43589716, 4121.92307665, 4117.82051255, 4129.23076896, 4189.35897422,8.57
4119.74358947, 4127.94871767, 4124.23076896, 4112.56410229, 4121.92307665, 4111.66666639, 4117.69230742, 4108.46153819, 4121.15384588, 4129.87179460, 4123.07692280, 4122.05128178, 4129.23076896, 4194.61538448,8.57
4117.05128178, 4122.05128178, 4120.38461511, 4098.84615350, 4120.25640998, 4091.53846119, 4108.97435870, 4100.64102530, 4092.17948684, 4128.33333306, 4123.20512793, 4115.12820485, 4128.58974332, 4186.53846140,8.57
4122.56410229, 4118.97435870, 4123.58974332, 4082.82051248, 4122.82051255, 4061.15384574, 4082.30769196, 4087.30769196, 4060.51282010, 4126.02564075, 4126.15384588, 4119.61538434, 4132.30769203, 4185.89743576,8.57
4118.71794844, 4120.51282024, 4119.35897408, 4086.02564068, 4124.99999973, 4070.89743555, 4081.66666632, 4090.38461504, 4076.79487145, 4128.33333306, 4124.23076896, 4118.33333306, 4130.12820485, 4188.20512807,8.57
4117.43589716, 4123.58974332, 4123.46153819, 4090.12820478, 4121.41025614, 4093.97435863, 4094.48717914, 4095.64102530, 4097.17948684, 4129.74358947, 4125.51282024, 4119.61538434, 4128.20512793, 4189.23076910,8.57
4124.35897408, 4125.12820485, 4129.61538434, 4085.89743555, 4119.23076896, 4091.02564068, 4097.05128171, 4100.64102530, 4097.30769196, 4127.17948691, 4128.71794844, 4124.74358947, 4131.92307665, 4191.66666653,8.57
4118.71794844, 4120.38461511, 4124.87179460, 4082.30769196, 4119.48717921, 4085.76923043, 4096.15384581, 4105.12820485, 4102.82051255, 4125.89743562, 4125.25640998, 4118.46153819, 4130.64102537, 4189.23076910,8.57
4123.33333306, 4124.10256383, 4128.97435870, 4083.71794837, 4121.15384588, 4089.61538427, 4080.25640991, 4084.99999966, 4102.43589709, 4128.07692280, 4126.79487152, 4123.97435870, 4130.12820485, 4189.87179474,8.57
