AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4107.17948691, 4119.35897408, 4109.87179460, 4119.87179460, 4119.61538434, 4081.79487145, 4117.94871767, 4133.71794844, 4107.43589716, 4137.56410236, 4127.69230742, 4124.87179460, 4130.38461511, 4187.56410243,8.57
4119.99999973, 4124.35897408, 4119.48717921, 4124.74358947, 4124.10256383, 4085.12820478, 4127.17948691, 4144.10256390, 4113.84615357, 4137.56410236, 4122.94871767, 4124.99999973, 4130.64102537, 4194.35897422,8.57
4124.74358947, 4125.76923050, 4125.89743562, 4127.17948691, 4124.10256383, 4082.69230735, 4127.17948691, 4146.28205108, 4114.61538434, 4137.56410236, 4124.87179460, 4128.20512793, 4133.46153819, 4199.48717935,8.57
4100.25640991, 4117.30769203, 4109.23076896, 4120.64102537, 4114.99999973, 4084.61538427, 4130.38461511, 4161.15384595, 4127.17948691, 4137.56410236, 4129.74358947, 4121.79487152, 4131.53846126, 4189.99999986,8.57
4137.56410236, 4132.82051255, 4133.97435870, 4132.43589716, 4126.28205101, 4089.74358940, 4127.30769203, 4159.74358954, 4121.15384588, 4137.56410236, 4126.15384588, 4127.43589716, 4131.15384588, 4193.97435884,8.57
4110.12820485, 4116.28205101, 4114.74358947, 4123.71794844, 4117.69230742, 4089.35897402, 4111.66666639, 4135.51282031, 4103.07692280, 4137.56410236, 4125.51282024, 4122.56410229, 4129.74358947, 4188.97435884,8.57
4119.10256383, 4120.89743562, 4123.84615357, 4124.35897408, 4120.25640998, 4091.53846119, 4117.30769203, 4144.48717928, 4120.38461511, 4137.56410236, 4130.64102537, 4122.56410229, 4130.76923050, 4194.10256397,8.57
4131.15384588, 4129.99999973, 4131.02564075, 4128.33333306, 4129.23076896, 4097.05128171, 4133.97435870, 4172.43589730, 4149.61538441, 4137.56410236, 4128.97435870, 4125.38461511, 4132.56410229, 4192.56410243,8.57
4100.38461504, 4118.84615357, 4103.84615357, 4119.10256383, 4120.12820485, 4096.02564068, 4127.56410229, 4164.48717928, 4141.53846133, 4137.56410236, 4124.74358947, 4123.33333306, 4133.20512793, 4187.30769217,8.57
4138.58974339, 4133.20512793, 4135.12820485, 4127.69230742, 4127.05128178, 4090.64102530, 4118.07692280, 4143.58974339, 4123.46153819, 4137.56410236, 4125.89743562, 4130.25640998, 4132.94871767, 4200.25641012,8.57
