AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4127.56410229, 4126.15384588, 4127.05128178, 4126.66666639, 4124.10256383, 4120.51282024, 4143.71794851, 4177.69230756, 4169.99999986, 4126.41025614, 4123.46153819, 4123.46153819, 4126.02564075, 4144.74358954,8.57
4125.25640998, 4127.94871767, 4126.41025614, 4125.76923050, 4123.97435870, 4125.25640998, 4153.33333313, 4170.76923063, 4168.71794858, 4125.12820485, 4122.43589716, 4121.79487152, 4127.17948691, 4143.07692287,8.57
4116.66666639, 4126.15384588, 4125.38461511, 4123.84615357, 4121.41025614, 4127.05128178, 4165.76923056, 4183.33333320, 4172.94871781, 4127.56410229, 4120.25640998, 4120.64102537, 4128.46153819, 4143.07692287,8.57
4123.33333306, 4126.79487152, 4128.71794844, 4126.92307665, 4123.33333306, 4130.64102537, 4161.28205108, 4160.25641005, 4163.33333313, 4127.05128178, 4124.74358947, 4123.07692280, 4129.10256383, 4147.05128185,8.57
4124.23076896, 4126.02564075, 4125.51282024, 4125.64102537, 4123.97435870, 4125.64102537, 4141.66666646, 4123.20512793, 4151.15384595, 4125.64102537, 4125.64102537, 4120.89743562, 4128.07692280, 4143.07692287,8.57
4125.51282024, 4128.20512793, 4127.17948691, 4126.53846126, 4124.87179460, 4117.94871767, 4142.69230749, 4158.07692287, 4166.92307672, 4127.43589716, 4123.20512793, 4124.23076896, 4129.35897408, 4144.48717928,8.57
4109.23076896, 4119.61538434, 4112.94871767, 4122.05128178, 4123.20512793, 4116.53846126, 4158.07692287, 4207.69230763, 4187.30769217, 4128.20512793, 4125.64102537, 4119.74358947, 4130.12820485, 4145.64102544,8.57
4166.79487159, 4142.82051262, 4166.79487159, 4144.35897415, 4131.15384588, 4108.84615357, 4144.87179467, 4175.76923063, 4169.35897422, 4127.05128178, 4123.84615357, 4124.99999973, 4125.38461511, 4144.61538441,8.57
4125.38461511, 4125.38461511, 4127.17948691, 4125.76923050, 4125.89743562, 4101.53846119, 4122.56410229, 4124.99999973, 4138.84615364, 4129.99999973, 4126.53846126, 4123.46153819, 4128.46153819, 4146.66666646,8.57
3971.15384553, 4053.33333292, 3984.10256355, 4062.69230728, 4098.33333299, 4116.28205101, 4145.25641005, 4166.02564082, 4165.76923056, 4131.28205101, 4127.56410229, 4084.61538427, 4130.89743562, 4129.48717921,8.57
4346.41025662, 4225.12820506, 4331.41025655, 4214.99999993, 4156.41025621, 4144.23076903, 4184.48717935, 4221.28205122, 4202.17948711, 4125.38461511, 4111.92307665, 4159.23076903, 4114.48717921, 4151.66666646,8.57
