AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4117.69230742, 4120.64102537, 4120.51282024, 4088.07692273, 4123.58974332, 4072.30769196, 4068.84615343, 3991.41025586, 4073.97435863, 4125.89743562, 4120.12820485, 4118.20512793, 4125.89743562, 4187.30769217,8.57
4120.51282024, 4120.12820485, 4121.92307665, 4086.79487145, 4126.66666639, 4077.69230735, 4074.74358940, 4001.41025586, 4080.12820478, 4126.41025614, 4121.41025614, 4121.02564075, 4128.84615357, 4191.66666653,8.57
4125.89743562, 4126.28205101, 4124.61538434, 4113.46153819, 4127.82051255, 4091.92307658, 4087.82051248, 4018.84615336, 4097.94871761, 4127.69230742, 4131.28205101, 4127.69230742, 4133.71794844, 4189.10256397,8.57
4113.71794844, 4120.89743562, 4116.02564075, 4112.82051255, 4124.23076896, 4091.15384581, 4092.56410222, 4026.28205080, 4105.51282024, 4127.43589716, 4128.84615357, 4111.02564075, 4123.97435870, 4181.28205115,8.57
4128.20512793, 4127.05128178, 4132.30769203, 4082.82051248, 4126.28205101, 4067.82051241, 4072.69230735, 3998.46153791, 4076.28205094, 4127.43589716, 4122.30769203, 4129.48717921, 4131.41025614, 4197.17948704,8.57
4123.46153819, 4122.43589716, 4126.53846126, 4083.58974325, 4124.48717921, 4056.28205087, 4059.74358933, 3981.15384560, 4057.05128164, 4127.82051255, 4120.51282024, 4120.64102537, 4127.94871767, 4187.05128192,8.57
4121.53846126, 4123.84615357, 4122.43589716, 4105.76923050, 4123.33333306, 4064.35897395, 4068.46153805, 3992.30769176, 4069.35897395, 4127.94871767, 4126.02564075, 4119.23076896, 4128.46153819, 4185.51282038,8.57
4129.35897408, 4129.48717921, 4131.15384588, 4104.10256383, 4124.74358947, 4069.74358940, 4072.05128171, 3987.82051227, 4067.05128164, 4128.20512793, 4126.79487152, 4133.97435870, 4134.87179460, 4191.79487166,8.57
4118.97435870, 4117.69230742, 4121.28205101, 4098.07692273, 4121.15384588, 4070.12820478, 4067.69230728, 3973.71794817, 4054.35897395, 4128.33333306, 4122.82051255, 4119.87179460, 4125.25640998, 4183.71794858,8.57
4134.61538434, 4128.20512793, 4131.02564075, 4111.79487152, 4125.25640998, 4074.74358940, 4072.69230735, 3992.94871740, 4077.94871761, 4128.20512793, 4128.33333306, 4137.05128185, 4133.20512793, 4197.82051269,8.57
4125.64102537, 4127.56410229, 4124.48717921, 4121.41025614, 4124.48717921, 4089.23076889, 4090.25640991, 4034.74358926, 4113.20512793, 4126.53846126, 4125.89743562, 4127.17948691, 4133.71794844, 4196.92307679,8.57
4117.69230742, 4121.15384588, 4119.61538434, 4099.87179453, 4121.66666639, 4082.56410222, 4081.92307658, 4026.41025593, 4094.10256376, 4127.05128178, 4118.58974332, 4120.64102537, 4130.64102537, 4197.30769217,8.57
4133.71794844, 4128.71794844, 4131.92307665, 4085.64102530, 4128.71794844, 4062.43589702, 4058.71794830, 3991.79487124, 4069.23076882, 4131.15384588, 4120.64102537, 4141.28205108, 4137.69230749, 4200.51282038,8.57
4116.41025614, 4117.43589716, 4118.84615357, 4102.69230742, 4125.25640998, 4075.12820478, 4073.84615350, 4007.43589695, 4089.87179453, 4130.76923050, 4120.76923050, 4118.46153819, 4129.87179460, 4184.35897422,8.57
4122.17948691, 4122.43589716, 4124.23076896, 4096.66666632, 4123.07692280, 4086.02564068, 4089.10256376, 4021.15384567, 4090.25640991, 4130.76923050, 4118.71794844, 4129.74358947, 4133.20512793, 4195.89743576,8.57
4122.94871767, 4126.41025614, 4125.38461511, 4081.41025607, 4126.53846126, 4077.56410222, 4079.87179453, 4004.61538413, 4078.84615350, 4131.53846126, 4117.94871767, 4130.38461511, 4132.17948691, 4193.07692294,8.57
4112.17948691, 4119.23076896, 4120.12820485, 4098.71794837, 4123.33333306, 4077.05128171, 4074.35897402, 4003.71794817, 4091.66666632, 4128.07692280, 4121.92307665, 4111.79487152, 4127.56410229, 4181.79487166,8.57
4124.99999973, 4124.87179460, 4126.66666639, 4105.12820485, 4124.61538434, 4073.58974325, 4067.56410215, 4003.46153791, 4084.61538427, 4128.33333306, 4123.97435870, 4130.89743562, 4135.38461518, 4190.89743576,8.57
4114.99999973, 4119.48717921, 4116.15384588, 4083.97435863, 4126.79487152, 4063.20512779, 4058.46153805, 3983.20512765, 4057.94871754, 4129.61538434, 4117.56410229, 4117.17948691, 4128.07692280, 4186.15384602,8.57
4122.17948691, 4125.64102537, 4125.51282024, 4077.94871761, 4127.17948691, 4061.92307651, 4056.53846113, 3974.74358919, 4047.94871754, 4128.71794844, 4117.56410229, 4120.89743562, 4129.48717921, 4192.69230756,8.57
4127.17948691, 4126.53846126, 4127.43589716, 4092.05128171, 4124.87179460, 4074.87179453, 4068.20512779, 3993.71794817, 4056.28205087, 4127.30769203, 4117.82051255, 4124.10256383, 4129.61538434, 4187.43589730,8.57
4118.07692280, 4119.87179460, 4119.87179460, 4103.58974332, 4123.46153819, 4089.10256376, 4084.87179453, 4019.35897388, 4082.05128171, 4128.46153819, 4119.10256383, 4111.79487152, 4124.87179460, 4181.92307679,8.57
4130.25640998, 4130.25640998, 4132.94871767, 4096.79487145, 4129.48717921, 4081.79487145, 4079.99999966, 4016.53846106, 4094.48717914, 4130.12820485, 4123.71794844, 4130.25640998, 4132.69230742, 4192.05128192,8.57
4116.28205101, 4119.48717921, 4120.89743562, 4079.23076889, 4125.51282024, 4067.94871754, 4065.76923036, 4004.10256362, 4084.74358940, 4127.43589716, 4118.33333306, 4116.15384588, 4125.51282024, 4180.76923063,8.57
4121.28205101, 4122.05128178, 4126.02564075, 4081.53846119, 4121.28205101, 4075.64102530, 4076.53846119, 4025.25640977, 4096.92307658, 4128.84615357, 4119.10256383, 4121.66666639, 4131.79487152, 4191.66666653,8.57
4132.17948691, 4129.99999973, 4133.58974332, 4097.82051248, 4126.02564075, 4092.17948684, 4097.82051248, 4052.05128164, 4119.48717921, 4132.43589716, 4122.56410229, 4131.66666639, 4138.33333313, 4195.51282038,8.57
4118.71794844, 4117.56410229, 4117.56410229, 4091.53846119, 4124.99999973, 4087.43589709, 4088.07692273, 4029.61538413, 4099.23076889, 4131.02564075, 4122.30769203, 4118.07692280, 4127.69230742, 4184.61538448,8.57
4129.87179460, 4128.33333306, 4130.64102537, 4075.12820478, 4125.38461511, 4068.46153805, 4059.23076882, 3987.17948663, 4056.15384574, 4127.56410229, 4124.23076896, 4138.07692287, 4136.28205108, 4199.10256397,8.57
4120.25640998, 4124.74358947, 4125.12820485, 4083.20512786, 4123.84615357, 4078.97435863, 4067.17948677, 3993.97435842, 4061.28205087, 4125.25640998, 4121.02564075, 4122.82051255, 4135.38461518, 4190.76923063,8.57
4123.33333306, 4123.33333306, 4121.02564075, 4097.05128171, 4122.56410229, 4100.89743555, 4089.48717914, 4014.48717900, 4086.79487145, 4129.10256383, 4122.69230742, 4122.05128178, 4132.30769203, 4189.23076910,8.57
4130.89743562, 4131.66666639, 4131.41025614, 4093.46153812, 4125.25640998, 4099.10256376, 4086.28205094, 4009.23076875, 4086.02564068, 4132.05128178, 4125.51282024, 4138.84615364, 4134.23076896, 4195.12820499,8.57
4106.66666639, 4116.92307665, 4118.97435870, 4091.79487145, 4121.28205101, 4091.92307658, 4080.51282017, 4013.84615336, 4087.05128171, 4128.33333306, 4122.05128178, 4118.46153819, 4128.46153819, 4188.97435884,8.57
4125.12820485, 4122.69230742, 4123.20512793, 4093.07692273, 4124.87179460, 4091.15384581, 4083.58974325, 4027.69230721, 4096.28205094, 4127.82051255, 4123.33333306, 4135.38461518, 4136.66666646, 4200.64102551,8.57
