AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4123.20512793, 4125.89743562, 4126.92307665, 4002.05128150, 4123.46153819, 4153.71794851, 4176.28205115, 4193.20512807, 4189.10256397, 4124.87179460, 4105.76923050, 4127.69230742, 4132.30769203, 4193.07692294,8.57
4126.92307665, 4129.10256383, 4127.69230742, 4008.58974311, 4123.46153819, 4161.53846133, 4171.53846140, 4179.99999986, 4173.33333320, 4125.51282024, 4108.84615357, 4131.15384588, 4132.82051255, 4190.38461525,8.57
4123.07692280, 4128.20512793, 4126.53846126, 4019.10256362, 4123.20512793, 4172.69230756, 4173.84615371, 4181.79487166, 4179.35897422, 4127.30769203, 4107.94871767, 4119.74358947, 4129.10256383, 4184.35897422,8.57
4126.92307665, 4125.12820485, 4129.10256383, 4040.12820472, 4124.61538434, 4181.66666653, 4187.05128192, 4193.58974345, 4199.99999986, 4127.05128178, 4110.64102537, 4128.20512793, 4134.10256383, 4189.10256397,8.57
4130.25640998, 4127.05128178, 4127.43589716, 4030.89743541, 4123.58974332, 4159.23076903, 4172.82051269, 4161.15384595, 4159.10256390, 4126.41025614, 4108.97435870, 4129.74358947, 4132.69230742, 4186.41025628,8.57
4123.20512793, 4124.99999973, 4124.23076896, 3987.56410201, 4121.79487152, 4117.82051255, 4127.43589716, 4103.71794844, 4093.07692273, 4128.46153819, 4107.43589716, 4128.97435870, 4132.94871767, 4190.51282038,8.57
4124.61538434, 4128.33333306, 4126.92307665, 4000.64102509, 4123.07692280, 4136.15384595, 4133.07692280, 4109.87179460, 4104.99999973, 4129.99999973, 4108.71794844, 4132.69230742, 4133.33333306, 4193.97435884,8.57
4126.79487152, 4126.79487152, 4123.97435870, 4050.89743548, 4122.05128178, 4176.02564089, 4181.41025628, 4164.74358954, 4161.02564082, 4126.92307665, 4110.25640998, 4126.41025614, 4129.99999973, 4188.58974345,8.57
4125.12820485, 4123.84615357, 4121.02564075, 4040.64102523, 4119.10256383, 4154.10256390, 4184.23076910, 4185.12820499, 4174.35897422, 4125.89743562, 4110.38461511, 4130.89743562, 4132.69230742, 4191.28205115,8.57
4125.51282024, 4127.05128178, 4121.02564075, 4008.33333285, 4121.79487152, 4124.23076896, 4154.10256390, 4165.12820492, 4148.58974339, 4127.94871767, 4105.64102537, 4129.87179460, 4132.94871767, 4192.94871781,8.57
4124.61538434, 4126.02564075, 4121.53846126, 4033.97435849, 4122.05128178, 4154.35897415, 4164.35897415, 4169.87179474, 4156.92307672, 4128.84615357, 4108.97435870, 4126.66666639, 4131.92307665, 4190.64102551,8.57
4124.61538434, 4127.17948691, 4125.12820485, 4064.10256369, 4119.35897408, 4180.12820499, 4185.64102551, 4191.41025628, 4185.25641012, 4128.07692280, 4115.38461511, 4132.82051255, 4135.38461518, 4194.10256397,8.57
4117.30769203, 4123.33333306, 4120.51282024, 4039.74358933, 4122.82051255, 4142.17948697, 4155.51282031, 4166.92307672, 4152.05128185, 4128.33333306, 4110.51282024, 4124.35897408, 4131.92307665, 4195.76923063,8.57
4117.69230742, 4120.25640998, 4119.61538434, 4020.76923029, 4122.43589716, 4114.23076896, 4129.48717921, 4136.92307672, 4107.82051255, 4128.84615357, 4109.74358947, 4125.89743562, 4130.89743562, 4194.48717935,8.57
4124.74358947, 4125.25640998, 4124.48717921, 4049.10256369, 4118.46153819, 4149.87179467, 4164.35897415, 4169.61538448, 4146.28205108, 4128.20512793, 4111.53846126, 4131.53846126, 4133.97435870, 4191.92307679,8.57
4120.12820485, 4123.97435870, 4119.99999973, 4079.74358940, 4120.25640998, 4179.10256397, 4200.12820499, 4210.12820506, 4192.69230756, 4127.94871767, 4107.17948691, 4122.69230742, 4130.25640998, 4192.43589730,8.57
4121.53846126, 4124.99999973, 4120.25640998, 4061.02564061, 4122.30769203, 4147.05128185, 4169.87179474, 4177.82051269, 4155.76923056, 4128.07692280, 4107.30769203, 4127.05128178, 4131.28205101, 4197.69230756,8.57
4122.43589716, 4125.89743562, 4121.79487152, 4021.66666618, 4120.38461511, 4107.43589716, 4118.07692280, 4120.51282024, 4115.51282024, 4128.07692280, 4106.41025614, 4124.35897408, 4133.20512793, 4190.51282038,8.57
4120.89743562, 4123.84615357, 4121.41025614, 4015.89743541, 4120.76923050, 4105.25640998, 4115.76923050, 4116.15384588, 4128.58974332, 4127.82051255, 4104.10256383, 4118.84615357, 4130.89743562, 4186.28205115,8.57
4121.28205101, 4124.99999973, 4121.79487152, 4040.76923036, 4124.23076896, 4128.84615357, 4152.94871774, 4160.64102544, 4150.64102544, 4127.82051255, 4105.51282024, 4126.53846126, 4129.35897408, 4193.07692294,8.57
4115.76923050, 4125.12820485, 4120.89743562, 4056.15384574, 4125.64102537, 4146.66666646, 4168.20512807, 4186.41025628, 4150.89743569, 4127.69230742, 4104.99999973, 4121.15384588, 4128.58974332, 4188.46153833,8.57
4119.61538434, 4126.41025614, 4125.38461511, 4037.69230728, 4124.61538434, 4119.87179460, 4135.38461518, 4154.61538441, 4134.61538434, 4126.28205101, 4105.51282024, 4120.76923050, 4135.25640998, 4187.69230756,8.57
