AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4125.64102537, 4120.25640998, 4122.30769203, 4266.41025641, 4124.74358947, 4128.71794844, 4115.64102537, 4100.89743555, 4149.74358954, 4131.92307665, 4141.02564082, 4128.33333306, 4130.64102537, 4187.43589730,8.57
4123.84615357, 4120.76923050, 4121.02564075, 4238.20512821, 4125.38461511, 4119.48717921, 4104.35897408, 4089.35897402, 4125.51282024, 4130.51282024, 4140.12820492, 4128.33333306, 4133.33333306, 4191.66666653,8.57
4127.43589716, 4126.79487152, 4121.15384588, 4251.02564103, 4127.43589716, 4126.66666639, 4122.69230742, 4107.30769203, 4144.99999980, 4125.64102537, 4143.33333313, 4135.89743569, 4134.23076896, 4195.25641012,8.57
4118.07692280, 4119.87179460, 4116.92307665, 4268.33333341, 4126.66666639, 4152.69230749, 4148.20512800, 4138.84615364, 4174.10256397, 4126.53846126, 4140.76923056, 4120.76923050, 4127.43589716, 4189.74358961,8.57
4122.56410229, 4121.79487152, 4127.17948691, 4255.64102564, 4125.64102537, 4150.89743569, 4137.43589723, 4131.53846126, 4167.05128185, 4129.61538434, 4141.15384595, 4131.66666639, 4135.76923056, 4195.38461525,8.57
4120.25640998, 4123.97435870, 4120.25640998, 4247.30769231, 4128.07692280, 4132.43589716, 4117.94871767, 4109.35897408, 4161.66666646, 4128.07692280, 4141.53846133, 4128.33333306, 4134.48717921, 4188.58974345,8.57
4117.56410229, 4120.89743562, 4114.35897408, 4253.20512821, 4127.82051255, 4135.25640998, 4116.92307665, 4104.87179460, 4168.84615371, 4126.92307665, 4141.28205108, 4119.35897408, 4129.48717921, 4187.94871781,8.57
4122.30769203, 4122.05128178, 4121.66666639, 4271.02564110, 4126.79487152, 4158.46153826, 4134.23076896, 4116.02564075, 4178.71794858, 4127.82051255, 4142.69230749, 4123.58974332, 4134.61538434, 4192.43589730,8.57
4113.46153819, 4117.82051255, 4118.33333306, 4280.64102571, 4126.15384588, 4162.17948697, 4143.71794851, 4124.35897408, 4182.05128192, 4127.17948691, 4142.94871774, 4112.30769203, 4129.99999973, 4182.94871781,8.57
4121.41025614, 4122.82051255, 4123.84615357, 4256.15384616, 4126.79487152, 4137.05128185, 4122.05128178, 4107.30769203, 4153.33333313, 4127.82051255, 4143.07692287, 4122.56410229, 4128.71794844, 4185.76923063,8.57
4122.82051255, 4125.38461511, 4122.56410229, 4254.10256411, 4128.07692280, 4143.58974339, 4117.43589716, 4096.53846119, 4142.43589723, 4128.84615357, 4139.74358954, 4116.66666639, 4126.02564075, 4181.92307679,8.57
4117.05128178, 4120.64102537, 4121.02564075, 4291.53846161, 4125.76923050, 4175.64102551, 4142.30769210, 4111.92307665, 4169.74358961, 4126.41025614, 4140.64102544, 4109.99999973, 4125.38461511, 4180.64102551,8.57
4124.48717921, 4124.23076896, 4129.99999973, 4298.46153853, 4122.69230742, 4172.43589730, 4153.46153826, 4134.87179460, 4185.64102551, 4126.92307665, 4144.87179467, 4129.10256383, 4132.94871767, 4188.20512807,8.57
4119.23076896, 4121.79487152, 4124.61538434, 4272.05128212, 4123.46153819, 4146.66666646, 4142.05128185, 4137.69230749, 4181.53846140, 4129.99999973, 4144.87179467, 4118.97435870, 4129.74358947, 4179.48717935,8.57
4121.02564075, 4122.43589716, 4127.30769203, 4264.74358975, 4127.56410229, 4158.71794851, 4137.69230749, 4122.69230742, 4183.33333320, 4130.12820485, 4148.07692287, 4121.66666639, 4132.05128178, 4182.17948704,8.57
4122.94871767, 4125.76923050, 4129.87179460, 4264.87179488, 4129.61538434, 4184.61538448, 4137.94871774, 4113.20512793, 4181.41025628, 4127.30769203, 4147.94871774, 4124.35897408, 4130.76923050, 4182.56410243,8.57
