AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4045.12820472, 4058.97435856, 4047.94871754, 4036.15384567, 4023.46153798, 4048.97435856, 4041.41025600, 4058.07692266, 4067.56410215, 4022.05128157, 4042.43589702, 4043.84615343, 4059.99999959, 4124.48717921,10.0
4046.28205087, 4056.92307651, 4046.92307651, 4038.20512779, 4042.94871754, 4059.99999959, 4049.74358933, 4059.61538420, 4067.05128164, 4019.87179439, 4047.43589702, 4044.10256369, 4068.07692266, 4122.69230742,10.0
4059.35897395, 4067.30769189, 4059.99999959, 4050.89743548, 4048.07692266, 4063.33333292, 4058.58974318, 4068.58974318, 4079.10256376, 4028.46153798, 4048.84615343, 4053.58974318, 4072.17948684, 4127.43589716,10.0
4055.64102523, 4069.10256369, 4057.69230728, 4046.66666625, 4027.17948670, 4051.53846113, 4048.46153805, 4063.20512779, 4071.66666632, 4026.66666618, 4032.82051234, 4046.92307651, 4052.69230728, 4121.53846126,10.0
4045.51282010, 4058.07692266, 4040.89743548, 4035.51282003, 4042.05128164, 4055.51282010, 4049.23076882, 4067.43589702, 4063.33333292, 4018.71794824, 4026.02564054, 4039.23076882, 4044.61538420, 4128.20512793,10.0
4047.05128164, 4055.51282010, 4042.30769189, 4038.71794830, 4056.15384574, 4062.69230728, 4055.76923036, 4074.74358940, 4066.15384574, 4018.84615336, 4037.82051241, 4044.99999959, 4056.92307651, 4127.43589716,10.0
4053.97435856, 4062.43589702, 4056.02564061, 4046.53846113, 4032.43589695, 4056.66666625, 4052.17948677, 4064.23076882, 4063.58974318, 4022.05128157, 4046.41025600, 4055.51282010, 4059.61538420, 4121.66666639,10.0
4048.20512779, 4055.64102523, 4048.33333292, 4038.20512779, 4026.92307644, 4050.25640984, 4044.48717907, 4050.89743548, 4043.33333292, 4012.56410208, 4035.25640977, 4050.76923036, 4044.87179446, 4132.56410229,10.0
4033.07692259, 4044.61538420, 4031.79487131, 4023.33333285, 4042.69230728, 4045.89743548, 4035.38461490, 4047.17948677, 4030.12820465, 3994.61538406, 4020.76923029, 4033.58974311, 4033.07692259, 4124.35897408,10.0
4036.02564054, 4047.43589702, 4037.94871754, 4026.28205080, 4043.71794830, 4041.66666625, 4032.05128157, 4048.71794830, 4038.71794830, 3993.97435842, 4027.17948670, 4036.02564054, 4040.38461497, 4117.82051255,10.0
4049.61538420, 4053.97435856, 4051.79487138, 4037.82051241, 4040.38461497, 4045.12820472, 4041.28205087, 4055.51282010, 4052.82051241, 4014.74358926, 4042.69230728, 4052.43589702, 4051.79487138, 4128.07692280,10.0
4052.56410215, 4063.71794830, 4056.28205087, 4045.64102523, 4038.20512779, 4056.66666625, 4055.25640984, 4066.28205087, 4067.82051241, 4030.38461490, 4050.12820472, 4058.97435856, 4055.89743548, 4130.76923050,10.0
