AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4147.43589723, 4156.28205108, 4180.64102551, 3909.87179418, 4142.30769210, 4129.10256383, 4130.12820485, 4138.20512800, 4142.69230749, 4147.17948697, 4168.07692287, 4153.20512800, 4150.51282031, 4126.15384588,12.0
4111.92307665, 4121.66666639, 4141.79487159, 3834.74358884, 4105.76923050, 4092.43589709, 4087.30769196, 4100.64102530, 4115.38461511, 4108.20512793, 4123.58974332, 4118.20512793, 4114.99999973, 4127.17948691,12.0
4123.20512793, 4133.07692280, 4156.66666646, 3838.84615295, 4118.07692280, 4100.12820478, 4100.38461504, 4114.99999973, 4126.53846126, 4119.48717921, 4132.17948691, 4129.48717921, 4129.23076896, 4124.10256383,12.0
4143.33333313, 4150.76923056, 4180.51282038, 3850.76922994, 4140.38461518, 4123.84615357, 4127.30769203, 4138.33333313, 4142.43589723, 4135.89743569, 4152.30769210, 4151.92307672, 4145.12820492, 4123.46153819,12.0
4130.38461511, 4134.87179460, 4169.35897422, 3831.66666577, 4131.02564075, 4119.99999973, 4119.10256383, 4127.94871767, 4129.10256383, 4120.12820485, 4141.79487159, 4141.92307672, 4129.61538434, 4126.53846126,12.0
4124.23076896, 4126.66666639, 4165.38461518, 3818.84615295, 4122.17948691, 4108.46153819, 4110.64102537, 4121.92307665, 4121.66666639, 4112.17948691, 4131.15384588, 4134.10256383, 4124.99999973, 4125.76923050,12.0
4148.58974339, 4155.76923056, 4193.84615371, 3833.71794782, 4139.74358954, 4118.20512793, 4129.23076896, 4141.02564082, 4137.17948697, 4135.12820485, 4144.87179467, 4153.71794851, 4144.23076903, 4123.20512793,12.0
4147.05128185, 4159.74358954, 4192.82051269, 3825.76922987, 4140.51282031, 4122.17948691, 4129.61538434, 4138.20512800, 4134.48717921, 4134.35897408, 4138.20512800, 4150.25641005, 4137.30769210, 4122.30769203,12.0
4128.71794844, 4138.07692287, 4168.07692287, 3803.07692211, 4122.30769203, 4112.30769203, 4111.02564075, 4123.33333306, 4124.61538434, 4119.10256383, 4122.43589716, 4132.56410229, 4124.87179460, 4123.07692280,12.0
4130.38461511, 4133.84615357, 4165.12820492, 3802.43589647, 4112.69230742, 4101.92307658, 4101.28205094, 4123.46153819, 4131.15384588, 4121.15384588, 4128.33333306, 4138.07692287, 4134.99999973, 4125.12820485,12.0
4132.82051255, 4134.23076896, 4166.53846133, 3804.74358877, 4111.53846126, 4102.56410229, 4102.30769196, 4123.97435870, 4132.05128178, 4121.66666639, 4132.05128178, 4139.48717928, 4137.69230749, 4127.82051255,12.0
4136.15384595, 4141.02564082, 4171.53846140, 3805.12820416, 4124.61538434, 4119.99999973, 4119.87179460, 4129.74358947, 4133.58974332, 4130.76923050, 4139.35897415, 4141.79487159, 4139.23076903, 4127.82051255,12.0
4136.66666646, 4143.46153826, 4174.74358961, 3797.94871698, 4132.94871767, 4126.02564075, 4127.43589716, 4132.43589716, 4140.51282031, 4139.74358954, 4146.92307672, 4147.94871774, 4138.46153826, 4125.89743562,12.0
4124.48717921, 4129.48717921, 4161.79487159, 3764.35897332, 4119.87179460, 4108.97435870, 4108.20512793, 4121.53846126, 4136.41025621, 4127.17948691, 4135.12820485, 4136.66666646, 4129.10256383, 4126.92307665,12.0
