AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4094.99999966, 4092.94871761, 4035.89743541, 4070.76923043, 4109.23076896, 4097.94871761, 4098.84615350, 4118.84615357, 4112.82051255, 4130.25640998, 4122.94871767, 4118.07692280, 4110.38461511, 4138.58974339,10.0
4111.79487152, 4097.56410222, 4049.61538420, 4073.33333299, 4125.51282024, 4112.69230742, 4114.99999973, 4125.51282024, 4115.51282024, 4130.51282024, 4138.20512800, 4137.05128185, 4117.94871767, 4139.10256390,10.0
4113.58974332, 4093.71794837, 4045.38461497, 4064.48717907, 4124.35897408, 4112.56410229, 4120.64102537, 4124.61538434, 4113.97435870, 4127.94871767, 4145.76923056, 4141.02564082, 4124.99999973, 4132.94871767,10.0
4113.58974332, 4099.23076889, 4042.56410215, 4056.92307651, 4113.71794844, 4101.79487145, 4112.43589716, 4124.35897408, 4117.56410229, 4128.07692280, 4146.41025621, 4140.38461518, 4129.23076896, 4132.56410229,10.0
4129.23076896, 4111.28205101, 4057.43589702, 4063.46153805, 4120.12820485, 4104.99999973, 4116.92307665, 4140.51282031, 4128.97435870, 4137.30769210, 4154.99999980, 4149.35897415, 4138.97435877, 4137.17948697,10.0
4132.05128178, 4106.92307665, 4056.53846113, 4065.38461497, 4121.41025614, 4109.10256383, 4122.94871767, 4150.64102544, 4132.17948691, 4143.97435877, 4159.23076903, 4148.20512800, 4141.66666646, 4135.76923056,10.0
4116.66666639, 4095.64102530, 4044.23076882, 4054.10256369, 4114.35897408, 4100.89743555, 4113.33333306, 4140.76923056, 4124.99999973, 4137.69230749, 4147.82051262, 4136.02564082, 4130.64102537, 4132.30769203,10.0
4112.82051255, 4096.53846119, 4050.89743548, 4054.23076882, 4116.53846126, 4099.35897402, 4109.61538434, 4131.66666639, 4122.94871767, 4132.05128178, 4141.92307672, 4136.15384595, 4124.74358947, 4132.56410229,10.0
4113.46153819, 4102.43589709, 4055.64102523, 4062.05128164, 4117.17948691, 4105.12820485, 4114.99999973, 4128.33333306, 4118.33333306, 4131.41025614, 4140.89743569, 4140.25641005, 4122.56410229, 4132.56410229,10.0
4105.76923050, 4099.99999966, 4047.69230728, 4060.12820472, 4108.07692280, 4101.92307658, 4109.87179460, 4120.89743562, 4109.87179460, 4128.71794844, 4133.84615357, 4135.64102544, 4116.41025614, 4134.61538434,10.0
4109.87179460, 4098.84615350, 4050.38461497, 4062.17948677, 4113.97435870, 4100.64102530, 4110.25640998, 4120.51282024, 4113.33333306, 4131.66666639, 4134.61538434, 4133.84615357, 4117.43589716, 4136.79487159,10.0
4117.05128178, 4104.74358947, 4056.66666625, 4071.41025607, 4125.89743562, 4111.02564075, 4121.79487152, 4122.94871767, 4115.38461511, 4135.89743569, 4135.76923056, 4134.99999973, 4119.48717921, 4135.76923056,10.0
4117.43589716, 4116.28205101, 4061.28205087, 4077.82051248, 4122.30769203, 4113.84615357, 4116.92307665, 4118.58974332, 4110.25640998, 4138.84615364, 4131.66666639, 4137.05128185, 4115.12820485, 4136.79487159,10.0
4119.48717921, 4121.66666639, 4069.23076882, 4078.97435863, 4116.79487152, 4104.10256383, 4102.82051255, 4118.71794844, 4118.58974332, 4142.43589723, 4128.58974332, 4141.79487159, 4111.92307665, 4137.82051262,10.0
4111.15384588, 4107.17948691, 4059.48717907, 4070.76923043, 4112.94871767, 4092.56410222, 4100.38461504, 4121.79487152, 4122.43589716, 4132.94871767, 4119.48717921, 4135.76923056, 4104.74358947, 4136.02564082,10.0
4097.94871761, 4092.82051248, 4048.20512779, 4064.35897395, 4106.92307665, 4088.33333299, 4099.87179453, 4114.74358947, 4104.87179460, 4117.17948691, 4114.35897408, 4124.87179460, 4093.07692273, 4135.38461518,10.0
4108.46153819, 4105.38461511, 4065.89743548, 4076.02564068, 4107.56410229, 4096.28205094, 4102.56410229, 4112.17948691, 4099.48717914, 4118.71794844, 4125.89743562, 4132.17948691, 4097.30769196, 4134.99999973,10.0
