AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4142.17948697, 4145.12820492, 4141.53846133, 4171.41025628, 4138.97435877, 4133.84615357, 4152.43589723, 4138.07692287, 4125.38461511, 4126.41025614, 4124.10256383, 4141.92307672, 4135.25640998, 4127.56410229,10.0
4152.82051262, 4156.28205108, 4156.53846133, 4181.28205115, 4159.87179467, 4144.74358954, 4164.23076903, 4149.61538441, 4142.43589723, 4141.02564082, 4139.48717928, 4156.53846133, 4151.66666646, 4125.12820485,10.0
4121.41025614, 4125.51282024, 4123.33333306, 4149.48717928, 4135.12820485, 4128.58974332, 4134.23076896, 4122.94871767, 4117.17948691, 4119.48717921, 4115.51282024, 4125.76923050, 4129.74358947, 4126.15384588,10.0
4097.94871761, 4101.28205094, 4093.46153812, 4120.89743562, 4099.61538427, 4112.17948691, 4112.30769203, 4105.25640998, 4097.05128171, 4099.10256376, 4089.10256376, 4096.41025607, 4103.46153819, 4129.10256383,10.0
4105.25640998, 4106.15384588, 4100.64102530, 4127.30769203, 4111.41025614, 4119.61538434, 4119.87179460, 4114.48717921, 4106.15384588, 4105.89743562, 4092.43589709, 4101.41025607, 4111.41025614, 4127.69230742,10.0
4101.53846119, 4104.48717921, 4101.02564068, 4128.07692280, 4122.56410229, 4118.71794844, 4106.28205101, 4106.53846126, 4102.82051255, 4104.48717921, 4091.41025607, 4099.35897402, 4115.12820485, 4127.30769203,10.0
4090.51282017, 4097.17948684, 4091.79487145, 4117.17948691, 4107.69230742, 4102.17948684, 4081.66666632, 4092.43589709, 4089.74358940, 4097.30769196, 4085.76923043, 4090.38461504, 4105.25640998, 4129.23076896,10.0
4105.64102537, 4109.61538434, 4107.82051255, 4127.82051255, 4114.99999973, 4105.38461511, 4097.05128171, 4105.76923050, 4099.87179453, 4107.69230742, 4098.84615350, 4106.28205101, 4114.48717921, 4128.20512793,10.0
4118.84615357, 4120.25640998, 4121.41025614, 4137.30769210, 4130.64102537, 4119.10256383, 4119.23076896, 4116.53846126, 4109.87179460, 4112.56410229, 4104.35897408, 4117.69230742, 4119.48717921, 4126.66666639,10.0
4108.46153819, 4113.58974332, 4107.30769203, 4126.41025614, 4119.61538434, 4116.02564075, 4116.41025614, 4111.41025614, 4103.07692280, 4105.64102537, 4092.82051248, 4103.07692280, 4106.28205101, 4127.94871767,10.0
4110.25640998, 4121.66666639, 4108.58974332, 4130.51282024, 4123.33333306, 4115.64102537, 4127.82051255, 4118.97435870, 4112.43589716, 4118.20512793, 4101.28205094, 4105.76923050, 4115.51282024, 4128.33333306,10.0
4117.30769203, 4135.25640998, 4123.46153819, 4143.33333313, 4142.56410236, 4122.30769203, 4135.89743569, 4120.76923050, 4126.28205101, 4131.92307665, 4115.51282024, 4121.66666639, 4129.35897408, 4125.89743562,10.0
4110.89743562, 4130.89743562, 4120.89743562, 4141.92307672, 4140.38461518, 4125.12820485, 4125.38461511, 4118.46153819, 4124.23076896, 4123.71794844, 4112.43589716, 4118.46153819, 4120.12820485, 4125.76923050,10.0
4108.46153819, 4124.35897408, 4119.23076896, 4139.61538441, 4129.99999973, 4126.53846126, 4125.38461511, 4124.99999973, 4119.10256383, 4117.69230742, 4107.56410229, 4112.94871767, 4113.58974332, 4128.33333306,10.0
4107.82051255, 4121.79487152, 4123.46153819, 4139.99999980, 4120.64102537, 4114.35897408, 4112.94871767, 4108.46153819, 4103.84615357, 4110.12820485, 4101.92307658, 4112.82051255, 4113.97435870, 4128.20512793,10.0
4115.64102537, 4131.53846126, 4136.15384595, 4152.56410236, 4124.10256383, 4110.51282024, 4111.92307665, 4099.99999966, 4099.87179453, 4106.41025614, 4111.66666639, 4128.58974332, 4121.02564075, 4125.25640998,10.0
4135.76923056, 4152.82051262, 4169.61538448, 4179.61538448, 4141.79487159, 4130.25640998, 4144.35897415, 4132.94871767, 4127.94871767, 4130.89743562, 4149.61538441, 4170.76923063, 4144.10256390, 4125.64102537,10.0
4141.79487159, 4156.53846133, 4194.10256397, 4185.12820499, 4138.33333313, 4127.82051255, 4134.99999973, 4136.15384595, 4133.46153819, 4144.99999980, 4174.61538448, 4197.56410243, 4152.56410236, 4126.28205101,10.0
