AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4110.64102537, 4108.71794844, 4115.51282024, 4090.25640991, 4106.41025614, 4116.66666639, 4107.56410229, 4112.94871767, 4123.07692280, 4121.66666639, 4124.23076896, 4127.56410229, 4109.35897408, 4125.12820485,10.0
4115.51282024, 4112.43589716, 4124.61538434, 4097.56410222, 4107.56410229, 4113.71794844, 4112.43589716, 4106.53846126, 4113.84615357, 4126.92307665, 4131.02564075, 4138.07692287, 4114.61538434, 4126.41025614,10.0
4103.97435870, 4104.87179460, 4109.48717921, 4086.28205094, 4098.20512786, 4099.10256376, 4107.05128178, 4097.43589709, 4105.51282024, 4109.48717921, 4112.94871767, 4123.33333306, 4103.97435870, 4127.17948691,10.0
4094.23076889, 4102.05128171, 4100.25640991, 4083.46153812, 4102.17948684, 4101.15384581, 4101.15384581, 4092.30769196, 4091.15384581, 4088.84615350, 4102.94871767, 4119.10256383, 4097.17948684, 4128.97435870,10.0
4106.41025614, 4113.33333306, 4121.02564075, 4098.58974325, 4115.12820485, 4108.20512793, 4103.20512793, 4102.94871767, 4100.64102530, 4099.99999966, 4127.05128178, 4148.20512800, 4109.74358947, 4127.82051255,10.0
4108.20512793, 4110.64102537, 4121.79487152, 4094.35897402, 4099.61538427, 4092.30769196, 4095.38461504, 4101.28205094, 4107.69230742, 4105.76923050, 4131.53846126, 4153.20512800, 4106.66666639, 4122.94871767,10.0
4091.28205094, 4094.23076889, 4096.28205094, 4078.46153812, 4078.58974325, 4083.58974325, 4080.89743555, 4086.79487145, 4086.02564068, 4088.20512786, 4107.17948691, 4128.46153819, 4090.25640991, 4123.71794844,10.0
4094.48717914, 4099.61538427, 4100.38461504, 4084.99999966, 4093.46153812, 4107.43589716, 4096.41025607, 4100.89743555, 4093.84615350, 4097.94871761, 4112.69230742, 4130.76923050, 4100.89743555, 4125.25640998,10.0
4117.69230742, 4122.56410229, 4124.61538434, 4098.71794837, 4117.17948691, 4126.41025614, 4127.94871767, 4128.84615357, 4129.87179460, 4128.33333306, 4134.48717921, 4153.07692287, 4120.38461511, 4123.20512793,10.0
4120.89743562, 4125.12820485, 4119.35897408, 4095.38461504, 4115.25640998, 4116.15384588, 4124.74358947, 4123.07692280, 4129.87179460, 4129.74358947, 4127.30769203, 4148.07692287, 4113.20512793, 4124.61538434,10.0
4100.12820478, 4108.71794844, 4095.25640991, 4083.20512786, 4096.66666632, 4101.53846119, 4100.38461504, 4103.84615357, 4108.46153819, 4111.66666639, 4106.41025614, 4123.46153819, 4095.89743555, 4126.15384588,10.0
4093.97435863, 4105.51282024, 4096.92307658, 4083.97435863, 4098.71794837, 4103.58974332, 4105.51282024, 4107.94871767, 4109.23076896, 4111.41025614, 4108.46153819, 4124.10256383, 4100.64102530, 4126.41025614,10.0
4098.33333299, 4110.38461511, 4108.20512793, 4088.84615350, 4106.41025614, 4104.23076896, 4113.58974332, 4108.20512793, 4107.43589716, 4114.10256383, 4122.56410229, 4139.87179467, 4112.82051255, 4128.97435870,10.0
4096.66666632, 4109.99999973, 4106.15384588, 4089.10256376, 4095.76923043, 4098.71794837, 4104.87179460, 4104.87179460, 4105.25640998, 4110.51282024, 4125.76923050, 4142.82051262, 4114.48717921, 4129.87179460,10.0
