AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4070.64102530, 4108.97435870, 4123.97435870, 4013.07692259, 4122.05128178, 4140.76923056, 4132.17948691, 4095.89743555, 4167.56410236, 4130.12820485, 3779.99999903, 4122.17948691, 4121.41025614, 4151.92307672,12.0
4069.48717907, 4111.41025614, 4129.10256383, 4013.58974311, 4123.33333306, 4138.71794851, 4127.82051255, 4105.25640998, 4180.12820499, 4131.02564075, 3785.64102467, 4131.79487152, 4121.28205101, 4150.64102544,12.0
4073.07692273, 4101.02564068, 4124.48717921, 4005.38461490, 4122.94871767, 4135.89743569, 4118.58974332, 4102.56410229, 4178.33333320, 4130.89743562, 3780.51281954, 4128.97435870, 4121.41025614, 4149.35897415,12.0
4073.20512786, 4097.94871761, 4120.89743562, 4009.87179439, 4123.20512793, 4137.82051262, 4115.76923050, 4093.97435863, 4167.30769210, 4130.89743562, 3774.99999903, 4118.20512793, 4121.53846126, 4151.92307672,12.0
4071.02564068, 4096.28205094, 4113.97435870, 4008.20512772, 4122.94871767, 4132.43589716, 4111.15384588, 4081.02564068, 4149.23076903, 4131.02564075, 3770.25640922, 4103.84615357, 4120.64102537, 4149.48717928,12.0
4070.64102530, 4093.97435863, 4111.41025614, 3998.58974304, 4121.66666639, 4128.58974332, 4112.05128178, 4076.79487145, 4143.58974339, 4131.15384588, 3770.64102460, 4102.82051255, 4118.84615357, 4150.25641005,12.0
4071.66666632, 4099.99999966, 4123.07692280, 4004.74358926, 4121.41025614, 4133.46153819, 4121.92307665, 4086.66666632, 4150.89743569, 4131.53846126, 3778.46153749, 4120.64102537, 4119.35897408, 4151.92307672,12.0
4069.61538420, 4103.58974332, 4127.56410229, 4016.53846106, 4119.99999973, 4139.35897415, 4122.56410229, 4091.66666632, 4152.56410236, 4129.99999973, 3781.28205031, 4127.69230742, 4119.99999973, 4149.87179467,12.0
4067.82051241, 4096.28205094, 4116.15384588, 4009.87179439, 4122.82051255, 4142.30769210, 4119.74358947, 4094.99999966, 4156.92307672, 4130.51282024, 3778.46153749, 4111.02564075, 4119.48717921, 4150.25641005,12.0
4070.12820478, 4097.69230735, 4112.82051255, 4002.43589688, 4123.84615357, 4142.56410236, 4121.92307665, 4100.89743555, 4167.69230749, 4133.20512793, 3779.35897339, 4102.30769196, 4120.25640998, 4151.53846133,12.0
4071.53846119, 4107.30769203, 4122.82051255, 4013.71794824, 4120.76923050, 4141.15384595, 4116.15384588, 4098.20512786, 4162.43589723, 4125.12820485, 3778.46153749, 4110.51282024, 4121.02564075, 4141.02564082,12.0
4071.41025607, 4101.15384581, 4121.92307665, 4018.07692259, 4120.25640998, 4136.79487159, 4105.76923050, 4095.38461504, 4150.38461518, 4118.84615357, 3776.41025544, 4113.46153819, 4120.64102537, 4136.28205108,12.0
4070.89743555, 4098.07692273, 4121.15384588, 4014.74358926, 4120.38461511, 4137.69230749, 4108.97435870, 4104.74358947, 4161.79487159, 4130.64102537, 3786.92307595, 4121.66666639, 4119.99999973, 4150.64102544,12.0
4069.87179453, 4116.28205101, 4136.92307672, 4029.35897388, 4121.53846126, 4150.51282031, 4125.51282024, 4114.99999973, 4179.87179474, 4137.69230749, 3797.82051185, 4140.76923056, 4120.25640998, 4154.99999980,12.0
4070.89743555, 4127.43589716, 4145.51282031, 4049.23076882, 4121.79487152, 4163.07692287, 4136.92307672, 4121.15384588, 4187.82051269, 4129.87179460, 3803.71794775, 4149.61538441, 4120.51282024, 4143.58974339,12.0
4071.15384581, 4121.66666639, 4138.71794851, 4048.20512779, 4121.53846126, 4163.33333313, 4136.66666646, 4131.53846126, 4197.43589730, 4127.82051255, 3813.58974269, 4143.33333313, 4119.61538434, 4142.69230749,12.0
4072.05128171, 4121.28205101, 4137.69230749, 4042.05128164, 4122.94871767, 4166.41025621, 4141.92307672, 4137.05128185, 4203.20512814, 4131.15384588, 3826.02564013, 4141.53846133, 4120.89743562, 4149.35897415,12.0
4073.84615350, 4132.17948691, 4143.46153826, 4054.48717907, 4122.56410229, 4174.48717935, 4152.05128185, 4126.02564075, 4194.23076910, 4127.43589716, 3832.82051192, 4151.41025621, 4122.43589716, 4142.56410236,12.0
4073.07692273, 4141.02564082, 4149.99999980, 4068.58974318, 4122.17948691, 4173.07692294, 4151.15384595, 4115.64102537, 4180.12820499, 4125.64102537, 3831.66666577, 4157.69230749, 4121.66666639, 4138.58974339,12.0
4069.99999966, 4141.79487159, 4156.92307672, 4069.10256369, 4121.92307665, 4171.02564089, 4143.46153826, 4122.94871767, 4176.92307679, 4128.71794844, 3830.76922987, 4159.99999980, 4120.89743562, 4147.82051262,12.0
4070.89743555, 4136.15384595, 4153.58974339, 4064.74358933, 4120.38461511, 4165.38461518, 4133.84615357, 4123.46153819, 4172.94871781, 4124.99999973, 3830.64102474, 4156.41025621, 4121.79487152, 4146.15384595,12.0
4074.48717914, 4128.46153819, 4143.46153826, 4058.20512779, 4122.69230742, 4156.15384595, 4130.25640998, 4115.64102537, 4166.02564082, 4126.79487152, 3829.74358884, 4147.56410236, 4122.94871767, 4141.28205108,12.0
4074.10256376, 4121.53846126, 4140.12820492, 4050.51282010, 4123.84615357, 4156.02564082, 4132.94871767, 4121.02564075, 4168.46153833, 4135.89743569, 3824.74358884, 4142.69230749, 4122.17948691, 4146.79487159,12.0
4075.64102530, 4122.94871767, 4141.41025621, 4055.12820472, 4120.89743562, 4157.82051262, 4130.89743562, 4127.30769203, 4170.76923063, 4131.15384588, 3816.53846064, 4140.51282031, 4121.28205101, 4150.12820492,12.0
4079.10256376, 4133.84615357, 4140.64102544, 4068.33333292, 4121.66666639, 4153.07692287, 4120.12820485, 4120.12820485, 4169.74358961, 4124.48717921, 3814.99999910, 4142.82051262, 4120.38461511, 4150.64102544,12.0
4078.46153812, 4134.87179460, 4142.43589723, 4067.30769189, 4123.84615357, 4152.05128185, 4115.25640998, 4112.17948691, 4171.15384602, 4131.92307665, 3820.76922987, 4146.79487159, 4122.56410229, 4147.69230749,12.0
4076.15384581, 4127.82051255, 4150.89743569, 4053.58974318, 4122.94871767, 4159.23076903, 4124.99999973, 4114.48717921, 4176.66666653, 4134.99999973, 3829.10256320, 4152.30769210, 4123.58974332, 4141.28205108,12.0
4073.71794837, 4132.82051255, 4156.53846133, 4058.97435856, 4119.99999973, 4161.53846133, 4133.97435870, 4117.30769203, 4172.05128192, 4127.69230742, 3834.48717859, 4160.51282031, 4120.64102537, 4142.94871774,12.0
