AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4107.56410229, 4129.74358947, 4136.92307672, 4261.79487180, 4124.87179460, 4189.35897422, 4188.71794858, 4186.66666653, 4169.99999986, 4127.94871767, 3743.71794768, 4152.05128185, 4108.07692280, 4147.17948697,12.0
4105.89743562, 4133.97435870, 4133.58974332, 4248.46153847, 4126.15384588, 4190.89743576, 4184.61538448, 4198.07692294, 4177.17948704, 4134.48717921, 3738.97435787, 4138.84615364, 4101.02564068, 4148.33333313,12.0
4110.64102537, 4157.82051262, 4148.71794851, 4262.69230770, 4127.30769203, 4212.82051275, 4213.33333327, 4226.41025634, 4196.02564089, 4129.23076896, 3756.15384512, 4172.94871781, 4115.76923050, 4149.87179467,12.0
4107.30769203, 4148.20512800, 4150.51282031, 4265.25641026, 4125.64102537, 4199.74358961, 4189.10256397, 4200.89743576, 4174.23076910, 4128.46153819, 3770.12820409, 4183.33333320, 4127.94871767, 4147.17948697,12.0
4108.58974332, 4105.12820485, 4122.05128178, 4221.02564096, 4122.94871767, 4155.76923056, 4127.69230742, 4139.74358954, 4125.89743562, 4136.02564082, 3760.64102460, 4135.64102544, 4111.92307665, 4145.64102544,12.0
4105.64102537, 4086.66666632, 4110.76923050, 4190.89743576, 4125.51282024, 4143.07692287, 4128.33333306, 4134.10256383, 4124.48717921, 4136.02564082, 3763.71794768, 4121.15384588, 4107.43589716, 4145.64102544,12.0
4100.12820478, 4098.46153812, 4132.56410229, 4195.51282038, 4127.05128178, 4157.30769210, 4159.87179467, 4165.64102544, 4153.33333313, 4133.84615357, 3790.51281954, 4156.02564082, 4124.74358947, 4146.02564082,12.0
4105.51282024, 4095.89743555, 4139.99999980, 4181.53846140, 4124.23076896, 4159.74358954, 4155.51282031, 4162.43589723, 4153.33333313, 4135.25640998, 3799.99999903, 4164.35897415, 4130.89743562, 4146.28205108,12.0
4104.10256383, 4091.28205094, 4132.30769203, 4167.56410236, 4124.35897408, 4160.12820492, 4152.05128185, 4148.58974339, 4151.41025621, 4135.12820485, 3806.28205031, 4159.87179467, 4135.25640998, 4144.10256390,12.0
4104.35897408, 4114.61538434, 4146.28205108, 4187.43589730, 4125.38461511, 4177.94871781, 4186.92307679, 4178.46153833, 4187.82051269, 4134.87179460, 3828.07692218, 4187.17948704, 4148.07692287, 4144.61538441,12.0
4106.28205101, 4133.33333306, 4169.99999986, 4211.53846147, 4126.41025614, 4203.84615378, 4223.46153840, 4226.66666660, 4230.51282045, 4134.87179460, 3838.33333243, 4217.30769224, 4153.71794851, 4144.99999980,12.0
4103.33333306, 4136.92307672, 4177.82051269, 4221.41025634, 4126.66666639, 4215.12820506, 4232.30769224, 4244.61538462, 4241.02564103, 4134.87179460, 3837.82051192, 4227.69230763, 4154.61538441, 4147.05128185,12.0
4107.30769203, 4133.33333306, 4169.74358961, 4219.74358968, 4125.38461511, 4199.74358961, 4219.99999993, 4228.71794865, 4221.92307686, 4134.87179460, 3843.20512738, 4221.15384609, 4154.61538441, 4148.71794851,12.0
4106.79487152, 4128.71794844, 4168.71794858, 4218.84615378, 4126.15384588, 4182.69230756, 4214.87179481, 4221.53846147, 4213.33333327, 4134.87179460, 3846.92307609, 4220.12820506, 4156.02564082, 4143.20512800,12.0
4106.66666639, 4133.20512793, 4177.56410243, 4226.79487173, 4125.76923050, 4191.79487166, 4222.56410250, 4233.71794865, 4227.43589737, 4134.87179460, 3846.92307609, 4233.97435898, 4161.41025621, 4141.92307672,12.0
4108.46153819, 4127.30769203, 4170.76923063, 4221.79487173, 4126.41025614, 4197.94871781, 4205.25641019, 4219.35897429, 4220.64102558, 4134.87179460, 3847.56410173, 4229.99999993, 4159.23076903, 4145.76923056,12.0
4107.43589716, 4123.07692280, 4163.07692287, 4208.97435891, 4127.94871767, 4188.58974345, 4191.02564089, 4188.07692294, 4199.23076910, 4134.87179460, 3848.84615302, 4220.38461532, 4156.41025621, 4148.33333313,12.0
4110.38461511, 4139.48717928, 4176.15384602, 4226.66666660, 4125.89743562, 4193.84615371, 4215.25641019, 4192.30769217, 4199.48717935, 4134.87179460, 3850.51281968, 4236.02564103, 4164.48717928, 4149.10256390,12.0
4106.66666639, 4140.25641005, 4179.87179474, 4251.02564103, 4124.48717921, 4205.25641019, 4235.38461539, 4223.58974352, 4211.66666660, 4134.87179460, 3847.30769148, 4243.58974359, 4161.15384595, 4146.66666646,12.0
4106.79487152, 4120.12820485, 4159.99999980, 4235.51282052, 4124.74358947, 4194.48717935, 4214.61538455, 4222.17948711, 4209.10256404, 4134.87179460, 3837.43589654, 4213.97435891, 4149.23076903, 4145.25641005,12.0
