AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4108.33333306, 4235.76923077, 4154.74358954, 4268.20512828, 4126.53846126, 4209.74358968, 4184.87179474, 4174.99999986, 4186.79487166, 4135.12820485, 2479.74358600, 4175.89743576, 4151.92307672, 4145.51282031,12.0
4106.53846126, 4190.76923063, 4123.58974332, 4235.76923077, 4126.15384588, 4163.71794851, 4120.89743562, 4134.74358947, 4153.58974339, 4131.79487152, 2472.56409882, 4129.48717921, 4132.82051255, 4146.28205108,12.0
4104.87179460, 4175.89743576, 4119.23076896, 4217.56410250, 4124.10256383, 4149.87179467, 4128.20512793, 4130.64102537, 4147.69230749, 4129.48717921, 2482.30768856, 4115.76923050, 4131.02564075, 4148.97435877,12.0
4103.71794844, 4207.82051275, 4144.23076903, 4242.69230770, 4123.71794844, 4182.69230756, 4167.82051262, 4164.87179467, 4174.87179474, 4133.58974332, 2516.41025273, 4154.23076903, 4145.76923056, 4150.64102544,12.0
4103.71794844, 4223.84615378, 4144.87179467, 4252.82051282, 4129.74358947, 4178.58974345, 4152.30769210, 4155.12820492, 4175.25641012, 4133.07692280, 2526.02563735, 4153.33333313, 4139.99999980, 4150.51282031,12.0
4102.05128171, 4219.48717942, 4131.15384588, 4237.05128206, 4129.48717921, 4170.12820499, 4151.53846133, 4140.89743569, 4169.61538448, 4128.46153819, 2527.69230408, 4131.15384588, 4130.25640998, 4147.94871774,12.0
4103.84615357, 4203.58974352, 4124.48717921, 4219.48717942, 4128.20512793, 4175.38461525, 4154.87179467, 4146.79487159, 4163.84615364, 4128.46153819, 2550.64102203, 4126.79487152, 4137.30769210, 4148.20512800,12.0
4105.38461511, 4173.84615371, 4116.53846126, 4196.15384602, 4127.56410229, 4147.82051262, 4130.51282024, 4130.51282024, 4147.05128185, 4131.79487152, 2572.82050928, 4120.64102537, 4137.94871774, 4148.84615364,12.0
4101.02564068, 4160.25641005, 4111.53846126, 4174.23076910, 4122.05128178, 4133.07692280, 4130.12820485, 4119.99999973, 4159.87179467, 4134.99999973, 2591.92307338, 4121.66666639, 4136.02564082, 4146.53846133,12.0
4099.23076889, 4178.33333320, 4118.84615357, 4162.69230749, 4122.05128178, 4163.46153826, 4139.74358954, 4142.94871774, 4191.53846140, 4137.17948697, 2619.87179140, 4138.20512800, 4147.82051262, 4147.56410236,12.0
4099.23076889, 4186.79487166, 4122.82051255, 4153.07692287, 4123.71794844, 4168.07692287, 4128.71794844, 4148.07692287, 4181.15384602, 4136.02564082, 2649.23076583, 4149.48717928, 4154.74358954, 4148.58974339,12.0
4100.76923043, 4163.97435877, 4121.02564075, 4139.99999980, 4123.97435870, 4147.43589723, 4143.20512800, 4141.41025621, 4163.20512800, 4132.17948691, 2673.46153513, 4156.66666646, 4152.69230749, 4149.10256390,12.0
4102.05128171, 4154.61538441, 4128.33333306, 4136.92307672, 4125.89743562, 4168.84615371, 4171.02564089, 4170.38461525, 4190.89743576, 4132.43589716, 2692.43589417, 4171.92307679, 4161.53846133, 4149.48717928,12.0
4100.76923043, 4171.28205115, 4129.87179460, 4133.71794844, 4125.64102537, 4191.28205115, 4154.61538441, 4180.12820499, 4199.61538448, 4132.69230742, 2699.10256084, 4174.35897422, 4168.84615371, 4147.05128185,12.0
4100.25640991, 4176.66666653, 4119.99999973, 4115.51282024, 4127.17948691, 4162.56410236, 4135.89743569, 4151.02564082, 4172.43589730, 4130.64102537, 2699.87179161, 4156.53846133, 4157.05128185, 4146.66666646,12.0
4098.20512786, 4162.30769210, 4114.87179460, 4102.05128171, 4126.66666639, 4137.43589723, 4141.53846133, 4145.12820492, 4177.17948704, 4132.56410229, 2712.56409930, 4145.25641005, 4148.20512800, 4146.15384595,12.0
4099.87179453, 4147.69230749, 4119.10256383, 4105.76923050, 4124.48717921, 4146.15384595, 4131.92307665, 4150.64102544, 4185.76923063, 4133.84615357, 2727.82050963, 4150.25641005, 4155.51282031, 4147.43589723,12.0
4101.53846119, 4144.74358954, 4118.84615357, 4117.30769203, 4125.64102537, 4146.28205108, 4117.17948691, 4129.48717921, 4152.94871774, 4130.38461511, 2732.94871476, 4149.99999980, 4155.89743569, 4149.48717928,12.0
4098.71794837, 4157.56410236, 4112.30769203, 4121.41025614, 4123.07692280, 4135.64102544, 4130.76923050, 4113.33333306, 4140.51282031, 4131.28205101, 2738.33333014, 4139.87179467, 4149.61538441, 4148.07692287,12.0
4099.10256376, 4173.58974345, 4115.89743562, 4112.94871767, 4121.66666639, 4147.30769210, 4147.43589723, 4130.12820485, 4165.12820492, 4136.53846133, 2758.71794559, 4138.84615364, 4152.43589723, 4149.48717928,12.0
4098.46153812, 4156.41025621, 4115.12820485, 4099.61538427, 4121.53846126, 4159.99999980, 4130.51282024, 4132.82051255, 4155.25641005, 4135.51282031, 2773.97435585, 4132.43589716, 4153.71794851, 4149.10256390,12.0
4097.05128171, 4152.30769210, 4117.69230742, 4107.30769203, 4122.17948691, 4162.94871774, 4132.05128178, 4128.07692280, 4148.46153826, 4133.33333306, 2783.84615072, 4139.61538441, 4153.71794851, 4146.92307672,12.0
4096.92307658, 4176.66666653, 4129.23076896, 4121.53846126, 4124.87179460, 4161.41025621, 4150.12820492, 4144.99999980, 4172.30769217, 4135.25640998, 2806.79486874, 4160.38461518, 4152.17948697, 4149.48717928,12.0
4091.41025607, 4163.46153826, 4124.35897408, 4115.89743562, 4123.97435870, 4135.89743569, 4134.99999973, 4149.35897415, 4172.43589730, 4135.12820485, 2818.33333028, 4147.69230749, 4135.38461518, 4147.94871774,12.0
4093.71794837, 4147.82051262, 4125.89743562, 4114.23076896, 4126.15384588, 4128.84615357, 4134.23076896, 4152.82051262, 4166.15384595, 4132.56410229, 2817.30768925, 4141.41025621, 4126.28205101, 4144.74358954,12.0
4098.97435863, 4182.69230756, 4141.02564082, 4127.94871767, 4126.92307665, 4161.02564082, 4153.20512800, 4167.30769210, 4178.33333320, 4130.64102537, 2833.97435599, 4167.05128185, 4144.87179467, 4146.79487159,12.0
