AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4125.12820485, 4025.12820465, 4142.17948697, 4003.33333278, 4124.48717921, 4069.48717907, 4096.28205094, 4080.89743555, 4063.58974318, 4135.12820485, 4039.35897395, 4067.94871754, 4053.20512779, 4144.61538441,12.0
4123.97435870, 4003.46153791, 4146.15384595, 4018.71794824, 4123.20512793, 4074.61538427, 4101.53846119, 4093.97435863, 4063.58974318, 4134.23076896, 4036.66666618, 4080.76923043, 4052.94871754, 4144.61538441,12.0
4125.25640998, 3979.74358919, 4138.33333313, 3996.15384560, 4126.41025614, 4064.87179446, 4095.25640991, 4084.87179453, 4056.02564061, 4134.87179460, 4031.41025593, 4063.46153805, 4052.56410215, 4144.10256390,12.0
4119.23076896, 3995.38461483, 4128.20512793, 3969.61538399, 4126.28205101, 4048.07692266, 4077.30769196, 4079.23076889, 4058.33333292, 4133.07692280, 4034.10256362, 4047.30769189, 4047.69230728, 4145.51282031,12.0
4125.25640998, 4008.07692259, 4134.61538434, 3976.28205073, 4127.17948691, 4046.53846113, 4068.58974318, 4098.07692273, 4071.28205094, 4132.05128178, 4046.28205087, 4062.43589702, 4049.87179446, 4146.92307672,12.0
4128.46153819, 4013.84615336, 4149.87179467, 3986.66666611, 4127.56410229, 4055.64102523, 4089.48717914, 4117.69230742, 4081.15384581, 4135.76923056, 4054.10256369, 4084.48717914, 4057.17948677, 4144.35897415,12.0
4127.30769203, 4043.46153805, 4167.43589723, 4009.87179439, 4125.89743562, 4082.43589709, 4130.12820485, 4130.89743562, 4102.30769196, 4131.28205101, 4063.97435856, 4106.28205101, 4059.23076882, 4141.28205108,12.0
4129.23076896, 4035.12820465, 4167.56410236, 4021.79487131, 4129.10256383, 4095.89743555, 4134.87179460, 4127.56410229, 4109.23076896, 4124.35897408, 4074.23076889, 4108.07692280, 4059.87179446, 4142.43589723,12.0
4124.10256383, 4007.05128157, 4144.35897415, 3976.28205073, 4124.87179460, 4069.35897395, 4099.87179453, 4099.35897402, 4062.94871754, 4130.51282024, 4069.99999966, 4077.94871761, 4048.33333292, 4144.23076903,12.0
4129.35897408, 4013.71794824, 4139.99999980, 3954.35897374, 4122.30769203, 4056.41025600, 4089.74358940, 4077.43589709, 4033.58974311, 4134.61538434, 4065.51282010, 4067.56410215, 4045.51282010, 4146.66666646,12.0
4130.12820485, 4027.94871747, 4164.99999980, 4004.74358926, 4127.05128178, 4087.30769196, 4117.94871767, 4089.61538427, 4078.97435863, 4130.76923050, 4093.20512786, 4110.38461511, 4070.25640991, 4148.20512800,12.0
4124.61538434, 4043.58974318, 4181.15384602, 4033.46153798, 4125.12820485, 4095.76923043, 4129.23076896, 4098.71794837, 4114.74358947, 4131.15384588, 4118.97435870, 4142.94871774, 4083.07692273, 4146.66666646,12.0
4129.61538434, 4043.97435856, 4165.12820492, 4002.05128150, 4124.35897408, 4065.89743548, 4102.17948684, 4081.66666632, 4084.48717914, 4134.61538434, 4103.84615357, 4114.74358947, 4064.10256369, 4143.46153826,12.0
4125.25640998, 3997.30769176, 4136.28205108, 3969.10256348, 4123.46153819, 4054.23076882, 4070.76923043, 4063.07692266, 4054.87179446, 4134.99999973, 4081.15384581, 4072.56410222, 4047.30769189, 4142.82051262,12.0
4122.94871767, 3974.48717894, 4133.07692280, 3978.07692252, 4124.23076896, 4058.58974318, 4062.69230728, 4059.99999959, 4057.94871754, 4133.33333306, 4084.74358940, 4069.35897395, 4053.20512779, 4147.30769210,12.0
4128.71794844, 4030.76923029, 4161.02564082, 4011.53846106, 4125.76923050, 4082.56410222, 4099.99999966, 4103.71794844, 4084.23076889, 4133.20512793, 4110.38461511, 4107.56410229, 4062.69230728, 4149.35897415,12.0
4132.56410229, 4042.56410215, 4166.66666646, 4003.71794817, 4121.92307665, 4103.58974332, 4137.30769210, 4140.64102544, 4115.64102537, 4134.23076896, 4110.76923050, 4116.02564075, 4055.76923036, 4146.92307672,12.0
4133.58974332, 3999.74358919, 4142.17948697, 3966.02564040, 4123.97435870, 4085.89743555, 4114.48717921, 4109.10256383, 4106.41025614, 4133.71794844, 4092.43589709, 4075.51282017, 4044.61538420, 4146.66666646,12.0
4122.82051255, 4013.07692259, 4138.58974339, 3965.64102502, 4123.84615357, 4075.89743555, 4088.33333299, 4083.97435863, 4074.48717914, 4129.87179460, 4103.71794844, 4074.10256376, 4059.48717907, 4147.17948697,12.0
4120.12820485, 4016.02564054, 4151.28205108, 3970.12820451, 4123.46153819, 4087.43589709, 4102.56410229, 4103.07692280, 4072.30769196, 4129.35897408, 4129.23076896, 4105.25640998, 4080.25640991, 4146.66666646,12.0
4124.35897408, 3967.82051220, 4139.61538441, 3939.35897374, 4127.30769203, 4077.69230735, 4107.69230742, 4104.48717921, 4080.51282017, 4129.87179460, 4132.69230742, 4090.51282017, 4073.33333299, 4146.53846133,12.0
4122.43589716, 3959.10256348, 4126.92307665, 3927.82051213, 4124.35897408, 4066.53846113, 4091.53846119, 4084.87179453, 4078.71794837, 4129.87179460, 4139.23076903, 4071.28205094, 4066.28205087, 4145.89743569,12.0
4124.61538434, 3998.97435842, 4141.53846133, 3932.94871726, 4125.38461511, 4088.97435863, 4101.79487145, 4098.33333299, 4092.05128171, 4134.99999973, 4157.05128185, 4098.07692273, 4082.56410222, 4144.99999980,12.0
4122.43589716, 3985.51281996, 4133.84615357, 3908.58974290, 4126.53846126, 4085.51282017, 4101.66666632, 4106.92307665, 4090.76923043, 4136.79487159, 4144.35897415, 4095.12820478, 4094.99999966, 4143.33333313,12.0
4124.61538434, 3946.41025579, 4110.64102537, 3904.35897360, 4123.46153819, 4062.30769189, 4076.53846119, 4088.84615350, 4067.05128164, 4132.69230742, 4134.48717921, 4066.66666625, 4081.41025607, 4142.43589723,12.0
4126.66666639, 3962.30769169, 4116.28205101, 3913.20512751, 4124.10256383, 4074.10256376, 4079.74358940, 4089.74358940, 4076.79487145, 4132.30769203, 4152.94871774, 4074.74358940, 4062.94871754, 4143.33333313,12.0
4120.12820485, 3970.64102502, 4119.61538434, 3899.61538385, 4123.20512793, 4075.38461504, 4088.46153812, 4094.23076889, 4094.23076889, 4135.12820485, 4151.92307672, 4084.35897402, 4063.71794830, 4144.87179467,12.0
4125.12820485, 3967.82051220, 4124.23076896, 3917.69230700, 4124.23076896, 4077.56410222, 4106.92307665, 4107.82051255, 4110.12820485, 4135.25640998, 4147.94871774, 4098.97435863, 4084.74358940, 4145.89743569,12.0
