AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4018.20512772, 4160.64102544, 4165.38461518, 4145.12820492, 4123.07692280, 4150.89743569, 4162.05128185, 4138.33333313, 4172.56410243, 4134.35897408, 3685.76922959, 4204.74358968, 4139.74358954, 4144.61538441,12.0
4016.02564054, 4179.87179474, 4167.56410236, 4157.82051262, 4124.23076896, 4148.20512800, 4151.41025621, 4134.74358947, 4166.66666646, 4133.97435870, 3694.10256293, 4208.84615378, 4153.33333313, 4145.89743569,12.0
4018.84615336, 4177.56410243, 4168.46153833, 4174.74358961, 4122.17948691, 4148.46153826, 4158.46153826, 4146.79487159, 4166.53846133, 4133.46153819, 3695.38461421, 4214.74358968, 4142.30769210, 4146.15384595,12.0
4026.15384567, 4171.66666653, 4175.25641012, 4178.71794858, 4121.28205101, 4157.69230749, 4159.10256390, 4149.10256390, 4183.07692294, 4134.61538434, 3711.66666556, 4221.15384609, 4143.20512800, 4143.33333313,12.0
4025.25640977, 4166.79487159, 4178.58974345, 4172.17948704, 4124.48717921, 4150.64102544, 4141.92307672, 4144.74358954, 4189.10256397, 4134.10256383, 3734.10256299, 4215.12820506, 4148.33333313, 4145.64102544,12.0
4023.07692259, 4166.53846133, 4172.94871781, 4164.48717928, 4123.97435870, 4139.87179467, 4139.99999980, 4154.35897415, 4189.61538448, 4132.30769203, 3739.74358864, 4209.35897429, 4141.41025621, 4146.92307672,12.0
4024.48717900, 4164.87179467, 4161.79487159, 4157.30769210, 4124.10256383, 4139.10256390, 4141.92307672, 4153.97435877, 4187.17948704, 4132.94871767, 3731.92307582, 4198.71794858, 4130.25640998, 4144.74358954,12.0
4026.15384567, 4163.07692287, 4156.41025621, 4159.10256390, 4122.94871767, 4137.94871774, 4136.15384595, 4141.53846133, 4170.89743576, 4133.46153819, 3738.97435787, 4186.15384602, 4129.99999973, 4146.02564082,12.0
4024.48717900, 4177.94871781, 4166.92307672, 4174.35897422, 4120.89743562, 4140.38461518, 4148.33333313, 4146.66666646, 4166.79487159, 4132.43589716, 3755.51281947, 4195.76923063, 4140.76923056, 4145.38461518,12.0
4021.79487131, 4178.84615371, 4169.87179474, 4169.74358961, 4124.35897408, 4144.35897415, 4154.10256390, 4148.33333313, 4169.10256397, 4130.51282024, 3760.89743486, 4201.15384609, 4139.61538441, 4145.64102544,12.0
