AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4121.66666639, 4088.07692273, 4106.53846126, 4112.56410229, 4123.97435870, 4094.10256376, 4104.74358947, 4104.10256383, 4109.48717921, 4124.35897408, 4120.76923050, 4104.74358947, 4125.51282024, 4143.84615364,12.0
4119.87179460, 4084.23076889, 4102.43589709, 4113.07692280, 4118.07692280, 4093.46153812, 4107.43589716, 4101.41025607, 4109.10256383, 4131.79487152, 4114.74358947, 4101.79487145, 4124.61538434, 4142.30769210,12.0
4123.07692280, 4075.76923043, 4097.17948684, 4105.89743562, 4122.43589716, 4093.33333299, 4108.97435870, 4102.05128171, 4111.79487152, 4135.89743569, 4112.43589716, 4095.12820478, 4123.07692280, 4144.74358954,12.0
4121.41025614, 4070.38461504, 4095.64102530, 4098.07692273, 4126.41025614, 4095.89743555, 4108.58974332, 4098.58974325, 4101.79487145, 4133.71794844, 4108.07692280, 4084.87179453, 4120.38461511, 4149.74358954,12.0
4118.97435870, 4073.33333299, 4095.25640991, 4099.35897402, 4120.38461511, 4099.74358940, 4110.25640998, 4095.25640991, 4095.64102530, 4132.82051255, 4102.56410229, 4080.76923043, 4119.61538434, 4148.33333313,12.0
4119.61538434, 4075.89743555, 4095.51282017, 4102.43589709, 4122.05128178, 4103.46153819, 4113.84615357, 4102.82051255, 4106.41025614, 4134.87179460, 4105.25640998, 4082.56410222, 4118.84615357, 4146.15384595,12.0
4120.89743562, 4068.33333292, 4090.38461504, 4097.05128171, 4127.30769203, 4101.28205094, 4109.35897408, 4102.17948684, 4109.61538434, 4133.33333306, 4105.38461511, 4076.41025607, 4113.84615357, 4145.76923056,12.0
4121.28205101, 4059.99999959, 4082.82051248, 4089.61538427, 4127.82051255, 4098.07692273, 4099.48717914, 4089.61538427, 4099.87179453, 4133.58974332, 4099.48717914, 4064.99999959, 4109.48717921, 4146.92307672,12.0
4116.79487152, 4067.69230728, 4086.15384581, 4095.25640991, 4124.48717921, 4102.17948684, 4101.53846119, 4093.46153812, 4100.76923043, 4135.12820485, 4101.79487145, 4068.71794830, 4116.02564075, 4147.69230749,12.0
4121.41025614, 4082.69230735, 4097.56410222, 4113.07692280, 4123.20512793, 4107.82051255, 4113.97435870, 4104.74358947, 4115.25640998, 4131.53846126, 4109.87179460, 4087.82051248, 4125.12820485, 4147.43589723,12.0
4125.64102537, 4082.94871761, 4102.43589709, 4115.25640998, 4126.28205101, 4111.28205101, 4124.74358947, 4112.30769203, 4124.61538434, 4130.89743562, 4117.30769203, 4097.17948684, 4125.38461511, 4146.66666646,12.0
4117.17948691, 4073.97435863, 4098.58974325, 4107.30769203, 4124.23076896, 4112.17948691, 4126.15384588, 4123.20512793, 4128.71794844, 4134.35897408, 4122.30769203, 4097.05128171, 4126.53846126, 4142.82051262,12.0
4120.25640998, 4081.92307658, 4105.25640998, 4120.51282024, 4122.69230742, 4112.56410229, 4122.43589716, 4127.94871767, 4140.25641005, 4131.15384588, 4124.35897408, 4108.33333306, 4136.15384595, 4144.35897415,12.0
4128.71794844, 4094.10256376, 4116.66666639, 4137.43589723, 4124.10256383, 4109.99999973, 4119.23076896, 4118.84615357, 4142.30769210, 4126.28205101, 4127.05128178, 4119.99999973, 4142.05128185, 4148.07692287,12.0
4124.61538434, 4084.35897402, 4113.33333306, 4129.61538434, 4121.79487152, 4102.30769196, 4112.69230742, 4106.66666639, 4125.12820485, 4130.51282024, 4124.61538434, 4111.92307665, 4134.61538434, 4143.33333313,12.0
4121.02564075, 4074.48717914, 4106.15384588, 4119.23076896, 4122.30769203, 4106.02564075, 4114.74358947, 4114.10256383, 4121.92307665, 4135.64102544, 4120.25640998, 4101.66666632, 4127.82051255, 4141.79487159,12.0
4123.71794844, 4078.97435863, 4103.46153819, 4118.97435870, 4121.66666639, 4115.38461511, 4120.25640998, 4121.66666639, 4128.71794844, 4134.10256383, 4118.84615357, 4097.69230735, 4129.10256383, 4148.46153826,12.0
4126.15384588, 4066.53846113, 4090.76923043, 4099.87179453, 4119.87179460, 4103.46153819, 4102.05128171, 4099.99999966, 4111.41025614, 4126.92307665, 4110.76923050, 4075.76923043, 4120.64102537, 4150.51282031,12.0
4124.61538434, 4046.79487138, 4076.92307658, 4079.35897402, 4123.07692280, 4093.97435863, 4089.23076889, 4084.74358940, 4092.43589709, 4124.10256383, 4099.48717914, 4054.87179446, 4106.41025614, 4146.53846133,12.0
