AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4122.56410229, 4121.28205101, 4119.23076896, 4118.33333306, 4121.79487152, 4158.97435877, 4091.15384581, 4090.12820478, 4084.48717914, 4130.89743562, 4117.05128178, 4126.92307665, 4126.41025614, 4191.53846140,8.57
4115.38461511, 4118.71794844, 4112.30769203, 4111.53846126, 4121.41025614, 4162.69230749, 4091.79487145, 4093.97435863, 4106.53846126, 4126.79487152, 4116.15384588, 4114.23076896, 4124.61538434, 4188.33333320,8.57
4123.07692280, 4123.33333306, 4122.82051255, 4115.51282024, 4125.51282024, 4155.51282031, 4086.02564068, 4088.71794837, 4102.05128171, 4127.43589716, 4120.12820485, 4123.84615357, 4129.48717921, 4191.66666653,8.57
4112.05128178, 4117.82051255, 4114.48717921, 4112.69230742, 4125.25640998, 4156.28205108, 4078.46153812, 4081.02564068, 4077.94871761, 4127.82051255, 4114.10256383, 4115.89743562, 4125.25640998, 4185.64102551,8.57
4122.94871767, 4126.15384588, 4124.23076896, 4119.99999973, 4124.23076896, 4170.12820499, 4095.25640991, 4092.94871761, 4086.41025607, 4126.41025614, 4116.92307665, 4121.02564075, 4127.30769203, 4190.76923063,8.57
4122.69230742, 4124.23076896, 4122.56410229, 4116.92307665, 4123.84615357, 4177.56410243, 4116.41025614, 4108.46153819, 4112.94871767, 4128.84615357, 4118.97435870, 4116.15384588, 4129.74358947, 4188.46153833,8.57
4115.89743562, 4116.41025614, 4118.20512793, 4112.05128178, 4124.23076896, 4169.99999986, 4102.43589709, 4097.30769196, 4105.12820485, 4131.15384588, 4114.74358947, 4111.41025614, 4126.53846126, 4185.76923063,8.57
4130.64102537, 4127.43589716, 4130.64102537, 4124.35897408, 4128.07692280, 4162.30769210, 4085.25640991, 4087.05128171, 4087.17948684, 4130.25640998, 4119.61538434, 4126.66666639, 4128.71794844, 4192.17948704,8.57
4118.71794844, 4122.05128178, 4118.07692280, 4118.58974332, 4124.35897408, 4166.53846133, 4100.38461504, 4105.64102537, 4099.48717914, 4128.84615357, 4115.76923050, 4112.56410229, 4126.92307665, 4186.28205115,8.57
4124.35897408, 4124.10256383, 4124.99999973, 4120.89743562, 4121.41025614, 4166.15384595, 4106.41025614, 4108.20512793, 4104.23076896, 4128.46153819, 4113.84615357, 4119.74358947, 4128.84615357, 4189.35897422,8.57
4127.82051255, 4126.02564075, 4126.15384588, 4128.20512793, 4124.74358947, 4168.20512807, 4093.46153812, 4092.17948684, 4091.79487145, 4128.33333306, 4116.28205101, 4127.56410229, 4128.20512793, 4188.07692294,8.57
4114.10256383, 4116.92307665, 4115.38461511, 4120.76923050, 4124.23076896, 4181.66666653, 4093.46153812, 4097.17948684, 4095.51282017, 4128.71794844, 4116.28205101, 4117.56410229, 4124.74358947, 4182.82051269,8.57
4128.97435870, 4127.69230742, 4131.41025614, 4124.35897408, 4124.74358947, 4176.66666653, 4092.17948684, 4097.69230735, 4097.56410222, 4128.20512793, 4120.51282024, 4131.02564075, 4131.41025614, 4191.66666653,8.57
4123.71794844, 4124.74358947, 4121.41025614, 4122.30769203, 4119.35897408, 4159.74358954, 4084.61538427, 4081.53846119, 4082.43589709, 4126.92307665, 4116.53846126, 4122.30769203, 4128.07692280, 4189.74358961,8.57
4124.74358947, 4123.71794844, 4117.82051255, 4120.12820485, 4118.07692280, 4161.41025621, 4088.58974325, 4083.97435863, 4077.43589709, 4128.07692280, 4116.79487152, 4126.53846126, 4126.15384588, 4191.15384602,8.57
4130.12820485, 4130.25640998, 4126.41025614, 4120.38461511, 4125.38461511, 4162.56410236, 4091.28205094, 4093.97435863, 4087.69230735, 4128.58974332, 4120.12820485, 4133.97435870, 4131.53846126, 4192.30769217,8.57
4112.82051255, 4121.66666639, 4118.33333306, 4114.61538434, 4121.28205101, 4165.51282031, 4099.99999966, 4100.76923043, 4103.84615357, 4128.71794844, 4115.12820485, 4118.84615357, 4129.61538434, 4189.23076910,8.57
4123.97435870, 4127.17948691, 4124.87179460, 4125.12820485, 4117.56410229, 4191.02564089, 4123.71794844, 4120.25640998, 4119.74358947, 4129.35897408, 4118.84615357, 4131.15384588, 4130.25640998, 4196.15384602,8.57
4123.97435870, 4126.79487152, 4119.35897408, 4122.17948691, 4120.76923050, 4193.58974345, 4121.02564075, 4123.07692280, 4111.41025614, 4129.74358947, 4118.07692280, 4122.56410229, 4128.07692280, 4191.41025628,8.57
4118.33333306, 4120.89743562, 4121.15384588, 4112.43589716, 4123.97435870, 4162.56410236, 4093.20512786, 4097.94871761, 4085.64102530, 4128.20512793, 4117.30769203, 4116.15384588, 4127.94871767, 4191.15384602,8.57
4123.33333306, 4123.07692280, 4123.84615357, 4116.15384588, 4126.02564075, 4164.87179467, 4093.20512786, 4094.74358940, 4089.35897402, 4126.79487152, 4119.35897408, 4124.48717921, 4128.33333306, 4193.20512807,8.57
4115.64102537, 4118.46153819, 4109.48717921, 4112.94871767, 4122.05128178, 4189.35897422, 4107.05128178, 4109.99999973, 4109.87179460, 4128.71794844, 4112.17948691, 4113.84615357, 4123.07692280, 4187.05128192,8.57
4126.41025614, 4123.97435870, 4123.46153819, 4117.82051255, 4122.69230742, 4178.71794858, 4098.20512786, 4103.84615357, 4108.84615357, 4129.87179460, 4115.89743562, 4126.92307665, 4130.76923050, 4190.64102551,8.57
4117.94871767, 4120.25640998, 4120.76923050, 4114.87179460, 4123.97435870, 4164.35897415, 4092.56410222, 4095.89743555, 4108.20512793, 4126.15384588, 4116.79487152, 4122.05128178, 4133.20512793, 4183.97435884,8.57
4110.25640998, 4117.17948691, 4114.87179460, 4112.43589716, 4120.25640998, 4178.20512807, 4106.15384588, 4111.92307665, 4117.69230742, 4126.41025614, 4114.23076896, 4112.94871767, 4129.99999973, 4184.23076910,8.57
4124.99999973, 4128.71794844, 4125.89743562, 4118.71794844, 4121.79487152, 4181.15384602, 4108.71794844, 4115.51282024, 4106.41025614, 4131.66666639, 4117.30769203, 4124.48717921, 4132.94871767, 4191.79487166,8.57
4114.99999973, 4122.56410229, 4117.43589716, 4110.25640998, 4121.15384588, 4167.56410236, 4106.79487152, 4112.82051255, 4104.48717921, 4130.89743562, 4112.94871767, 4114.48717921, 4130.76923050, 4186.02564089,8.57
4122.17948691, 4124.74358947, 4127.56410229, 4119.74358947, 4121.66666639, 4171.02564089, 4117.17948691, 4125.38461511, 4126.41025614, 4126.79487152, 4118.97435870, 4122.82051255, 4133.58974332, 4192.30769217,8.57
4125.76923050, 4127.30769203, 4126.66666639, 4124.35897408, 4124.87179460, 4182.82051269, 4117.43589716, 4122.30769203, 4127.82051255, 4128.46153819, 4122.30769203, 4123.33333306, 4134.10256383, 4192.82051269,8.57
4121.02564075, 4124.23076896, 4120.64102537, 4115.76923050, 4123.71794844, 4185.25641012, 4111.66666639, 4111.92307665, 4121.15384588, 4130.51282024, 4116.41025614, 4117.69230742, 4129.10256383, 4188.84615371,8.57
4131.79487152, 4129.99999973, 4133.20512793, 4121.41025614, 4123.33333306, 4180.89743576, 4115.25640998, 4111.92307665, 4118.33333306, 4128.71794844, 4119.35897408, 4133.97435870, 4130.51282024, 4195.25641012,8.57
4119.74358947, 4121.02564075, 4119.99999973, 4114.23076896, 4122.56410229, 4177.05128192, 4117.30769203, 4111.41025614, 4111.15384588, 4126.53846126, 4118.07692280, 4121.92307665, 4127.43589716, 4190.38461525,8.57
4126.66666639, 4124.48717921, 4125.12820485, 4113.84615357, 4125.38461511, 4176.92307679, 4116.53846126, 4115.64102537, 4119.35897408, 4128.71794844, 4118.33333306, 4124.48717921, 4128.20512793, 4190.64102551,8.57
4129.99999973, 4127.43589716, 4129.61538434, 4114.87179460, 4124.61538434, 4175.25641012, 4118.46153819, 4125.25640998, 4130.64102537, 4129.99999973, 4119.74358947, 4132.69230742, 4132.30769203, 4190.25641012,8.57
4117.05128178, 4118.84615357, 4117.69230742, 4107.94871767, 4119.35897408, 4171.02564089, 4113.33333306, 4121.02564075, 4121.53846126, 4128.58974332, 4116.53846126, 4125.12820485, 4132.69230742, 4187.94871781,8.57
4128.97435870, 4125.38461511, 4126.28205101, 4114.87179460, 4120.38461511, 4168.33333320, 4105.12820485, 4107.30769203, 4116.15384588, 4128.84615357, 4120.38461511, 4133.97435870, 4135.51282031, 4193.97435884,8.57
4120.38461511, 4121.41025614, 4119.35897408, 4108.07692280, 4119.35897408, 4168.71794858, 4103.33333306, 4107.30769203, 4124.99999973, 4128.71794844, 4118.97435870, 4121.41025614, 4132.82051255, 4190.25641012,8.57
4121.66666639, 4122.82051255, 4120.12820485, 4104.48717921, 4120.76923050, 4167.82051262, 4100.64102530, 4114.23076896, 4129.23076896, 4128.46153819, 4116.41025614, 4124.87179460, 4135.25640998, 4195.25641012,8.57
4124.99999973, 4127.56410229, 4120.89743562, 4112.43589716, 4124.23076896, 4171.41025628, 4108.58974332, 4130.12820485, 4147.05128185, 4130.38461511, 4117.82051255, 4131.15384588, 4135.64102544, 4195.51282038,8.57
4112.82051255, 4119.10256383, 4113.97435870, 4110.12820485, 4123.20512793, 4179.23076910, 4119.48717921, 4134.10256383, 4153.20512800, 4130.76923050, 4116.92307665, 4116.66666639, 4125.89743562, 4187.30769217,8.57
4126.66666639, 4125.12820485, 4127.30769203, 4111.79487152, 4124.61538434, 4169.99999986, 4106.92307665, 4119.74358947, 4130.25640998, 4129.87179460, 4119.23076896, 4129.99999973, 4129.10256383, 4191.41025628,8.57
4118.58974332, 4123.84615357, 4117.94871767, 4105.76923050, 4121.15384588, 4162.43589723, 4104.48717921, 4129.61538434, 4141.41025621, 4129.61538434, 4115.12820485, 4122.94871767, 4129.87179460, 4184.35897422,8.57
4115.64102537, 4122.17948691, 4118.84615357, 4107.43589716, 4121.02564075, 4172.30769217, 4114.48717921, 4131.28205101, 4153.58974339, 4130.12820485, 4117.69230742, 4120.38461511, 4128.07692280, 4184.23076910,8.57
