AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4128.58974332, 4130.12820485, 4129.48717921, 4127.94871767, 4122.94871767, 4285.64102571, 4120.25640998, 4112.94871767, 4142.17948697, 4128.97435870, 4125.25640998, 4119.10256383, 4128.33333306, 4192.05128192,8.57
4117.94871767, 4124.74358947, 4124.74358947, 4122.56410229, 4124.10256383, 4286.15384623, 4115.76923050, 4098.84615350, 4106.28205101, 4129.74358947, 4128.97435870, 4125.76923050, 4128.46153819, 4194.99999986,8.57
4116.92307665, 4119.87179460, 4118.46153819, 4116.92307665, 4123.33333306, 4286.79487187, 4119.61538434, 4095.38461504, 4098.84615350, 4127.43589716, 4126.28205101, 4130.51282024, 4132.43589716, 4194.23076910,8.57
4133.20512793, 4130.25640998, 4127.69230742, 4123.33333306, 4127.05128178, 4294.10256418, 4122.17948691, 4097.82051248, 4113.84615357, 4125.64102537, 4120.64102537, 4122.56410229, 4129.10256383, 4193.46153833,8.57
4116.28205101, 4123.71794844, 4117.56410229, 4117.82051255, 4122.94871767, 4311.02564117, 4128.33333306, 4112.05128178, 4124.61538434, 4129.99999973, 4129.48717921, 4129.99999973, 4131.15384588, 4195.38461525,8.57
4129.87179460, 4128.58974332, 4126.53846126, 4123.97435870, 4128.71794844, 4292.69230777, 4126.02564075, 4118.58974332, 4124.48717921, 4130.64102537, 4123.58974332, 4128.07692280, 4130.38461511, 4195.89743576,8.57
4122.82051255, 4125.38461511, 4125.25640998, 4125.51282024, 4127.56410229, 4268.07692315, 4122.94871767, 4120.89743562, 4134.61538434, 4127.05128178, 4120.89743562, 4129.48717921, 4131.66666639, 4194.87179474,8.57
4110.38461511, 4120.38461511, 4117.43589716, 4120.12820485, 4120.25640998, 4279.10256418, 4125.76923050, 4131.92307665, 4149.10256390, 4125.89743562, 4124.23076896, 4124.23076896, 4128.84615357, 4190.76923063,8.57
4132.43589716, 4131.53846126, 4132.56410229, 4125.64102537, 4126.66666639, 4275.64102571, 4119.61538434, 4127.56410229, 4136.53846133, 4125.89743562, 4123.20512793, 4118.46153819, 4128.07692280, 4195.51282038,8.57
4118.33333306, 4121.66666639, 4122.82051255, 4119.74358947, 4123.84615357, 4260.12820513, 4117.30769203, 4107.94871767, 4109.10256383, 4126.92307665, 4128.33333306, 4126.92307665, 4133.84615357, 4193.07692294,8.57
4129.61538434, 4123.46153819, 4127.56410229, 4123.71794844, 4125.76923050, 4265.12820513, 4117.43589716, 4094.61538427, 4100.12820478, 4127.43589716, 4123.33333306, 4122.05128178, 4127.69230742, 4186.02564089,8.57
4130.25640998, 4122.43589716, 4128.07692280, 4125.89743562, 4126.41025614, 4265.25641026, 4106.41025614, 4088.97435863, 4109.87179460, 4125.51282024, 4124.23076896, 4125.51282024, 4129.48717921, 4190.76923063,8.57
4112.05128178, 4116.41025614, 4113.58974332, 4116.66666639, 4119.61538434, 4258.58974359, 4105.51282024, 4093.07692273, 4111.53846126, 4125.89743562, 4127.69230742, 4126.15384588, 4132.43589716, 4188.33333320,8.57
4134.35897408, 4132.05128178, 4129.10256383, 4124.87179460, 4126.02564075, 4267.30769238, 4124.35897408, 4113.84615357, 4119.87179460, 4127.82051255, 4124.74358947, 4125.12820485, 4129.48717921, 4188.97435884,8.57
4117.82051255, 4120.76923050, 4118.07692280, 4124.35897408, 4121.53846126, 4268.84615392, 4129.48717921, 4122.69230742, 4133.97435870, 4126.15384588, 4128.58974332, 4129.74358947, 4132.05128178, 4190.38461525,8.57
4123.97435870, 4120.76923050, 4120.76923050, 4122.05128178, 4121.66666639, 4252.05128206, 4116.92307665, 4111.28205101, 4118.84615357, 4124.87179460, 4125.89743562, 4124.35897408, 4127.94871767, 4190.89743576,8.57
4136.02564082, 4127.82051255, 4133.07692280, 4121.66666639, 4126.79487152, 4256.92307693, 4121.79487152, 4120.38461511, 4111.02564075, 4128.33333306, 4128.84615357, 4134.74358947, 4131.92307665, 4194.10256397,8.57
4108.33333306, 4114.48717921, 4112.30769203, 4116.66666639, 4119.87179460, 4270.51282059, 4134.23076896, 4136.02564082, 4126.15384588, 4128.58974332, 4126.66666639, 4127.82051255, 4133.84615357, 4185.51282038,8.57
4129.99999973, 4127.17948691, 4125.25640998, 4124.48717921, 4125.51282024, 4254.23076923, 4120.51282024, 4119.35897408, 4111.53846126, 4126.41025614, 4118.71794844, 4121.15384588, 4128.58974332, 4193.71794858,8.57
4120.38461511, 4126.28205101, 4122.69230742, 4117.82051255, 4121.53846126, 4242.43589744, 4111.66666639, 4109.61538434, 4101.53846119, 4128.71794844, 4128.20512793, 4131.41025614, 4133.20512793, 4197.69230756,8.57
4113.07692280, 4122.43589716, 4117.43589716, 4120.12820485, 4121.41025614, 4259.87179488, 4129.35897408, 4129.74358947, 4133.07692280, 4128.58974332, 4124.61538434, 4118.97435870, 4130.38461511, 4188.58974345,8.57
4131.15384588, 4126.41025614, 4130.51282024, 4128.71794844, 4134.35897408, 4269.35897443, 4133.20512793, 4131.66666639, 4145.89743569, 4126.53846126, 4122.56410229, 4121.92307665, 4129.10256383, 4196.28205115,8.57
4109.99999973, 4118.84615357, 4114.74358947, 4115.89743562, 4124.99999973, 4254.23076923, 4110.12820485, 4105.12820485, 4122.43589716, 4127.30769203, 4125.76923050, 4120.25640998, 4128.97435870, 4190.25641012,8.57
4128.84615357, 4131.41025614, 4126.41025614, 4121.15384588, 4123.20512793, 4245.12820513, 4099.87179453, 4095.76923043, 4106.02564075, 4127.43589716, 4121.15384588, 4117.43589716, 4128.84615357, 4188.20512807,8.57
4124.35897408, 4123.33333306, 4125.76923050, 4121.15384588, 4122.30769203, 4250.00000000, 4119.35897408, 4118.46153819, 4117.82051255, 4128.20512793, 4124.99999973, 4129.23076896, 4133.58974332, 4191.79487166,8.57
4114.61538434, 4117.17948691, 4118.58974332, 4120.25640998, 4119.61538434, 4258.58974359, 4136.41025621, 4133.58974332, 4131.41025614, 4127.69230742, 4122.94871767, 4120.38461511, 4127.43589716, 4187.56410243,8.57
4134.48717921, 4131.41025614, 4133.20512793, 4129.35897408, 4127.17948691, 4261.53846154, 4134.61538434, 4128.07692280, 4124.10256383, 4126.53846126, 4128.07692280, 4129.48717921, 4131.66666639, 4196.41025628,8.57
4113.20512793, 4122.05128178, 4116.41025614, 4118.33333306, 4119.10256383, 4251.41025641, 4134.10256383, 4127.17948691, 4116.02564075, 4127.43589716, 4132.17948691, 4130.38461511, 4135.89743569, 4191.02564089,8.57
4127.43589716, 4125.51282024, 4126.41025614, 4119.10256383, 4120.64102537, 4235.89743590, 4128.84615357, 4117.43589716, 4110.25640998, 4128.07692280, 4125.38461511, 4122.05128178, 4129.48717921, 4192.17948704,8.57
