AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4123.46153819, 4125.51282024, 4124.61538434, 4183.58974345, 4130.89743562, 4281.41025648, 4316.28205142, 4299.48717963, 4275.89743597, 4128.84615357, 4117.30769203, 4124.10256383, 4132.82051255, 4189.61538448,8.57
4117.56410229, 4122.05128178, 4123.97435870, 4219.99999993, 4128.58974332, 4299.10256418, 4325.51282066, 4325.38461553, 4306.53846168, 4128.71794844, 4118.33333306, 4115.12820485, 4128.33333306, 4183.20512807,8.57
4125.25640998, 4126.53846126, 4129.10256383, 4202.43589737, 4130.38461511, 4281.79487187, 4306.53846168, 4328.33333348, 4307.56410271, 4129.99999973, 4118.33333306, 4124.10256383, 4129.23076896, 4190.51282038,8.57
4121.92307665, 4126.79487152, 4123.97435870, 4153.84615364, 4129.61538434, 4240.25641026, 4255.00000000, 4262.43589744, 4239.10256411, 4130.38461511, 4115.25640998, 4126.53846126, 4132.17948691, 4188.33333320,8.57
4123.07692280, 4123.58974332, 4128.46153819, 4172.94871781, 4129.87179460, 4263.97435898, 4270.51282059, 4259.48717949, 4238.33333334, 4129.61538434, 4115.25640998, 4117.43589716, 4128.71794844, 4186.28205115,8.57
4130.64102537, 4124.48717921, 4134.74358947, 4200.51282038, 4127.82051255, 4291.28205136, 4302.43589758, 4297.05128212, 4283.97435905, 4131.28205101, 4121.53846126, 4131.66666639, 4133.84615357, 4193.71794858,8.57
4125.12820485, 4124.23076896, 4123.58974332, 4161.02564082, 4127.56410229, 4251.41025641, 4267.69230777, 4262.94871795, 4251.79487180, 4131.28205101, 4119.74358947, 4127.05128178, 4134.35897408, 4188.58974345,8.57
4128.58974332, 4129.23076896, 4128.71794844, 4131.53846126, 4130.25640998, 4223.84615378, 4247.69230770, 4228.46153840, 4218.33333327, 4129.10256383, 4119.35897408, 4130.25640998, 4134.23076896, 4192.56410243,8.57
4122.30769203, 4127.69230742, 4127.94871767, 4153.97435877, 4128.97435870, 4238.71794872, 4273.97435905, 4248.58974359, 4248.33333334, 4128.46153819, 4121.28205101, 4132.43589716, 4133.46153819, 4192.69230756,8.57
4121.53846126, 4124.87179460, 4120.25640998, 4174.35897422, 4130.38461511, 4250.51282052, 4288.20512828, 4267.69230777, 4265.76923077, 4129.74358947, 4121.41025614, 4124.23076896, 4133.58974332, 4191.92307679,8.57
4127.43589716, 4126.15384588, 4123.33333306, 4169.23076910, 4128.46153819, 4248.97435898, 4292.30769238, 4270.89743597, 4251.02564103, 4129.99999973, 4122.56410229, 4135.76923056, 4137.43589723, 4195.76923063,8.57
4118.20512793, 4121.15384588, 4120.64102537, 4163.84615364, 4124.87179460, 4243.97435898, 4296.79487187, 4282.82051289, 4251.28205129, 4128.33333306, 4117.30769203, 4124.23076896, 4131.53846126, 4186.92307679,8.57
4125.25640998, 4126.41025614, 4126.28205101, 4151.92307672, 4128.20512793, 4230.12820506, 4271.41025648, 4266.53846154, 4237.56410257, 4128.97435870, 4117.05128178, 4124.74358947, 4132.05128178, 4193.07692294,8.57
4123.46153819, 4126.41025614, 4121.66666639, 4128.71794844, 4128.84615357, 4216.15384609, 4253.58974359, 4233.33333327, 4208.58974352, 4130.25640998, 4119.23076896, 4130.12820485, 4132.94871767, 4193.97435884,8.57
4119.23076896, 4122.30769203, 4117.82051255, 4121.28205101, 4129.99999973, 4213.07692301, 4277.30769238, 4240.00000000, 4222.56410250, 4127.69230742, 4115.25640998, 4113.71794844, 4128.97435870, 4187.94871781,8.57
4122.17948691, 4126.15384588, 4127.30769203, 4131.53846126, 4130.12820485, 4221.28205122, 4290.64102571, 4258.84615385, 4251.53846154, 4126.79487152, 4115.51282024, 4124.35897408, 4132.05128178, 4192.43589730,8.57
4112.82051255, 4119.48717921, 4119.61538434, 4126.79487152, 4128.46153819, 4236.02564103, 4283.46153853, 4254.48717949, 4245.51282052, 4127.94871767, 4113.97435870, 4121.02564075, 4125.25640998, 4184.10256397,8.57
4126.15384588, 4122.56410229, 4122.82051255, 4098.58974325, 4131.28205101, 4227.82051275, 4279.35897443, 4243.33333334, 4225.12820506, 4127.56410229, 4113.46153819, 4117.43589716, 4125.64102537, 4186.66666653,8.57
4129.10256383, 4129.10256383, 4127.17948691, 4090.76923043, 4128.33333306, 4213.97435891, 4284.10256418, 4253.97435898, 4229.74358968, 4128.20512793, 4114.61538434, 4124.87179460, 4132.56410229, 4190.25641012,8.57
4118.58974332, 4124.61538434, 4122.69230742, 4103.07692280, 4127.82051255, 4229.61538455, 4293.58974366, 4271.02564110, 4241.79487180, 4129.61538434, 4113.20512793, 4115.51282024, 4127.94871767, 4184.87179474,8.57
4125.89743562, 4125.89743562, 4126.66666639, 4096.53846119, 4130.89743562, 4243.20512821, 4291.53846161, 4271.79487187, 4239.23076923, 4127.05128178, 4114.10256383, 4127.05128178, 4130.89743562, 4189.48717935,8.57
4122.69230742, 4123.58974332, 4119.74358947, 4078.46153812, 4128.97435870, 4226.41025634, 4272.82051289, 4254.87179488, 4225.38461532, 4125.64102537, 4111.66666639, 4124.23076896, 4128.84615357, 4185.12820499,8.57
4128.58974332, 4125.51282024, 4126.92307665, 4063.97435856, 4129.10256383, 4197.43589730, 4245.89743590, 4226.53846147, 4199.87179474, 4129.61538434, 4111.92307665, 4122.30769203, 4128.46153819, 4189.87179474,8.57
4128.97435870, 4125.51282024, 4132.30769203, 4055.76923036, 4127.56410229, 4193.71794858, 4236.66666667, 4216.15384609, 4193.20512807, 4131.02564075, 4114.23076896, 4137.17948697, 4135.51282031, 4195.76923063,8.57
4128.97435870, 4125.51282024, 4132.30769203, 4055.76923036, 4127.56410229, 4193.71794858, 4236.66666667, 4216.15384609, 4193.20512807, 4131.02564075, 4114.23076896, 4137.17948697, 4135.51282031, 4195.76923063,8.57
