AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4121.41025614, 4122.05128178, 4125.25640998, 3968.58974297, 4122.17948691, 4106.53846126, 4084.87179453, 4103.46153819, 4139.23076903, 4130.89743562, 4100.76923043, 4120.25640998, 4130.25640998, 4183.33333320,8.57
4123.46153819, 4128.97435870, 4127.17948691, 3959.23076861, 4122.82051255, 4089.35897402, 4078.46153812, 4098.07692273, 4133.33333306, 4129.35897408, 4102.82051255, 4127.69230742, 4133.71794844, 4187.82051269,8.57
4121.28205101, 4128.71794844, 4123.97435870, 3951.79487117, 4122.17948691, 4089.61538427, 4078.71794837, 4096.15384581, 4127.69230742, 4128.84615357, 4101.02564068, 4119.74358947, 4133.97435870, 4184.74358961,8.57
4125.38461511, 4128.84615357, 4129.23076896, 3939.48717887, 4122.43589716, 4086.92307658, 4064.61538420, 4080.25640991, 4114.23076896, 4130.51282024, 4098.58974325, 4126.41025614, 4138.33333313, 4189.74358961,8.57
4122.82051255, 4128.46153819, 4127.05128178, 3942.94871733, 4121.02564075, 4079.23076889, 4061.92307651, 4071.79487145, 4109.48717921, 4129.99999973, 4098.33333299, 4124.99999973, 4134.61538434, 4188.07692294,8.57
4123.33333306, 4126.28205101, 4125.12820485, 3961.02564040, 4118.71794844, 4091.92307658, 4075.89743555, 4084.10256376, 4123.07692280, 4130.64102537, 4102.56410229, 4123.33333306, 4131.53846126, 4188.71794858,8.57
4131.28205101, 4129.23076896, 4130.51282024, 3967.94871733, 4121.15384588, 4111.92307665, 4083.84615350, 4101.92307658, 4139.99999980, 4130.76923050, 4102.56410229, 4134.48717921, 4134.99999973, 4195.64102551,8.57
4122.56410229, 4124.61538434, 4123.84615357, 3959.10256348, 4123.71794844, 4106.92307665, 4071.28205094, 4095.89743555, 4134.99999973, 4128.46153819, 4096.28205094, 4127.05128178, 4130.12820485, 4188.46153833,8.57
4119.74358947, 4124.35897408, 4122.94871767, 3952.17948656, 4121.53846126, 4087.82051248, 4050.25640984, 4069.61538420, 4113.33333306, 4132.17948691, 4101.28205094, 4130.76923050, 4135.12820485, 4190.25641012,8.57
4121.79487152, 4126.79487152, 4123.97435870, 3956.28205066, 4118.71794844, 4075.25640991, 4040.25640984, 4051.79487138, 4098.33333299, 4136.53846133, 4105.12820485, 4128.07692280, 4139.23076903, 4192.69230756,8.57
