AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4139.615384,4136.025641,4157.051282,4139.487179,4139.230769,4144.615384,4140.51282,4134.871795,4129.230769,4145.769231,4107.820513,4297.435898,4265.25641,4156.153846
4128.974359,4140.897436,4153.205128,4143.461538,4139.358974,4147.179487,4140.25641,4141.025641,4129.743589,4146.794872,4107.435897,4295.897436,4249.74359,4148.076923
4117.820513,4138.974359,4143.846154,4141.282051,4141.923077,4143.205128,4132.307692,4140.25641,4129.615384,4147.948718,4103.717948,4287.692308,4240.128205,4139.615384
4114.615384,4135.51282,4136.282051,4138.333333,4141.410256,4137.051282,4123.846154,4136.538461,4128.333333,4145.769231,4094.615384,4284.230769,4240.641026,4133.589743
4123.974359,4145,4150.128205,4151.153846,4144.74359,4144.230769,4130.51282,4136.794872,4134.615384,4146.410256,4100.897436,4299.615385,4254.74359,4144.74359
4147.179487,4164.102564,4177.692308,4175.769231,4142.179487,4157.051282,4147.307692,4148.589743,4153.974359,4149.102564,4127.692307,4329.102564,4288.205128,4172.820513
4159.615384,4174.74359,4187.179487,4188.589743,4142.435897,4159.615384,4153.974359,4153.461538,4164.74359,4149.487179,4143.589743,4340.384616,4310.512821,4185.128205
4152.051282,4170.51282,4183.461538,4182.948718,4142.948718,4161.923077,4151.410256,4140.897436,4156.153846,4148.589743,4132.692307,4331.923077,4302.692308,4179.102564
4151.025641,4168.974359,4180.51282,4182.820513,4136.923077,4166.666666,4151.282051,4133.717948,4151.923077,4148.076923,4123.461538,4331.025641,4295.25641,4178.589743
4155.51282,4173.076923,4175.769231,4188.205128,4141.666666,4167.435897,4150.25641,4142.435897,4158.717949,4148.717949,4132.051282,4338.846154,4303.333333,4183.076923
4153.205128,4170.51282,4177.051282,4186.923077,4142.692307,4167.564102,4150.897436,4151.410256,4163.333333,4148.205128,4140.51282,4341.410257,4309.615385,4184.74359
4157.564102,4169.230769,4186.025641,4188.974359,4139.74359,4170.128205,4161.410256,4160.51282,4168.717949,4146.538461,4141.153846,4344.102564,4313.589744,4190.769231
4169.358974,4178.461538,4188.717949,4199.358974,4142.051282,4170.769231,4173.717949,4172.435897,4174.230769,4146.666666,4142.820513,4357.051282,4323.205128,4201.410256
4173.461538,4182.820513,4187.564102,4203.205128,4139.871795,4169.871795,4177.435897,4177.564102,4171.794872,4147.820513,4144.358974,4366.153846,4329.615385,4208.846154
4171.666667,4173.717949,4188.717949,4194.102564,4142.692307,4164.487179,4175.641026,4172.820513,4162.179487,4148.461538,4139.74359,4360.641026,4322.564103,4208.717949
4166.025641,4167.307692,4181.153846,4185.25641,4141.410256,4159.487179,4172.948718,4168.717949,4159.74359,4148.076923,4135.384615,4353.589744,4311.794872,4202.435897
4157.179487,4165.641025,4171.282051,4185.769231,4139.871795,4166.410256,4173.333333,4166.923077,4169.615384,4146.538461,4140.128205,4356.538462,4313.589744,4201.666667
4154.230769,4156.923077,4171.153846,4191.794872,4146.410256,4171.538461,4171.794872,4158.717949,4173.461538,4146.153846,4144.230769,4360.25641,4321.410257,4204.230769
4156.282051,4150.384615,4172.692308,4195.51282,4139.358974,4167.051282,4164.615384,4151.025641,4168.846154,4148.076923,4141.923077,4357.948718,4320,4200.128205
4157.692307,4155.641025,4173.461538,4200.641026,4135.897436,4167.307692,4161.666666,4150.128205,4170,4147.820513,4146.025641,4360,4315.128205,4199.358974
4158.717949,4158.589743,4175.641026,4203.717949,4139.871795,4171.282051,4160.769231,4151.794872,4173.205128,4145.384615,4150.641025,4363.205128,4314.230769,4203.076923
4158.205128,4150.641025,4172.820513,4193.974359,4138.717949,4170,4159.871795,4159.487179,4172.948718,4145,4143.846154,4359.74359,4307.948718,4203.589744
4154.102564,4145.641025,4169.230769,4190.51282,4141.025641,4167.564102,4164.615384,4169.102564,4172.820513,4147.307692,4137.948718,4354.871795,4299.230769,4198.846154
4150.641025,4149.871795,4169.487179,4198.717949,4140.51282,4167.051282,4165.897436,4167.692307,4170,4146.794872,4135.897436,4350.641026,4290.25641,4189.615384
4148.846154,4153.846154,4168.974359,4203.333333,4142.564102,4167.564102,4163.461538,4165.897436,4166.153846,4143.589743,4131.538461,4348.589744,4281.666667,4184.358974
4151.410256,4153.076923,4171.538461,4204.487179,4144.102564,4170.384615,4168.717949,4167.179487,4167.692307,4144.74359,4130.641025,4354.74359,4283.846154,4189.871795
4160.769231,4154.74359,4178.461538,4206.410256,4140.641025,4170.641026,4176.666667,4161.410256,4169.871795,4147.307692,4138.076923,4366.794872,4291.666667,4199.230769
4167.307692,4164.102564,4186.794872,4208.589744,4144.871795,4170.769231,4180,4159.358974,4170.25641,4147.051282,4146.025641,4374.48718,4296.153846,4210.128205
4174.230769,4173.846154,4197.179487,4214.74359,4139.74359,4178.717949,4184.487179,4166.538461,4175.641026,4147.435897,4154.74359,4381.153846,4307.435898,4221.410256
4184.615384,4179.487179,4204.487179,4221.282051,4136.666666,4185.51282,4183.076923,4171.153846,4183.461538,4148.974359,4166.025641,4391.410257,4322.051282,4230
4183.974359,4182.435897,4204.871795,4219.871795,4142.948718,4185.641026,4175.384615,4173.717949,4186.666667,4148.333333,4173.333333,4399.358975,4328.461539,4237.307692
4172.179487,4178.461538,4199.74359,4217.179487,4138.333333,4178.974359,4169.102564,4172.948718,4186.410256,4147.307692,4173.589743,4399.48718,4327.948718,4237.435897
4166.153846,4169.358974,4192.435897,4215.769231,4140.384615,4175.384615,4166.410256,4168.974359,4185.51282,4147.948718,4171.410256,4392.179487,4320.128205,4228.461538
4169.74359,4167.564102,4188.974359,4214.487179,4142.564102,4181.666667,4170.641026,4169.74359,4187.564102,4146.282051,4172.564102,4385.769231,4306.538462,4223.589744
4169.102564,4171.538461,4188.717949,4213.974359,4139.358974,4182.948718,4175.384615,4174.358974,4191.538461,4144.74359,4172.051282,4383.333334,4298.205128,4226.666667
4165.897436,4170.641026,4186.025641,4211.666667,4142.435897,4177.692308,4171.794872,4173.076923,4189.358974,4146.025641,4166.153846,4383.717949,4297.051282,4226.282051
